x,y
5507,13110
10273,11074
10640,8864
13676,13851
11946,2138
10066,8302
6500,12811
11462,1879
5223,5505
7520,3650
3562,8828
12667,12203
9517,1865
10614,2386
11680,5159
13265,3506
7565,7556
12128,10154
5422,1450
4281,3773
10728,1242
8878,9099
12690,2670
6196,2024
6774,1145
5412,4844
7367,4769
10019,10606
11485,11874
13901,6130
7763,10170
12270,7629
13120,7382
5212,8605
7404,10127
12080,2129
8469,6270
12458,3043
8267,6493
12507,1613
9334,5632
10117,5928
6121,13498
3760,13291
10847,1512
10712,885
9792,1036
8202,6287
5220,6020
6652,7645
6388,6999
9054,8798
13352,3217
13329,2264
11746,2854
9576,1009
7591,6953
7426,1258
13381,12554
10648,1826
11707,1513
13754,10134
12741,7377
6892,9748
6138,7002
8841,9084
1097,922
11479,5623
11046,3788
6718,1319
6863,6957
9905,5193
13686,3539
4956,5213
10002,9498
6626,6192
7322,6219
7682,5834
4397,13233
1386,4424
12480,12643
11340,3664
13068,2520
13156,4052
11330,9721
11444,12271
12738,11143
12226,10820
3909,4956
4062,3656
3226,5240
14020,5281
5155,10274
6799,11531
5894,13216
12249,4787
10918,1490
7218,7557
2623,1597
11667,2024
776,10160
10454,1599
9490,5519
12906,13024
7288,9094
13715,7523
10371,10138
10088,9736
12096,1114
13274,3855
7628,7564
5912,5670
8814,5808
12181,1255
12007,3409
7261,8768
10204,7140
10274,9710
13350,3986
11454,1939
13368,4136
1568,10394
4592,13721
8740,13459
8557,8930
10885,8894
9867,9917
9310,9330
8392,8862
8702,8793
2246,11794
13180,3462
11295,12629
13798,3391
9484,7273
10241,5859
4481,9824
11770,3912
10230,1330
13026,9443
11813,1506
12164,1472
10670,5226
6382,2486
7124,3565
4779,9011
8043,7756
12051,2074
10816,1268
10080,5202
4916,4908
6990,7307
7704,7662
13293,2474
11424,4530
13854,5408
7814,5634
1411,10358
5728,5722
10866,1360
13790,13524
11686,1844
11721,1431
11876,1513
5050,5394
13508,4472
13257,3216
8090,7929
13647,5333
14117,6100
9058,8713
5998,6769
11801,2218
10882,1482
9444,7366
13264,4302
12453,11142
12988,3640
9123,8635
7843,11862
13282,3829
11530,5934
12725,2274
13983,7628
7246,9600
1648,7122
3274,8182
5366,7603
4467,9285
7406,1704
4405,1385
11437,1427
13051,3098
11191,6104
3839,13155
3301,13403
13880,12869
11392,12398
11035,1431
8430,6470
7902,5624
9909,6393
3275,13136
9462,7082
13562,4070
10496,8745
10362,10555
10490,10385
10060,3071
11124,1200
13032,1868
11463,5769
11498,1541
12188,2653
12282,2950
5377,12503
10100,13782
9959,13639
12514,2654
13904,4370
8594,8336
7390,8546
13415,4243
13294,4151
13031,1913
13158,3729
12062,2398
12440,12704
12976,12832
6464,6459
1614,10454
7338,6107
13420,8498
12547,10449
7945,2354
3403,11309
12090,7156
12699,1527
12143,2562
8355,7423
13490,4181
14023,5103
5646,5730
9638,1556
13388,2192
11697,2979
13273,4239
8198,7027
13027,7278
12244,11577
13948,4794
7838,7894
8596,5642
6052,6302
4590,6850
13868,3677
14091,5070
8404,10084
9206,1442
6475,6969
10305,828
8874,4527
8619,2226
6387,1776
6878,1162
1625,5759
13393,3715
1279,11643
9195,1193
11717,1499
4879,4825
3538,4723
13310,3349
11137,4075
3779,862
11165,928
12145,2534
11351,1822
7893,7603
7633,6898
8629,5858
2827,13269
10587,10185
13955,10347
13165,10768
9399,13133
7776,8104
10167,9473
12853,1885
10915,2248
10888,1580
4356,3881
7178,7989
12914,3461
12900,1962
13024,3370
13637,3593
8016,12228
6965,7317
5014,10099
10505,10098
3428,8734
8154,7266
10246,4694
10082,1180
11420,1773
11399,3409
9472,1158
9652,9213
3484,2785
6994,8406
13562,3550
2669,6486
13522,3384
12560,1766
7298,7442
8312,13193
203,278
13435,3690
12371,2678
3882,3442
4728,8396
3469,9403
13145,5507
5296,8994
5935,5061
5360,3304
10676,4752
11922,1658
10759,5548
8636,4084
8702,8434
5058,12470
5817,3878
5355,5298
12303,2818
12161,2641
11514,1413
10313,3018
5885,7387
9849,5459
8260,10122
5460,5696
4702,5409
13330,8888
13043,2403
6539,6674
5102,1558
2880,5852
4459,1379
4750,1406
12274,2491
7720,7930
10487,12823
9060,2162
8746,7786
8180,7659
11926,9421
5281,5631
11398,4882
6188,6123
11970,2502
9837,9707
6526,6123
4744,7027
9140,11342
10783,1522
940,8555
9285,9044
13219,10499
13266,7248
13101,4931
13522,2878
13474,4880
13358,3223
11718,1663
12331,2071
9168,9108
1976,9656
2184,4688
10188,5282
12994,3120
8754,7656
8936,8874
12809,11974
3372,13507
13477,4098
6861,1203
2849,1244
12133,11692
8585,5995
13037,2604
11573,2466
8608,7201
13630,7585
7115,5324
11414,1234
4028,3051
2494,3449
1277,9684
1151,1900
4065,1937
4392,4588
10689,10216
10071,1200
10140,6633
6859,13023
1716,6837
10372,1373
6674,6494
13080,5360
11870,7041
8046,1898
7791,4053
5528,3716
6679,7522
3438,3483
8936,13016
9185,8719
13579,3308
1091,973
8509,10041
4055,9815
12634,2291
12790,2933
12782,2916
11248,11014
11521,10968
12254,1421
12530,2054
2611,681
12010,2367
12512,1995
6965,7020
10128,10292
9188,952
6991,6649
6102,11117
8072,8294
7616,8594
14072,13897
11147,1552
9102,1426
13368,2394
6962,6954
6830,6515
12918,2057
13052,2888
13334,3013
12235,1206
8617,8761
13417,7788
3508,8863
11088,5501
3109,1402
12028,2615
9278,13393
4730,11952
12384,1989
8384,906
8295,5388
3464,3701
9294,9475
8330,8810
9600,9516
11562,2056
8179,5804
1768,7534
10956,10823
12316,2992
8715,4409
7888,8056
12510,1452
10674,8747
3495,4830
9326,9476
13046,2429
10703,4775
5363,8574
891,1438
13444,3029
13023,5263
11824,1230
5046,8638
4846,8244
4840,10245
1231,8599
4943,9484
2068,9472
8767,6446
6503,7979
10637,1275
10250,1226
12128,1382
5423,5549
2947,9645
1293,7078
7510,11583
11444,7492
13481,4912
10040,8433
13099,7232
11607,1597
6450,6397
12683,2163
1698,11310
7938,950
7502,5020
3887,7249
7120,4559
10857,5239
10313,4705
5729,5079
13976,4243
13583,3599
12438,2412
2006,3024
10495,1241
13446,4012
9512,9704
9555,9421
4976,9209
9169,4102
4527,9533
5246,5418
4675,9902
9753,13273
5396,9202
13104,3490
13080,3517
5535,5563
10671,1707
12248,2560
12348,2658
13539,4284
7488,6932
13250,3206
11883,2362
11062,1441
10520,1314
3991,3689
13417,2643
8370,10262
12462,1794
13030,3755
11431,1090
7743,8317
12010,10889
13229,12634
7945,8126
13604,9985
10707,1146
9448,7184
8773,8489
11178,10084
10560,850
9355,7129
10826,3385
5938,6673
8908,8311
13184,2315
7473,8580
11681,1659
10018,5038
12687,3212
7661,3738
11016,1475
9260,5581
11706,7402
11754,7562
13916,4832
10458,10655
4258,4167
1352,7100
9956,4236
6101,5795
1884,867
12244,1276
9838,1264
6961,2945
9128,9384
5239,3330
3839,10471
3776,10937
12086,11105
6220,13342
8980,7752
13578,3813
1331,1156
9354,7158
12384,2310
11924,11654
7509,7362
13227,3841
10235,1289
13896,7963
11327,12154
13185,2247
10053,9604
10913,11049
10750,11271
13746,10008
13140,2641
8040,7424
11256,1122
11686,2900
10716,1285
6266,2290
3286,7989
3338,1592
2672,3098
11676,7579
10859,5182
13536,3878
7332,6707
13717,12808
12003,1302
12442,5866
10746,4742
10662,10492
10973,10525
3837,1715
12692,2034
4450,9318
4845,8281
7620,3854
11868,1289
13498,3552
2317,8491
2733,2551
5036,2798
2497,1976
8828,8786
9311,9736
9552,9558
12950,12251
9094,6454
11345,5004
10422,808
5811,5211
1434,9719
13540,4416
12327,2987
12232,4886
11663,7468
12334,12009
11412,1568
12309,2600
7417,13390
9648,5827
13055,3349
8518,13910
3325,4013
4806,3914
13013,2309
13763,3828
2018,2186
7328,6753
13275,2380
7767,10607
3406,3968
13939,10622
11027,1855
10800,2329
12707,3018
13597,3325
9640,9089
10737,4700
11588,11276
13363,4075
12575,1838
6306,4386
4192,4888
10943,1795
2458,7594
7242,6752
8550,1288
2051,3981
12671,2322
13683,9262
13384,3976
10242,8785
13514,7354
11984,2438
13728,8427
11510,1962
5838,7514
8819,6642
11034,1714
12737,1777
11417,1399
4032,11494
12570,2306
13670,4576
13934,4192
843,4966
13092,2384
11876,1851
13228,2230
13248,2050
6769,7575
11571,1974
5556,5612
10672,4508
13530,3323
10960,1634
11610,12996
12057,3596
13422,2770
12597,2613
11896,1654
6726,7299
5038,5622
2756,8070
4377,11914
11868,1654
3293,3651
12188,2126
8114,6649
9976,6221
8759,1328
9167,9148
12727,3064
11964,2860
11326,3878
7778,815
13556,6860
5162,9174
12020,1942
6936,6658
12213,3145
11812,1636
12084,2371
13931,3993
11478,1580
13780,3380
13060,3598
3225,11108
13170,3525
12029,1327
11986,2232
9811,1412
11730,1944
6502,9710
8043,7457
13202,11034
12088,3542
3014,10883
7327,3874
3424,3976
12330,2422
13396,2819
5996,5228
4648,7850
11305,5597
11142,13481
9827,13992
11734,2095
12914,2003
4072,3356
6747,1361
12943,2756
1360,817
13330,3516
12460,2123
11184,1425
8804,1338
8824,4280
766,440
12668,6601
12119,7318
13705,3336
13316,2368
10160,10814
10848,988
5899,8272
4627,2594
11755,1324
9577,1060
9462,5648
11768,3285
3922,1000
11764,7431
13982,5688
2742,12494
1418,11740
2696,13265
1424,5648
8093,8254
10486,7498
10024,11060
13301,4151
12234,1172
707,3265
13053,3232
5719,5411
6016,5630
1564,9300
10849,5078
12180,2466
9086,13461
6110,7233
5818,5986
7556,6931
2709,6582
6417,11333
9457,9386
10105,9908
11144,3432
2228,11800
1575,9731
1505,8580
11969,3117
10811,1261
13371,2523
8939,6308
14108,10744
7712,6845
13196,2995
3141,11514
13636,2859
9599,9448
12153,5310
13998,4307
11598,2088
12571,2143
13297,4786
12023,1787
6770,6480
6316,5980
4001,6097
8468,5075
4264,4786
9132,6387
13643,3328
7066,12805
12537,1779
12819,3207
12730,3207
3914,4317
4358,4269
1189,10654
4481,9310
7824,6567
11358,1835
11891,1358
12298,2042
12897,2821
13128,3486
11282,1871
13138,2844
8712,5900
6642,6445
7056,4819
3558,4037
2153,2029
11477,1824
12362,1826
10076,10395
13423,2651
13502,3597
1333,4965
10018,3286
3984,2747
7708,6997
8393,6565
11814,1978
7291,4799
3297,2397
5401,13346
10116,8014
9382,1710
11136,1880
12756,2473
13701,5612
13414,3342
13769,8383
11075,10735
12244,2278
4688,10424
11842,3142
10765,2512
12141,10968
3190,9876
11308,1579
6463,6534
7805,2142
3149,9083
1516,851
12993,2520
13564,7436
13016,11838
11909,1532
8864,9323
6603,7384
9042,5530
11755,2533
13525,6300
9908,11084
11712,10942
7314,11338
11598,1791
3663,9119
11872,1296
6268,2132
10730,2405
10053,4965
8019,8017
6563,12611
8672,2221
1170,6036
8682,8224
10057,1415
13570,7012
4779,7067
11062,1468
10172,4076
3382,8864
3239,13435
3323,3644
4005,3975
10940,1508
11583,1376
13317,2949
13545,4069
8264,6758
2638,7216
7156,3128
8799,11330
1365,2068
8949,8737
13687,7702
12548,1455
6588,3158
3666,1256
3781,11044
6128,5710
4878,4446
8156,6819
5903,11411
6233,832
2884,13695
13975,4154
11393,1311
12403,2429
13968,10246
8917,13559
10683,1352
12292,3356
11646,2920
10765,5439
12526,9457
12868,13116
13752,4647
13539,3560
12219,11485
12238,4987
9262,9354
12855,11310
7856,6882
9813,10584
11761,1524
5425,5912
7021,6928
10736,1541
8385,1527
9572,1794
4731,3860
8105,5202
11429,1245
1331,11458
4620,6845
7318,7918
9394,1116
9990,8826
11708,6742
3848,5078
3915,4962
3670,7843
7773,7973
6982,3839
7772,8474
8385,1668
11406,10933
9417,5771
12945,3443
11902,2933
9468,1266
8467,11612
6093,4331
1679,7754
8571,8481
2256,9834
2023,2184
3635,2039
3098,2502
12720,2248
12179,4853
10872,3671
4475,9850
4308,3430
10995,1377
3534,10499
3156,7458
11597,3090
13133,2764
11584,3151
9602,1673
13885,11548
6485,12262
4754,8020
8596,6605
9180,8434
11626,1847
13276,2227
10970,3291
7182,6518
2920,8034
3056,7898
13702,3818
9061,9133
7049,1191
8076,9954
7588,6670
11989,10942
10376,5102
8165,8251
9822,3408
5013,5920
11951,2204
12238,4794
8497,8841
8568,8821
12092,2015
10794,991
1663,8516
12784,11678
10146,10178
10924,11587
12240,13253
2224,4503
12998,3320
13523,3214
11128,4309
8219,10150
12594,13466
12267,12574
11258,1223
6928,1080
5316,5726
892,4967
7133,13844
13281,4080
13475,3811
12578,3194
6610,4577
13923,4119
6654,13880
3726,5890
10204,921
12573,2563
10266,1354
6241,6799
12773,2332
11663,2174
12543,1924
14014,4292
13596,6816
3195,2919
13901,6912
12727,4978
1740,3160
11809,2107
11685,2330
1460,3120
5112,8482
5088,10110
8624,1404
5970,6850
4230,3820
626,451
4716,5344
13275,4217
8874,948
6764,7260
9440,2252
7651,7696
2652,1399
11603,1357
11923,1285
12346,1360
12029,2161
8240,8396
5956,5471
1692,2472
11754,2277
11500,2022
4760,2690
13100,3395
10157,5105
13550,5748
10737,1984
1901,7605
5938,1777
10344,901
11688,1215
8004,1827
4332,4252
1154,1874
9913,6054
7484,7600
5505,6286
13553,5064
12264,2897
8721,8768
13513,3240
10479,1530
3242,5162
11104,984
12358,2846
5787,8912
3650,9757
4992,9267
13221,3054
10696,2187
6516,6539
6582,7069
10923,1115
6927,7432
9691,9454
5225,7828
6826,6698
13414,4331
7399,11691
13599,7163
11810,4084
10696,1483
9021,8648
13330,4105
9468,5683
8132,1712
8951,9319
6736,8420
8909,923
8803,3404
8719,1449
11802,1827
7611,896
6036,10239
614,772
14033,5186
13938,7594
12835,2998
12396,2319
13410,4707
13191,13744
10398,843
5325,1145
9503,10071
6369,11234
