x,y
1128,10527
2387,13122
2264,12306
8212,6218
10728,1242
8874,9206
12967,11905
2423,13476
4719,13966
5266,13606
4303,12296
9011,9285
9724,1048
3572,13005
2053,12996
8320,4828
5251,5036
2657,1116
12827,2803
12030,5174
13795,9845
1767,12953
1087,10317
7052,5361
6495,1659
13445,2763
2174,9600
1389,2365
1163,10426
2975,7440
11415,6501
9888,9356
9359,10061
12878,13228
8561,4930
4643,5039
12638,2997
2395,3685
2823,3759
13050,10826
4523,12093
9872,4627
5328,9156
9430,13576
7186,11448
8442,10060
11000,13624
13998,10806
10984,13036
5280,10212
9702,4012
4546,4380
4202,3844
2854,2594
11147,1799
5674,5657
2066,9838
11872,4276
4421,1422
10958,4976
1394,4716
7526,10004
8340,5219
3156,5288
2402,1320
11361,3964
1416,11448
3889,10459
944,6428
8472,8456
12063,11366
10142,6555
8031,10056
6676,13354
5115,9576
9753,9143
2131,1425
1132,11454
2150,12826
2474,13150
1606,11129
8515,8081
13695,13639
1504,11840
1362,11556
8486,2218
6544,6362
10598,1266
6826,1296
4696,5258
1277,10076
6563,10120
8421,7586
9175,9326
5792,7274
7231,7832
1429,11063
1812,11801
1873,12054
9804,5624
8422,8217
13677,4324
13361,5469
4014,4180
3495,2945
14089,4916
6576,6346
5448,5929
13631,2764
12801,2208
13737,8464
9676,11640
2782,12771
1404,10352
1112,4844
9476,2400
5675,5694
6728,6876
9480,13703
4451,13354
1775,11661
1739,12180
6133,7269
12450,5280
10082,9593
1828,12220
2910,12935
7333,1670
12752,2157
6662,12678
14035,4831
7902,11905
7598,8022
9516,9299
10745,10492
13868,11796
2766,12251
4217,13604
8285,10077
3864,10137
13139,10826
13585,2787
12187,6460
1662,12034
4893,13765
3486,13183
3772,6063
7977,12064
5568,12788
12468,2835
13656,8490
10108,10634
13917,10708
7510,11267
10593,11224
11777,1355
11167,3545
7132,9572
13168,7684
10264,13714
12245,8087
11818,13974
1508,10634
11525,1458
9424,5565
9520,10077
3322,13103
1296,10940
5288,13422
1905,11763
9242,5787
9484,9535
13662,7784
13989,3812
6010,5529
11685,6861
5824,5814
4117,13639
6372,13887
1820,11868
1223,9691
901,9754
1570,5841
5439,5820
2595,5677
1352,7100
2853,1930
9482,1351
2473,6957
4469,1110
3744,2881
2400,13153
8564,10509
10748,2239
2434,11760
10244,8242
11783,3036
11020,10716
4517,13735
1643,10998
6075,4915
5731,5721
4147,2944
1070,5671
6544,8230
7176,3455
3538,2215
2098,3097
2090,1546
2943,12604
5240,12323
3347,10264
3419,9276
7556,7709
3167,683
2614,2106
2183,11960
7713,10034
3840,13140
4390,13743
13492,6442
13554,8196
5948,6155
2215,12600
9834,6532
12804,2554
8114,7678
4602,13786
4041,13724
9848,9614
7378,13323
13150,13759
8629,1327
11427,7068
6788,11436
6830,13788
6185,13967
10260,13806
5925,14007
9460,9656
9805,9618
13259,10347
3684,13500
4856,13868
6201,13601
10276,8977
8850,5457
2332,11825
7818,10538
2379,13241
3724,14006
4933,13913
8422,14150
7327,7493
10198,8093
9247,9512
3037,12568
4034,14014
8516,8639
6583,9411
2964,7879
2872,6020
11757,1099
13506,2494
11838,3547
6876,13776
11013,10555
5724,9498
9891,7380
7227,12192
9042,7675
2702,13404
7412,8481
8138,8415
8750,5436
2594,2424
4907,14033
4210,13636
4158,13041
8091,13275
4677,12341
12303,10297
8977,9679
1070,10582
1883,11696
9553,1387
8167,1264
3617,2072
7159,6694
11607,2029
7318,6684
4980,4061
3712,3900
5408,5558
4403,5041
1830,4511
10001,6104
1105,8117
8957,9455
7912,3573
5807,5790
7506,4846
12890,9874
4833,2786
9463,2015
8453,6768
9572,1294
6233,832
2884,13695
1253,12236
1006,11052
1749,11101
761,7876
1731,6642
1079,11947
1219,6478
10311,9751
2445,12218
835,10033
1382,11268
7034,7092
9579,5570
8419,10361
5792,12391
10991,12091
3920,13302
1204,11047
7264,7122
7825,7905
1826,2888
3684,13620
4288,11402
7345,13443
12581,3216
4836,8327
7737,7503
4101,4652
9734,11164
2064,12644
826,10384
2849,9896
1528,11424
1265,9681
7438,7408
13114,12022
13369,3528
13788,8512
7344,4772
10654,5482
13595,4563
11273,6174
7416,6869
5839,5528
7024,14106
4562,9920
2972,13074
7608,13554
1336,8658
12644,9548
7831,8365
10091,13790
2988,13087
4518,13732
1932,11946
5604,13604
9785,12129
12579,13263
4904,12374
6788,3113
8231,12202
11442,14195
3518,9056
2062,4307
12940,1849
13167,2716
9476,2002
10458,2915
8797,8044
8859,6634
8740,5429
12855,13041
12454,2432
13987,4390
9558,8950
10903,9968
13059,5085
13501,3014
10079,8899
8629,8779
2174,7358
6614,7606
10730,4797
5279,5765
2776,13279
13245,4171
10931,5413
2454,13602
1962,12408
8452,8348
8188,11924
4207,1055
3588,8272
4784,6251
1696,8396
12928,13460
3435,13231
4433,13797
9499,7350
9944,9858
5061,13677
3288,11228
12976,12518
10312,1365
8619,4655
10034,4390
9152,7156
9407,5430
3048,13026
3556,10076
5981,5077
6372,940
13411,2523
13930,4341
5098,4682
5188,6095
6164,9898
13646,12256
3053,12639
10630,13594
13534,14041
1784,13055
1840,12355
785,5530
1156,11228
10530,13958
9350,11300
1569,11966
6994,7328
1098,11614
3750,13920
2020,12314
4660,1065
8562,3916
13612,5052
8227,7543
3898,11487
12350,7241
1469,7177
6730,1361
4859,4708
4373,1707
4745,8026
1696,6260
838,5744
4016,7712
2816,11558
2956,11036
7293,7173
9842,9401
9726,13960
10611,1638
13630,7108
9096,13486
1700,12874
1693,12953
1760,11963
5076,13910
2369,12893
6162,4894
7959,998
10495,5186
4096,10003
9524,5805
13217,4971
2198,12232
1418,11070
2216,12794
5376,9547
8622,8198
12234,7444
1062,11063
1925,13131
4853,10873
2551,13513
1210,11909
5904,5599
8818,13667
13089,10547
13420,10692
3126,2162
13839,5456
7427,8780
6438,7039
6628,8094
3302,10850
1505,12765
10673,10339
10084,8292
13552,10022
7436,11242
8587,1038
14150,13232
13470,9360
2342,12122
1472,11524
3354,11670
3636,13308
4116,13968
2890,11609
10347,13280
2656,12448
9067,8824
7653,7093
6826,13293
8070,7512
6203,6779
10846,11230
12674,11742
3525,13068
1522,10157
11077,5508
10535,1611
10433,9762
11870,3398
8069,13674
3242,9458
9604,5410
7778,7176
5945,7273
5030,13636
1278,10408
2151,11797
1723,11166
9026,9024
4838,9816
11998,8864
2995,12513
3982,1199
5799,1130
2814,12697
7408,7026
1378,11252
3643,9580
6183,8409
7444,14104
13767,5633
