x,y
1207,10025
2025,12265
2376,8866
1403,11878
3877,11507
2039,11643
2828,11358
8964,10719
6753,13993
6942,12864
12343,9834
7756,9824
12752,11824
13032,13659
10777,11349
7018,6892
12724,11176
2474,9249
2488,12949
1132,10355
1241,9160
5234,9288
2696,3480
8652,1276
888,2982
1719,11598
2428,12106
1265,10735
829,10504
1100,6904
7162,7051
8200,7619
9895,5480
6946,13160
4636,2759
8608,10336
3276,6792
1876,3886
3535,13255
2085,9481
10131,4468
8457,11459
13227,9271
8462,13947
13409,12093
1311,12388
910,9205
3614,9543
6860,6592
1148,8027
3082,13308
3909,4956
7716,2211
7119,4659
6268,9395
1828,1900
3226,5240
1533,10631
2583,12410
5411,13958
1239,10610
3149,7932
3760,4761
8672,8284
1503,9382
1614,4602
5521,3569
1412,7967
2909,13212
10572,3331
846,5549
5659,1384
2804,2854
2600,13166
4726,14042
9332,9240
8663,2192
7136,9450
1304,7004
11213,7035
9824,9947
7689,7136
6958,12842
5258,9484
4138,3872
1051,11807
1091,11068
1873,11615
1991,11736
13201,7142
11969,13122
13080,10290
10373,12320
2398,12274
1219,12503
5647,3545
1562,3458
3070,13723
7991,8004
1033,10147
4046,13516
6386,6379
6330,2618
2226,4350
6314,6231
5215,8911
2496,5321
4804,3663
4843,13742
3278,13227
2101,9514
1118,4750
2035,2909
10906,14064
8609,8300
7204,5231
4818,9876
11476,1922
7268,12273
6804,4860
4772,5102
13526,9198
1810,3677
1026,2883
8783,8636
5944,3484
2033,4337
3980,4370
3184,3876
1628,12266
1771,11128
2532,13524
1515,10515
6635,12317
7076,13944
8826,13278
8163,13498
4142,13648
7814,11127
11042,13893
1188,10572
3822,9734
9270,13741
5084,3814
2529,12357
792,8150
1217,5746
5113,4672
1105,7181
1637,12725
11786,9222
5608,4946
6404,9306
7296,7032
11298,5843
7166,9896
11507,9883
12222,13464
1391,11427
2823,12829
3218,9378
3787,10427
5320,7598
4934,4962
4993,1327
4578,4361
1419,10643
6098,4960
7510,5216
8183,8280
8007,8450
2555,7545
1275,10773
926,10051
1260,10772
7731,8235
13245,7603
3241,9191
9871,13744
3558,13570
3599,13229
4631,13754
2224,5309
1395,11271
2931,12502
7195,9673
13457,6886
1466,11979
1450,11143
7648,4206
12350,11519
8194,10395
5339,12150
7519,4956
10883,12130
5937,10835
4895,9979
2717,11424
6883,6193
8717,4490
4425,4916
854,8387
9674,6134
12944,7214
4223,13753
4819,13824
6009,1318
6579,7178
6776,7709
743,3498
1321,4816
4488,13923
9512,7201
10203,10035
7704,5230
10651,7521
9873,3276
6843,6684
5387,12348
10473,3045
10874,8268
10449,10172
11390,6331
7654,8372
1653,12226
3591,13131
4803,5991
9605,4224
3986,3830
6428,7154
7562,7436
8334,7488
9458,985
7461,6923
4633,6567
7932,13666
9977,9765
3105,7882
2595,4201
2030,3376
3492,944
8987,13104
4515,13784
7037,13392
7110,14087
13550,2805
966,7284
845,10534
3222,10890
2301,13175
3498,13515
4520,13758
1075,11537
13070,7506
5398,5560
502,1296
2586,13041
1054,11368
2857,12731
4375,13316
8709,9030
1174,10278
785,9991
2837,12781
3311,13097
6810,2896
6666,4314
3402,13224
4740,9915
13071,4090
6966,12876
5735,12215
7587,3199
4137,13927
3536,13210
3708,13616
11920,7499
12241,8349
5039,10200
12679,10169
13722,10000
818,10420
9575,13652
10033,10116
8271,12355
9508,13240
3215,10972
1632,11864
875,9167
2256,12736
5312,9471
7544,4901
2593,13713
8311,4808
7900,6761
4700,7260
4410,14080
4824,9946
10919,11009
4674,13882
2367,12262
3204,13578
3871,11166
3582,13646
6679,12726
11376,11473
12710,12294
12003,10755
4082,12756
6101,12680
8964,6230
4061,11417
11069,4659
1402,4615
1337,11869
12808,13686
2288,13375
4670,13726
1645,11259
5068,12270
7606,13469
9906,10303
13483,12390
13727,13182
5849,9008
8320,2544
6054,6001
11863,5205
5766,1319
4507,1555
849,6916
1719,2074
4862,5248
2954,13162
3198,13588
4793,6918
4343,9997
2625,10252
7090,7226
9698,1356
6742,7401
4841,10191
839,4468
4964,3501
3440,3244
2390,12400
3283,13247
8936,8874
14146,12112
11892,12533
11150,4468
3679,6464
9846,9590
8162,10096
1965,1948
5614,5517
5908,14090
8309,7576
2231,8290
6108,1121
2138,3721
2823,11882
2003,13087
8941,7335
5972,6744
7565,5978
1277,9684
4377,4170
2490,2888
1350,12044
1266,10860
4838,13392
7555,1185
1496,10435
1386,10904
7313,1044
3792,3594
1718,12347
1451,11606
