x,y
8161,7981
5807,5965
10726,4839
6772,6555
6898,13596
6830,7921
7507,7475
9139,8751
5932,7452
9182,8977
10474,4982
7580,8123
6186,2220
3343,8104
7718,6070
7374,6849
5048,3742
12508,3133
8227,7512
8464,8422
8103,6666
13559,6435
6531,6718
3391,13649
8010,8178
8283,8908
10626,12089
10312,10606
13217,6510
8319,11841
830,10153
2838,7660
8256,1007
6179,6325
7603,7511
14002,4596
1635,12923
6845,2917
7736,8119
11646,4782
8194,14060
11086,10208
5745,1069
9893,9515
13637,12803
7992,12180
13364,12782
8912,8870
7997,13568
6862,6403
5766,5741
8022,7990
8984,8358
9584,9736
10088,9736
5652,5763
5896,6602
10437,2940
5019,5918
7728,2372
6384,7076
1078,2528
934,7387
2165,872
6010,8712
11796,3698
4449,4191
6258,6562
8502,6829
5961,6639
11099,909
6011,6514
5537,5656
8088,5836
826,7864
8851,7964
6224,6437
6209,6850
5239,5702
7738,7797
9112,5408
5809,5697
11019,12186
12420,10639
8817,8676
11998,2070
8860,9374
4370,11826
5514,5997
7232,7333
7429,12283
3479,8743
7692,9608
6654,13923
8467,8298
8484,6063
3619,9552
934,8113
8949,9134
4683,5171
13285,7440
13227,10445
7763,8231
7625,7220
1084,12186
9858,5478
10255,8280
10081,8359
4615,6581
12513,11600
14078,4736
6391,7124
10131,8029
9081,8875
13504,3793
13578,8153
9184,9464
10496,8745
8276,8698
10363,10673
14111,14178
6696,6922
11832,1113
9509,7267
5271,4996
6050,6136
8140,6747
9972,1008
2142,992
2838,1808
538,1718
1703,2794
6411,7029
5661,8560
8590,6544
4932,5510
6396,7164
8361,8177
1446,5112
4744,5568
4956,10088
4563,1354
1679,4361
6895,3116
8569,6630
6200,6795
8026,3323
1098,10591
6555,6922
6134,6280
6822,6534
7045,9863
7630,6798
6371,6511
7406,7524
8026,6946
7236,2542
9664,4511
5934,6106
7590,7448
4560,3978
2398,2524
845,2265
13538,3103
7972,7324
7691,6636
6788,8439
7302,7831
3573,10096
7005,6578
6718,6710
8382,7648
7901,10610
5324,9203
13237,4751
9159,8966
9997,10767
12802,1842
12633,2126
5718,6062
10228,868
6168,2101
4607,4216
4176,3605
1156,5332
2606,2073
8619,3939
3100,618
6324,6085
11052,1288
11801,4285
4590,4947
7855,7982
1030,2254
6539,6300
10120,9438
4473,5940
11015,3613
4926,6042
7035,6605
1211,11318
7566,6732
6312,6454
9196,13243
11476,9634
11316,9859
13669,9160
12455,12472
6232,2472
6516,6918
7698,7151
7061,7990
10552,2532
6012,6354
3793,6332
5090,5435
1289,5167
7015,2550
4032,4036
7711,7236
12309,1352
6971,7861
7794,7332
9998,2553
6352,6264
9164,7495
10785,11952
13918,12958
8579,8223
8057,8377
8905,8176
6814,7272
7180,6990
11151,11020
5485,8798
9646,11647
9553,5893
9979,13283
6176,6578
9996,7213
8787,5678
6939,1141
4816,8800
2313,2659
4694,921
5522,5587
9101,3499
6038,1152
10980,11095
11066,9828
10677,1192
8417,8181
13204,2352
7608,11956
5752,5699
13556,7254
10686,5075
7359,7133
9023,5968
5336,5228
5695,7522
9419,7067
7159,6800
7505,6808
7391,8023
7874,7602
6833,6583
13257,2254
3690,10858
10254,9543
11951,10084
10518,1486
9727,9812
4847,5219
6936,6840
6465,6606
6100,6316
5986,6041
12169,11517
7240,13975
6035,6057
9758,6310
2356,12084
8222,6956
7476,6831
8079,7128
8818,5502
8643,7544
11235,10747
12362,11588
11922,12386
10529,10635
4037,3685
7867,7303
7991,7781
8312,8633
5225,13554
9221,1637
14031,7337
4807,8142
6745,7997
10609,11091
13035,1933
12249,12650
12772,13748
5909,6150
8890,6172
13215,2830
7060,7346
7231,8602
8914,3935
8198,7394
12055,3616
8396,8384
7074,14106
3028,11317
8668,8011
10330,5617
13206,7442
9246,9062
10772,1367
12582,2277
12330,1699
11585,1720
11228,5860
1185,7899
5886,5287
7029,3131
4830,5031
4210,3698
3512,2986
3080,10033
4522,5958
11420,1836
7248,7368
7325,6393
926,9966
5779,7414
3239,4018
9100,4035
11271,1520
4602,10166
10638,10038
997,1964
12235,1206
8244,7593
2002,11690
5564,6400
11356,1178
7295,11371
5903,6235
7739,1625
7510,9796
4823,8052
9068,9233
11971,2848
9579,9779
9877,6481
11991,13450
12096,8184
10164,9672
3501,10761
13803,5321
8252,7891
8033,13712
1784,11719
9804,9343
6705,7151
6538,6288
7648,7929
8828,8724
3341,11698
8946,9435
10483,13863
860,10366
5051,8627
1290,2486
6865,7602
11102,10639
11176,12744
11454,7532
3576,3910
5172,5116
11324,1474
6155,6799
6629,6556
8838,9156
7811,8414
6555,6512
5752,5649
5406,7587
12067,9267
9276,8653
7614,8289
6437,8312
1473,9152
9165,5766
7704,7684
11183,4558
7777,10865
7736,8085
2777,2053
1785,5435
14092,8344
7400,757
12156,3443
10082,860
11829,3936
7525,8855
13942,7025
11302,5655
7749,8060
11802,12166
5259,8865
13109,6852
5257,7667
7531,1392
5688,3759
2844,11593
1959,11757
1141,12291
7050,7382
2363,12852
2672,11952
3347,6607
2559,13341
3425,11028
6943,13139
6007,6316
4434,10089
6658,3078
8266,5226
6250,6286
13650,5601
6012,6380
5860,5810
10972,10451
5085,5170
3147,7470
11364,1206
10598,1140
10522,1310
7575,10963
9212,8620
12389,8322
3954,12675
13376,14018
6507,6338
12558,6008
9220,6410
7371,6056
7958,7357
9546,1249
10140,9538
3926,7390
7119,6716
8002,5829
11249,5785
5602,13201
11609,10973
12373,11244
8414,7927
8304,8370
5772,1578
1953,4243
7415,8915
6974,7806
7966,8670
1083,11749
6863,6715
3344,11389
10042,9688
10451,5244
11718,11011
12976,13870
6637,7379
10169,5197
7962,6797
7752,7566
7828,10190
8355,5678
11001,1882
7542,6179
5472,3294
6735,1104
11823,4089
13844,12233
7996,7219
11349,6647
7728,811
1365,11775
4230,9342
8074,7604
8336,7632
6906,6641
10067,1592
1307,11259
6366,6824
3300,3587
11237,1200
10328,1001
11296,1124
10837,3290
6172,6358
9480,980
6279,3320
4502,4079
3672,3271
2205,2139
5596,3612
2872,2815
2905,3693
2168,2631
9504,5638
2573,2260
5121,9160
1082,1833
7655,7285
10178,3018
8050,8230
6551,7123
9825,6036
11254,9876
12042,6554
9315,8709
9992,1333
7678,4849
8396,8747
8364,7476
6652,8289
8462,7655
9341,9794
8023,7927
12248,8308
10048,5446
8812,8680
6755,12929
13685,10142
7023,7010
9368,6145
3225,13379
12040,9890
8199,12195
12276,13608
6878,11406
1560,11069
2181,12775
13594,6037
4682,7814
10296,10498
6938,9289
10429,10343
4802,10052
10025,5273
12411,12249
9607,12881
10925,12036
10178,5170
5160,8802
6165,9125
10657,12874
12099,8387
13161,2225
1522,10579
13658,3704
8638,9898
9957,1259
7966,7728
8468,6553
10667,1690
1063,669
2168,12646
1824,11526
1074,11506
3861,6100
6829,14037
8568,1346
5374,5089
2406,12188
7660,7061
1604,7695
8269,8363
10035,9332
6523,11308
11567,7217
11103,10614
6507,9247
6633,9739
9167,8868
795,8976
8260,8730
8170,7230
4778,9177
3561,11465
5966,6306
6169,8434
5932,4242
13758,7811
2754,4564
2520,2994
7176,8035
7684,8083
6400,6389
5601,6303
8683,5953
13729,13468
6038,8722
8810,4366
6607,7075
7578,5710
6122,6151
4563,5048
1163,12032
11452,4626
4104,2708
12158,3052
5294,9213
4879,5875
9526,13630
5092,3817
9196,8821
8397,10057
8363,7963
9597,13680
7569,7907
7309,6857
7966,8152
7591,7019
6398,6910
7013,6890
6488,6922
1671,9541
5087,1227
8476,10414
6130,6461
6583,7961
11361,1229
12414,2023
6625,8557
5312,5870
9376,1458
7351,3327
3364,5102
622,2453
3252,569
4654,13677
2389,13224
8458,8633
7960,7742
9337,9649
4737,7539
12767,13818
9897,5742
7754,7994
8561,4805
10012,9364
8015,1456
5082,3700
7129,6725
11926,5469
9637,933
1582,10557
3647,8827
1572,4699
1347,5899
576,3188
12122,1235
11100,1655
6456,6859
8506,8550
7729,5426
8161,6935
12807,2714
12085,3457
5313,5156
10122,9724
8283,955
8807,6398
7636,9926
6228,11207
5224,6036
7283,6953
3334,11259
8215,7201
5794,12361
12862,1671
9916,6276
9184,5840
2685,1156
7363,7070
7280,7271
7409,7998
7496,7236
5087,9061
4626,7652
4617,10185
7270,1641
10767,4709
7607,7031
8581,8499
8486,8938
2475,1900
13970,4918
13867,3687
13521,3839
13971,5291
9862,5682
8330,7776
7938,8040
5042,8604
10694,10209
8519,5053
1402,10883
839,7620
5312,4933
2224,4503
10140,7352
1099,11948
10241,7255
9013,8250
9212,8529
9378,13159
10820,3472
12694,5323
7139,6814
1345,8346
8515,1301
3228,7695
11132,10910
4738,11708
2881,1564
7912,8558
10352,1758
8469,8730
9155,8504
5056,5530
8250,8850
1446,5458
5876,1296
4266,2720
782,913
6357,6827
11080,6325
14073,7892
10664,10410
3286,10754
6727,7051
6031,12654
9618,6038
9044,9121
8416,8301
6152,10436
10632,11148
8920,10786
12432,12482
11949,11842
2931,12202
2255,13047
3897,12915
9883,9128
7404,14086
4984,13874
13833,11206
7871,1518
8547,6358
4354,5144
3803,11042
9478,9491
9009,8744
11653,6644
12516,7483
13436,12844
8910,8315
1697,11328
9548,9480
6088,8775
8416,2179
2584,2290
1353,12593
7451,7776
2094,11769
9208,2214
8294,7098
8987,6157
6930,13934
7423,8803
12595,13340
14114,11687
9204,8525
5736,9338
1599,10821
6751,6591
3011,11924
8859,7584
13868,10273
5008,11622
11522,14016
8542,8550
8190,8700
11811,5991
12924,2952
6526,6888
6519,6273
5637,6434
5584,5424
2827,6207
8303,7302
1971,602
5754,6585
13211,3925
1091,11391
13856,6229
3726,4156
8510,8303
7560,7970
9231,9047
10550,2922
7697,7699
