x,y
8530,9106
4942,9719
8215,7623
10504,10901
6878,7235
7601,7304
8302,8405
8339,8676
8720,6500
7474,7949
3435,8053
6695,7280
4391,12251
3281,7764
4849,5150
4738,7428
1607,623
2841,1920
7978,6316
7863,8147
6314,8169
10559,859
4963,9242
4247,12236
1380,10410
878,6693
7326,2961
12034,3400
6817,8226
7776,8298
8373,8537
9807,9306
8980,9038
10008,10268
9810,6119
5628,12744
4538,12031
5821,13199
8443,13552
10023,13960
12284,13836
12452,2672
13021,3135
9204,7526
8002,5642
9942,3354
2799,11696
3898,10261
10536,10517
9423,9548
7651,7363
6797,8199
1787,12193
2879,11849
4430,11987
8602,12423
956,9462
11348,1742
5765,3544
7395,4864
6621,4788
8646,8487
13573,4745
4889,13539
7381,9773
10182,13980
10302,13722
10665,10760
12917,10361
4184,13202
1203,9516
11917,11373
4814,13596
4843,13213
10920,4437
5151,7681
4754,5210
5334,13426
1933,11800
7208,5015
4740,9715
6029,9143
5810,5671
6848,4575
8100,10033
9254,5782
8418,8403
7155,7230
8153,6525
6668,7865
4919,1616
3586,8552
6179,10751
8128,3530
9823,4514
10176,4920
11707,6655
11421,5689
11812,2906
4533,4428
4070,4552
6014,5947
13672,6804
11413,4565
6703,9120
4344,5221
6262,11104
3961,11451
10259,8817
8290,10322
7782,10085
4456,9269
6016,9131
7348,11607
3047,9484
9452,2405
5124,1380
6304,13538
6023,5787
13771,9620
10842,12070
13851,12660
12507,12902
12564,7178
13424,9830
6116,6454
10011,9055
11222,4511
8646,11450
13465,6245
7428,9903
7528,9728
6776,7378
9246,13189
9976,6569
12992,3336
11146,8399
7418,7410
8977,9149
7678,11370
7649,11735
7474,13387
5693,12759
12417,9432
8836,11474
13223,13913
13602,4396
806,9695
2102,9627
1313,9649
8492,7534
5579,5875
2692,1953
2163,1995
10446,2599
2462,7143
1662,9904
4849,5653
6772,6888
804,10083
4773,8621
10446,6654
8498,6867
10707,5177
12019,7132
11350,4904
5396,6215
2782,3059
8533,8515
8120,5211
7915,5364
8434,7702
8159,7816
1288,11548
5296,13638
12563,13245
13661,13984
2321,13457
12294,11094
9485,9091
5393,5761
13531,3944
6577,3151
5687,5035
4694,4029
1138,4011
11592,1154
11396,1610
8655,9249
11512,6160
2646,9895
5870,6700
6174,6302
4009,13710
8444,6110
7090,4301
12146,5192
7258,6698
5084,12408
11463,11087
12784,11047
7340,8546
10223,4877
10880,4494
7567,8051
13074,5364
12087,8906
6435,14065
13268,10690
8831,8214
11678,1374
12625,2997
1641,5573
7304,4928
3610,13800
11480,1315
3979,13825
9712,10336
5406,5274
7660,8703
7300,12273
9916,5292
11125,5136
9796,8946
4168,11679
10860,974
7594,7898
9840,2566
7639,11081
12648,11778
10917,9935
9479,8907
4239,13482
2974,13763
7030,12731
13374,5178
14121,5343
11443,11236
14095,14055
7148,11542
8460,6372
8922,8207
7835,7087
7162,3346
1416,6308
3522,10218
2858,2107
2616,5979
4390,7116
4962,5506
8123,7396
5915,1301
7737,8240
926,11461
9052,9394
13265,11295
12445,12825
8575,1389
4993,10082
4615,4276
7172,4891
10893,13507
10720,12779
13841,9589
13938,13980
11842,3762
6528,8523
8493,6411
8818,8527
2382,13034
2439,9877
1932,2551
13076,5073
6851,6416
6209,6550
8651,8577
13621,2845
6360,6680
4740,3478
7038,6576
6852,7533
7739,8246
13034,3539
11680,5598
10968,12193
10393,10453
7495,7030
11574,7931
13776,12585
9354,8876
12175,10099
13484,8939
13580,11852
13224,13917
8412,8520
1654,11854
8124,7558
9411,9023
8334,6919
8149,7883
9187,5634
10118,9679
12952,12090
7417,9845
6824,8006
8242,8125
7002,6560
7293,6458
6424,12002
10089,5940
9518,7189
7216,7200
7546,6980
7986,7728
10122,9390
11068,13539
12981,13597
2168,13433
13515,4228
13520,4515
11256,1059
10934,1737
6428,7230
5595,6320
3446,7401
12132,2004
13290,2284
1014,8712
10637,4722
10004,6459
1126,5044
4219,3842
8651,8725
7740,5269
9350,5695
11179,5672
7503,8425
2888,3256
3622,3264
3959,3645
3949,4162
4361,3857
4692,5888
6317,8157
4964,9423
8442,4763
11031,8769
8417,8333
10894,1311
5864,6578
5844,5953
10398,6691
3263,11761
13633,4399
12192,1324
10192,7167
12070,3441
10697,8767
7647,8580
9390,11508
4111,13412
13247,2141
1758,12640
12448,1337
7072,7521
8294,13818
10362,14002
10444,12238
11801,11028
12152,11556
2839,12827
8397,7718
7771,7126
10920,1132
6352,6363
10877,9824
13852,5112
7898,7373
7640,7906
7547,7464
2885,9850
6003,6238
1247,8364
9106,9054
10720,11263
8548,8395
8021,10912
902,7738
7364,3024
8556,4712
7808,5226
7178,3454
4359,9712
4492,9084
3450,8519
8642,8007
12781,2513
7872,7690
13469,4663
8199,10382
4062,11468
10721,11787
8848,8859
879,4539
4455,4448
13345,2506
2875,9925
12435,6249
14054,4333
9856,6521
11554,6124
9838,9800
10774,4558
9924,10158
5519,11075
9855,9682
13998,10205
9397,9405
10442,7493
935,7747
4949,5104
13685,7958
7268,9966
5250,10619
13314,6333
13499,6928
13354,9428
9671,8795
12257,3282
4846,8134
8935,7608
6215,6549
5305,11628
13369,11558
13602,11872
7443,10036
6902,3763
6740,4612
12367,1913
5999,1396
12227,2717
11050,4873
12253,3335
10328,1195
11821,3219
7829,8069
13778,8988
12781,9585
6418,9630
7537,10077
7088,7296
8653,10771
1476,9283
7800,1571
3788,2181
1856,1233
2613,11706
1458,12942
1563,12282
935,11579
2444,13310
7293,3549
7312,2956
12662,2685
12299,1571
12536,4697
10825,3413
12133,1305
11984,2182
4171,9876
7858,6611
14092,4876
13963,4988
9132,8614
9190,7405
7407,6092
8048,3483
10770,11011
9985,9097
12320,2154
9971,5397
9568,11982
9759,11002
7808,8086
8027,8173
12739,6143
14015,4357
9926,9856
9986,9296
9546,10162
13903,9782
13851,10428
6213,10143
12110,14125
12197,14228
7975,6765
11554,12707
7986,7296
6709,8537
10508,5176
7039,4963
2380,748
4470,1073
1581,2451
2074,1339
11385,6942
9438,10037
11006,10960
7626,11455
12601,11448
2102,11673
4420,11575
7888,8715
4517,12496
3557,10556
3571,10154
2944,7805
7942,7454
5367,5659
4756,5570
3534,3815
7212,7292
10882,11629
7180,6972
6668,6710
6550,6384
13394,3578
6522,6494
10962,1128
9404,2263
4758,7610
6192,10088
10445,5080
8702,12482
13049,1954
13420,3424
5844,11620
9999,9578
11992,12652
7392,7448
8876,2599
7826,1498
6372,9086
5239,4736
5438,5610
5695,5310
3660,2862
1167,9795
8669,8051
6126,6492
6069,6674
2904,12834
13754,6882
10783,6909
3015,12094
11781,1491
13133,3636
8628,6646
7290,7206
13050,2857
6208,7092
8937,3438
3731,10272
9884,5442
1564,8284
9180,1065
8678,930
11153,1922
12626,5340
8954,8374
3189,7998
10217,6723
12748,3062
11970,3850
4114,3398
3977,10244
9207,8691
5444,6092
10916,8734
11484,12746
10178,8583
7730,7578
9206,9050
13502,4715
11136,5762
10958,3611
6675,6573
5963,5785
13494,8276
1245,9788
1313,7004
3300,7430
14000,3976
9396,2316
1069,4665
6767,7724
8858,9010
8755,8622
9998,1228
3190,2438
1396,7555
6816,5024
7548,13962
5611,5133
5998,5153
10262,10149
8252,10336
13183,12473
6810,9902
7231,11912
11011,5025
1968,1184
3397,4122
3684,3209
2835,2987
7550,8057
5840,6180
6126,7338
7850,13530
7881,1333
9569,9633
13172,3294
10402,1261
5240,8861
1132,10320
11224,5129
4180,945
6653,3160
8860,9098
6504,8401
1348,11612
13833,6783
5653,3586
13903,12192
8235,6754
7046,6946
7399,6744
12196,1574
12877,3065
8021,7166
11261,1315
10963,929
10674,1791
8445,5214
10044,6500
6964,4510
2782,4888
4268,4533
4225,4393
1585,811
3023,11263
5948,5648
2470,7508
6722,6532
7920,1812
10248,4999
6372,6312
7229,6948
3708,13166
6207,11446
8108,6652
8844,2286
13342,5021
13332,5054
8849,5486
8103,7984
5204,4784
4738,1663
2306,1854
12854,3126
7901,8571
13128,8234
4344,11798
1714,11097
10194,10993
5101,5090
5068,5759
3967,3687
3621,3386
11672,2170
10630,881
11061,1170
2989,9710
3280,8004
2127,5320
5890,3483
3957,4454
5668,6440
7781,8188
2636,13417
7356,6695
7332,7483
11327,1479
8353,2268
5320,13976
11848,5038
7612,7191
10779,963
8397,8951
13017,3697
6362,1812
13759,3848
13677,4688
9981,1127
4272,10252
1883,1319
4232,2678
6686,6242
7025,8315
13378,3081
5211,5279
4761,6191
2326,2279
10420,2926
8028,8208
7703,8029
3536,7879
4660,11750
6612,7069
13384,2682
8672,6758
6092,6051
5427,5992
6509,6118
6600,7148
6218,6472
11984,5490
13472,4735
10013,9527
6562,7061
9746,8996
3010,12717
3553,10644
7784,7931
12358,8435
12375,7346
8194,10331
8540,6566
8318,7390
4462,10144
5180,11518
2814,12704
7896,7016
10728,3224
3028,4345
12878,2419
13679,2838
10674,3166
5249,13430
11831,6841
4275,11597
2011,13202
8143,10083
8808,6267
1202,12244
5522,9390
1950,4454
901,3286
3681,4326
7050,4484
1335,2210
10033,1093
3470,6472
10810,1204
9806,5382
1059,8329
9865,7049
9772,5961
10252,7469
3201,7977
10314,9890
2976,1957
9677,6415
8541,4701
6329,5983
7238,3592
5024,5589
11021,8950
5283,3203
8143,8341
11026,1082
6606,7170
4778,5575
8289,7243
13996,8574
8575,8913
8586,7668
10049,6615
9733,6338
4623,9288
8298,11787
7703,8797
7342,11737
7915,10772
2232,12981
3745,10295
3800,10864
10158,8148
7720,13524
10746,7630
10292,9590
9228,13822
9418,13848
4384,13274
5742,13672
13365,6842
11104,5013
14156,14380
9205,8783
8077,7188
13988,3720
7257,7419
7502,6796
8074,8086
13689,5794
4806,1110
9789,1390
5681,1371
904,2250
1956,1036
11205,6112
14108,4941
13507,6024
6120,6793
11088,5706
6944,9010
8504,5874
8229,7962
1414,10766
4744,12524
1282,11712
2970,12965
4247,4980
11123,9864
9845,10307
9633,9435
11150,11959
6273,7114
6221,8761
12538,6871
10390,9758
10392,10366
815,10825
7654,11026
6342,7074
13439,2575
12642,1957
1346,11114
13474,3774
7065,13501
2277,12508
7034,855
6275,6544
10763,3361
5988,6382
6376,12049
8406,4999
7067,807
3454,3707
5910,5587
8978,1004
6778,9562
7752,7259
4390,13652
13296,3748
10295,883
8605,1511
6586,6984
893,9970
3252,8725
11224,4359
1871,3101
2435,1367
4645,13755
944,11586
10366,2722
6805,6976
4417,13297
3432,693
7070,7232
11947,2360
7179,7444
7934,8200
3572,8891
3518,9056
3770,8091
5582,5396
