x,y
9204,9027
13188,3288
3077,11177
7508,7193
11240,1005
8467,3552
8843,8838
13953,5711
13383,11774
10678,1660
10797,2001
11532,1859
8244,1684
11154,1396
3122,7275
4690,9370
11997,1771
11496,7988
7703,11360
6407,9488
10886,11565
10753,1407
13257,3564
12830,2508
6295,6140
7404,4717
8444,5626
8764,4475
8203,6605
6929,1285
8333,5666
4682,7106
8294,7424
5984,5981
1438,7808
11401,1171
11832,3912
6514,2730
3377,8645
5676,5787
12634,2094
5685,6052
8614,9900
10765,10387
13353,12460
10749,13089
3374,8323
9635,6260
12333,1896
5589,13867
12177,1304
13045,2373
6562,7614
9184,9539
10812,7618
5037,5268
3930,6255
13469,4036
10599,10512
7777,7712
13596,8943
11037,10580
12412,9550
12429,11549
13691,13107
11628,3065
11435,4679
10877,949
10410,2798
9975,6559
10442,1281
13323,7547
9067,11193
11911,2065
11473,4147
7768,8203
12658,2442
12422,2067
9697,7049
13908,8355
12828,13171
12047,13664
10498,12290
13958,14261
13321,5597
13200,3495
14048,4902
9381,6248
13364,9886
10352,13866
7692,8416
11268,6172
12142,2005
11105,5725
8171,7135
13288,7160
9792,1036
13476,3570
8230,8254
9999,5079
12888,2827
11178,1952
10283,901
10595,1518
6292,912
2845,3669
2244,3013
2971,1936
13109,5117
13157,2297
13740,7757
11509,6515
9409,13034
13022,9313
13645,2947
12769,3071
13050,3826
8344,8491
2980,13252
651,3979
7245,6675
10236,10312
7115,13385
11661,1849
13921,3776
11348,1742
7576,934
6707,4280
5959,5529
12573,5793
13068,2520
13156,4052
2865,11321
9168,13362
13962,11438
4725,6871
13190,2997
13430,3088
10072,808
10907,1086
8220,7557
4147,4639
6987,6760
5998,6210
6816,6417
6351,9253
5233,5122
12026,1676
13719,3338
12059,7402
13512,9062
13665,2938
12757,1965
12512,4985
10032,10519
7601,10144
13450,10585
4184,13202
7611,6038
9719,8868
3810,1190
13471,3320
9702,5359
13314,2209
10728,1120
13248,2502
11288,1535
11518,1292
1524,7856
13961,3924
4303,9771
4488,4478
10094,1101
4354,4836
3954,4624
7483,3259
7128,4838
2929,3633
3007,3476
10406,1471
7462,4918
5778,6106
7288,9190
13160,2747
14031,4262
8348,7637
13983,4642
8819,10486
8410,8604
12437,12777
6370,8152
6932,12635
10417,10190
13627,4757
8291,7713
11486,9610
12416,5173
12212,2309
7293,7829
9948,10416
13290,2615
13290,2232
11102,5744
12551,1794
6594,7222
4807,3869
1331,2753
2995,1950
13780,3770
6493,4782
7888,5774
7430,6762
8608,3512
4034,7193
1460,7928
6081,1886
4187,9918
5735,5729
12242,2441
11245,1521
7604,2541
5014,11465
5347,9562
7850,13703
4218,4964
5908,9891
13443,12342
10687,13519
12250,2602
12998,2997
10495,1271
11382,1660
10350,1526
4878,7966
9248,2427
9874,9850
6535,4644
4008,10188
9017,6175
13322,2641
11225,1402
13486,2920
13463,8118
10577,5258
8430,5710
10100,10659
6470,6824
8854,9147
11295,12629
9373,1508
2064,4431
8541,8119
12885,11546
12532,11717
12185,1450
13624,4613
12987,1969
10486,12245
11646,12410
13313,3031
12308,1952
9894,8835
12382,1810
7352,7961
6612,6163
12413,4908
7668,7420
5166,4662
1276,5046
12482,1684
13738,3148
13878,3865
13587,3453
13993,4319
11108,3418
13687,7997
3558,10487
12597,11518
9913,8936
12511,11763
9945,1071
8124,8002
3562,12974
1469,10853
6470,6254
1677,10592
4598,10104
8908,9734
5574,1045
3285,10646
2409,1268
10925,1368
11644,1608
12511,2461
7320,3219
2612,11532
2645,5446
5371,4973
4749,1612
4752,9691
2655,1534
12315,1606
11819,2456
3121,10887
9968,10029
6176,13468
6880,9566
12435,11167
12057,1910
8364,2576
5034,784
10867,1386
10200,2461
9507,1498
2023,3828
8574,1476
12510,12929
12009,2649
2420,3752
11554,3345
13281,2367
13913,5168
8498,12220
13200,2098
10378,10424
10304,840
10020,977
12956,3022
12996,3354
8815,5439
6674,6248
5404,5860
10737,4608
3596,6591
2273,3255
11974,1958
11003,1368
9452,2405
10790,10872
10842,12070
13851,12660
12564,7178
6616,7161
3606,13091
9366,2065
7900,7310
12051,2169
11845,1194
10731,1323
13465,6245
7428,9903
8853,13436
10269,8966
10648,2551
7685,6588
10023,2457
9642,9264
5526,5932
8484,5562
4188,10190
5348,4794
2975,11850
7684,8296
1710,12497
7726,11021
7682,10068
6689,7467
8139,7527
13818,8687
7585,7129
10966,10474
5462,5078
6251,9824
11030,1351
8694,9934
7393,7837
7624,1726
6680,4454
13275,3747
11775,2266
12924,2240
12310,1954
13229,3484
8310,7480
8308,7763
7310,6736
8877,8183
2323,3797
2262,13324
6202,3185
6674,3808
14078,4359
12806,3364
13788,4728
9821,9237
11182,11767
8011,10095
7065,8936
12251,12658
14198,13636
12459,2190
12529,1467
14092,4739
6622,7366
4031,13140
9082,9908
1958,12057
8174,10094
5840,5480
2891,5827
6636,1726
3887,1211
6038,10234
5471,13299
9260,1963
2519,2753
4059,3905
7704,3275
12382,6337
12491,11714
13336,10008
12425,6033
4376,5994
2924,7440
1773,4195
7124,1306
12189,3220
11840,2732
12569,5262
8565,8047
11372,1422
7338,6107
8213,11797
4374,13620
11203,8671
14083,13921
12417,1587
11726,1296
10225,1050
9709,1368
13822,4234
4324,4796
1464,6357
6572,915
8088,6254
13842,5216
4267,3863
5061,3885
6476,3167
13284,2879
13878,3818
12522,2479
12379,5963
12987,3366
11543,6944
8083,8730
6060,6030
3419,4085
4628,6762
5017,10041
1785,2038
13159,2035
4930,11570
10361,8700
6452,9418
10975,10622
11965,12369
14376,14355
12283,1406
12929,2538
7385,1019
4582,3822
5090,3294
2871,2533
10124,3172
12455,2002
8861,4042
10961,4721
3791,7320
1602,4365
2712,3090
4489,4811
7410,5142
6443,4644
9422,2466
7661,7388
3308,13135
1758,5242
12004,10452
12200,12512
13575,3497
8850,9293
7703,7592
8417,9001
13073,10623
13175,3660
11889,2468
13258,10266
10165,7184
7835,8197
5008,9654
6744,7203
8851,8146
7038,6995
10263,10986
13596,12944
11734,1785
8142,6619
5102,5045
10162,2295
9933,5297
3639,10584
8663,6120
4163,3541
3565,9114
10234,850
4938,3996
7997,7126
9395,1610
6759,909
5052,1688
11658,11355
9958,2447
10184,1238
10025,1215
9527,3217
867,5251
8768,6526
711,3241
14055,4377
13639,3514
13589,3099
12119,2919
8210,1062
6469,6841
6953,9785
7569,1254
9825,3337
6309,9497
5352,8776
9334,2142
12396,1529
6688,882
4325,2394
12175,2091
11380,1918
11418,1443
12790,3063
10980,8908
12596,4970
13846,4719
13360,4510
13636,8405
9382,10060
7059,8921
10999,1122
4162,4364
11453,1325
13655,4609
13829,4738
7731,7923
2346,4384
12906,3387
13180,8025
7882,12072
7514,11236
12496,6630
11018,1151
13944,5807
8138,6806
13244,4365
2479,7135
10434,2855
10167,10501
12990,1772
5329,4796
7087,3711
1658,7647
3484,2785
10631,2528
4764,10738
8568,6668
3825,4253
12293,1465
13380,2438
5586,1310
929,690
6399,6195
11238,5252
2643,13480
2662,5532
6193,7137
12808,2739
9003,7382
10781,5415
12802,7212
6854,5064
2812,7425
6631,8347
3036,11345
10403,5198
1095,9693
9651,5555
6631,7907
4463,6091
8749,4247
1859,1015
13584,8550
2193,3287
11862,1797
12664,3228
9430,2400
5850,1047
5156,5722
1218,6653
8024,1832
3451,4204
816,1667
1322,2159
4754,3794
5693,4972
14124,4756
11769,2061
8862,9405
5589,5362
5269,10355
12137,1811
9981,1024
4574,4670
2118,3390
6448,2624
13264,3548
13655,3753
3692,11412
5221,9360
10914,4344
4557,6844
2078,1458
8772,5873
6858,5486
11690,2173
13850,5473
12635,2203
12255,3263
10622,10541
9598,9569
13610,3643
12079,7903
9851,5828
7318,9741
8090,7260
8686,8805
3026,11149
5696,7498
10966,1686
7215,8669
7615,7974
11346,5964
9918,4694
3041,13865
13408,4826
9959,3202
10152,10376
10457,882
11968,2576
8273,5112
4011,4484
1943,9600
6578,2484
4038,2089
11722,6108
11788,2205
13097,3247
13209,4062
10044,3262
8824,9357
12109,11372
12651,12235
13471,3078
7228,6811
7914,8353
8562,5210
3797,10742
11838,12699
11921,3063
10963,1397
13396,3289
11124,1153
11200,1417
6016,8996
11203,1162
7783,10603
7138,7060
1425,8351
12041,9253
8491,10416
8522,8646
3924,3320
6054,6206
12017,10374
10283,12742
7624,7656
12797,11825
12198,2240
13690,3346
12935,2041
9785,9637
9967,6805
13323,12153
6468,9603
6301,8744
12311,1886
12386,2328
7572,6771
7511,8706
5012,5465
4951,8374
7632,8593
6057,6747
2757,1647
11480,3058
11039,1281
10491,1782
11870,2081
13505,6158
7760,6817
12333,7797
7120,11456
7084,5126
6318,9101
2216,10057
1690,9220
11332,10993
4413,12591
10039,10622
4019,4093
12036,7037
11536,3557
9284,11240
13190,9374
10172,5281
6554,8745
9173,8494
13228,3152
7603,834
6841,796
6058,6462
3707,3180
1622,7018
5832,967
13084,4862
13101,4931
13522,2878
4934,5452
6629,1436
4459,5101
13169,3725
10145,4980
9222,3816
8367,6589
5650,9308
7749,8208
9493,5841
13355,4035
9905,6572
3779,9325
11936,13909
2873,12617
4211,13416
2913,12697
1231,10429
5548,13430
11099,6560
4311,5046
5467,4915
10924,3315
12716,2178
11813,1326
12324,1396
14002,4582
13194,2380
8182,1279
12610,7268
14023,6883
8567,11614
10161,10969
6082,4608
7024,6608
2152,1411
12178,1518
11302,1882
11815,1539
8118,837
13362,2570
10824,8634
4616,5183
4065,1937
2011,2875
1853,2403
12542,2654
13346,4173
10989,4073
10140,6633
13116,3363
7779,1099
11465,3459
8260,7998
8186,2209
884,1606
12833,2492
13653,3750
8080,7622
7263,4861
9693,8949
6625,12665
4862,13966
10691,8863
12447,2601
14092,5100
10553,11048
13137,9455
13590,4684
11822,2775
12471,2601
10439,7447
13755,6512
8684,12769
9951,14103
7844,11796
13237,12183
14020,4415
12205,1717
10507,1624
10919,1300
12019,1569
8932,4376
9371,2281
4984,1416
13185,2429
13654,7321
3213,13824
3771,4384
11448,1868
12886,2675
8649,815
13073,2304
13635,4032
7204,3429
14266,11331
12558,12492
11086,1298
14146,6742
10565,863
10068,1303
7949,5772
13214,2297
7697,12374
8675,7858
3237,11872
2839,8349
11521,10968
4566,10202
10826,1054
12999,3450
11565,4829
11667,1937
10177,1190
10588,1450
8983,1031
10063,6226
7403,7860
7847,8044
5040,5402
5940,1343
5008,5941
1235,5293
5937,868
13688,3353
12643,2404
11873,5466
3485,11588
13803,8083
12892,3430
10504,3382
9734,9255
7574,8201
10238,2251
6124,11078
1954,2464
10790,1173
12471,1484
7497,5016
10575,1468
8236,5606
4849,5936
3836,3400
12294,6684
12010,2367
12512,1995
13032,2657
8800,7956
9987,9951
4248,11622
7810,1022
7497,12428
9377,5867
1173,10825
4294,13473
9583,6023
6036,10058
8116,5036
4131,11453
1654,6798
4723,8594
2380,8696
6437,9413
10205,10062
5451,7593
9659,2521
8829,13770
12680,13488
14052,8700
12762,13206
9778,5304
11066,10642
12363,13482
14035,12775
11622,1054
12921,12062
6179,13505
13722,3911
8184,1770
9935,5414
8700,8458
13144,2218
8636,8764
13614,12673
13744,5033
9228,8670
5933,12533
12198,13358
13332,12579
11846,2047
12109,3098
11260,6288
9160,6246
11569,2062
12192,1324
13262,4891
12436,3210
10929,5531
8971,9872
8822,7826
10846,5290
8685,4167
3319,9103
8258,8230
9246,5767
9724,5710
12296,5043
7781,10093
3664,7842
8324,8042
8187,10119
6539,8079
13335,13864
10391,863
10642,3010
10197,820
11990,1908
8008,3294
13781,4166
13204,3185
13977,4362
11636,5838
12656,5269
14062,10938
11217,10826
13166,12082
13083,3425
13088,2028
13321,2740
11290,4532
7283,7929
8358,5569
11434,6180
5917,13283
10065,6007
