x,y
12076,1583
13103,3317
6373,5884
7906,1809
5091,5821
6524,6145
9661,3275
7178,6908
4216,9707
4694,8163
9545,4433
5122,11643
7777,5079
9404,8833
9892,6066
9474,4188
7220,7600
6360,6571
9831,3381
5786,5402
6682,4816
2850,3239
1305,537
5220,6020
6414,6648
6728,13664
11486,6430
11249,4812
13828,6977
8000,13566
1253,11991
4320,3817
1606,6550
1518,7499
11528,6910
3893,13274
3726,10032
13420,5425
5138,3403
3804,10855
11353,1723
1367,10006
6808,2835
8281,8480
3219,805
9624,4105
8136,8244
1556,3542
11434,4717
12042,4677
8159,7816
5296,13638
7868,8549
12203,8419
13661,13984
10368,10625
986,10149
11908,7394
5267,10315
7467,7503
2813,13282
1818,12139
3059,10940
3278,12984
7630,4931
4611,7662
7948,13816
7798,10735
1062,10200
2462,5575
1247,8057
6850,7959
2188,13374
6964,13905
9060,2162
5955,6402
3900,2558
10937,4823
9815,5693
6236,5704
4809,1269
3300,13593
2679,12429
2899,11275
2236,13335
3346,13772
1610,11528
2452,5580
3918,10362
6999,6574
13291,12347
10668,5360
6064,5902
823,7737
9039,3518
6948,7956
8206,1483
7706,1568
7118,3018
11237,3886
5202,4946
7758,1431
2381,661
7400,6814
1309,2538
8898,8276
8028,5326
7950,1148
10013,4195
3798,1039
6183,7301
11774,2251
1477,5291
13523,2669
704,3646
12967,3442
9195,7402
11586,4302
6009,5885
11453,10916
13178,11357
7076,9946
13885,7736
13552,3794
2145,12551
1390,8020
1560,9267
2864,2870
6935,3087
5045,5053
3409,2146
13315,3167
11849,3471
8854,7988
4946,5278
2247,1635
5285,1181
3413,4051
1953,12671
1729,12238
6650,7800
4584,13727
872,8513
4676,12278
5171,6097
7829,10482
5663,5173
12285,1533
13818,6104
11134,1800
10235,1289
10620,10954
11327,12154
2124,9613
12446,11714
11574,13115
5868,5546
7481,5793
4038,10337
10119,1589
11693,2139
5666,8997
3021,13187
4531,4429
5614,7441
8180,2468
3452,9106
1804,966
7049,11260
11523,1335
10788,1470
10168,838
11293,6800
11134,5119
11132,3286
2582,13475
13006,7378
9295,5421
2454,2336
2272,2852
4956,7547
10566,4876
6975,7246
6282,2205
4106,10202
10299,1221
7644,7178
8393,785
1988,12662
5009,8957
2585,2646
11818,7652
7356,11518
13272,7186
9949,10888
3398,13012
8697,8381
5160,13455
3217,7930
10504,3171
10688,3266
6396,6101
5068,1799
8368,8368
13106,7026
3654,1162
11144,11925
5774,1370
1704,11458
13798,5545
5474,10656
1609,7219
12019,9667
7698,10949
8404,7451
11635,5699
4972,8850
2824,7655
9694,5372
4111,4735
2120,3164
1164,11337
8206,8336
6231,10701
9224,9494
8315,7004
8031,7293
7864,8334
1614,11094
6462,6009
4076,10170
12614,13727
7323,7398
7370,7513
10173,882
4199,9330
4748,10096
6462,4486
6326,6994
10693,11742
3260,8960
6355,8228
13264,3473
11116,7678
3969,4985
11851,7340
8614,7520
7055,3966
8171,1309
4768,7556
4457,899
3361,2769
8495,7662
3800,10864
8661,7858
10056,6920
11218,3853
9418,13848
8256,8690
4384,13274
6164,10188
13365,6842
6315,10149
13873,10765
3005,13129
6058,2278
11203,5942
4702,1713
8816,5508
13378,2616
14037,6282
7756,5086
10255,5169
4723,4911
13249,4034
7705,10117
3518,10655
4371,4318
9799,4458
11805,9861
13165,7926
3474,13898
7680,9988
4105,9412
12025,1437
8686,4676
4832,9984
8882,6504
6647,6558
8945,6220
7017,6959
5120,10648
12541,10994
3049,2522
6001,3719
8791,8781
10002,5929
9483,8818
3479,13494
7368,6282
3301,13075
11380,6721
4536,5950
1754,9342
7072,4954
13209,9961
3692,10684
