x,y
4391,12251
1248,10693
4441,5311
9109,7186
5457,6249
7866,909
2169,4422
2841,1920
1614,11234
854,4508
1558,12948
1812,11501
1892,13226
4734,13473
4782,13904
13609,14017
2175,11816
1234,10830
2774,6608
3246,13409
3224,11771
7992,10625
11462,11138
10475,13432
3690,13986
3950,13643
4354,14055
9505,12744
12986,10758
11368,12270
2490,12723
5357,7740
8008,8284
3049,13490
3683,9788
2313,11779
2748,7625
1127,10923
2552,13630
1881,12693
1559,11469
1756,11430
6091,6503
1404,9968
3732,13604
859,10111
8337,7776
3147,12760
6480,9158
8765,8198
3505,13570
1625,11311
1710,11175
2246,13036
8274,7888
1379,10888
6813,6399
9932,7082
4764,7828
3720,3456
7644,2424
2040,1735
9089,8359
7266,10058
7680,8052
11401,3666
8929,10780
7536,7102
9687,13986
10992,12229
11216,12207
4033,13406
4158,12833
10241,5859
9991,9255
1282,774
8615,5822
1764,11363
2193,12371
3945,13320
973,8204
1282,7318
2012,11835
11437,1427
13475,4134
3372,13119
11041,1159
3402,12913
13094,2135
3300,3821
2532,12690
1471,9871
2957,12097
5413,13276
1616,11766
4567,2662
6317,6696
12338,1412
10184,1634
13075,2950
6688,7680
13660,4072
13728,5171
8437,9001
10274,4906
9337,8990
7809,4961
7591,8279
1127,12472
1119,11696
5748,12727
8637,7821
10146,8245
12801,2136
9009,7656
4689,8498
2562,914
9208,1983
6103,6292
2832,5637
3762,894
864,3720
4965,9987
3503,12884
936,10699
2162,13122
10743,2290
1172,8334
11067,1224
4717,4376
2371,1310
2552,11659
10083,8855
3635,11189
2622,12718
1880,12925
2534,13036
1933,12169
6304,13518
11964,11084
13965,13285
3594,6502
10660,11051
10984,4844
10533,5212
5619,9499
12027,8986
11507,4672
3348,3940
7255,7203
1758,10244
2911,11894
3663,9756
11237,999
2890,13108
2674,9911
5625,9401
13859,3818
10060,9694
7778,7320
6230,6269
12696,2038
6494,12173
3540,8901
7418,6859
8401,10236
3444,13686
9510,9499
4816,8056
8260,10122
1418,8422
6447,6355
3121,3387
7100,7340
8553,8547
12631,12002
12582,11792
2286,3963
4078,4355
1249,11754
4220,13601
3882,13128
8198,10257
11491,10800
10005,10106
10997,11291
3230,10598
2722,12314
3132,13252
1991,12575
10476,1420
11250,6864
12086,6655
9221,13731
7918,13553
13612,7306
4262,14044
2164,11684
1396,10525
1997,5090
1563,5597
10027,7513
12668,11764
4195,13639
1557,12869
1758,12485
1750,11215
1928,9529
6418,7066
9921,6232
7721,8030
10396,5835
1819,816
2352,12719
1688,11051
3866,13005
2224,10106
1028,11579
1586,7524
8614,5247
2124,12098
3794,13336
2939,13118
9906,1301
8543,8798
11962,5567
3348,7820
5927,5973
7790,5232
3850,13216
8158,3361
6098,10661
10070,8918
9870,9732
13004,1912
7013,6281
2523,9706
9675,1001
1725,709
1034,11316
1146,11042
7600,11832
9466,8816
1211,12172
1978,12901
1544,11357
1833,11262
1649,6542
5730,13501
9291,1330
4770,8268
2764,656
2440,13300
4494,14020
3749,13569
3694,2949
2505,5477
1698,11310
7097,8891
9445,3559
1716,11834
1852,12669
3117,12894
6297,6707
4513,13874
5514,5768
5347,5839
1586,7988
