x,y
12044,2014
9400,5606
7334,9079
6231,5793
11367,5825
5685,6410
7958,8143
11414,1248
9592,1788
5331,4825
6294,6263
5973,9113
14072,10834
11295,1868
13093,2171
7550,1665
2987,4106
13158,2423
13503,4379
9138,8973
9094,9334
13533,8162
7817,7897
10242,11034
12446,12203
11171,1025
8924,9271
8547,1008
10573,12037
8086,7263
7972,1908
4583,2506
1854,3182
14022,4508
12603,1480
11598,1234
13797,8389
13649,8751
8612,4181
7612,1596
7237,8070
6388,6950
9786,4363
5854,6692
7012,6778
3564,8846
4319,9483
8400,7870
8664,6614
7826,7660
7974,7425
7700,7548
5331,4855
7828,7114
7846,7264
3413,1009
11361,1328
10511,5413
7854,7445
5793,5994
10106,7674
3607,10270
6880,9232
13621,4346
9480,10112
11806,13919
14286,14120
13016,3453
14024,4868
13660,3930
11803,2529
11760,6050
8762,7665
12405,3257
3219,2367
13043,2908
10352,1310
8476,7563
8666,9927
10140,10604
12388,11321
13944,12882
11292,3368
13927,8000
4591,10622
1465,5854
8589,8467
12393,10775
11018,1317
6061,11276
8394,11878
8605,4586
5486,7840
2443,1338
13235,9281
10552,10302
13975,9157
11268,1828
11764,4231
10722,1262
12597,5481
12453,3095
7622,5119
5635,9231
6711,1081
14112,6026
2072,2505
5695,8777
11047,7663
9065,6477
11191,6104
6921,8183
8578,11668
9110,9013
5981,10248
7896,7817
13880,12869
4364,14036
14017,4492
6067,10250
6934,7676
7085,3133
7409,2976
7470,7526
832,8196
2954,1671
10003,6253
9760,1428
7801,7588
4184,4188
2389,1450
1756,2854
11642,1306
13272,2360
13235,2631
14023,5103
11297,4143
11534,5652
9248,7462
10348,5630
6564,6688
6121,8168
8432,8415
3637,6172
3128,4257
1206,5306
1726,3956
12126,2166
6580,9308
13248,8570
9072,7644
7308,8006
9019,8900
13309,11818
11689,1442
11643,2047
13144,2671
9544,1621
8339,1207
1528,11123
11271,4235
7751,7796
12519,5526
8328,6536
13424,3856
13766,4092
13350,3444
7604,12423
7200,8630
5255,12487
7512,8506
9826,7242
5112,10070
13603,2964
11936,1247
7373,6862
7934,7541
7334,8645
11332,10704
6983,9366
12311,2460
10088,924
13359,2693
12525,3229
7069,1493
5569,5758
11509,11015
1626,9602
975,3564
13703,3307
13221,2257
13302,4461
8663,7851
1962,12633
11470,10836
5842,5552
4844,4729
13201,4046
13172,4410
13206,2434
12520,5996
5413,5510
5299,10311
6849,8294
5549,11089
9583,14115
10118,1562
6606,11403
5679,5496
5334,3097
11390,1309
13187,2313
10042,7783
5994,6053
5960,6321
4684,5126
6292,8144
13761,6510
10626,3179
11340,1172
12628,2134
8538,5398
13831,10247
6568,9586
8965,7509
12215,11416
6786,6556
5488,5652
12815,13200
12383,1478
7735,7766
9361,5588
7510,7198
4791,5197
10169,5718
1930,957
4882,3412
10697,868
13301,2643
10123,961
4436,4848
3702,4037
11167,1413
13923,3904
13991,4157
11361,1850
13539,4542
13581,7384
14033,8430
6607,7482
510,2998
4134,3239
11657,2227
13926,4254
13334,6328
10177,1439
11814,1933
8036,8312
11985,2271
4330,1099
11122,1160
3885,1003
6888,6640
7399,4800
9880,5712
8267,8084
4816,5272
13641,3913
13843,3565
13998,4432
13512,3946
7322,5013
3103,3453
5155,4726
3577,9294
6124,9960
13838,8081
12716,1743
13216,2069
11376,5588
7507,11340
12768,12816
12356,1498
13011,3067
12546,2194
12480,3141
11964,1641
13550,4831
13354,3085
10389,1757
4226,6150
4515,1413
5866,1646
8898,6386
8551,8179
8453,3742
2662,3244
13185,3541
9947,1335
6564,1180
9555,3344
6245,9236
13114,3595
1067,8785
8129,8362
13443,3184
13628,3928
13102,3586
14050,6841
13429,10975
11272,1926
12128,3176
13666,2884
8261,5668
8581,1209
4814,1100
933,6588
12968,2447
12267,2817
10460,10362
12320,7273
6492,6145
10784,7194
7109,10002
8244,10131
1285,5162
6261,3087
11681,2107
1219,10984
8553,10294
8933,13615
10967,3287
10412,9908
6984,11350
10071,6739
12636,13244
14009,5894
12405,2673
12018,1929
10679,1200
9796,1393
3697,13240
526,1135
9336,9498
13601,12097
13180,3208
13459,7264
11201,1332
13295,5553
8648,1592
8411,7893
9404,8875
12082,6812
7827,10683
6251,6000
5519,5170
6024,8598
10844,10712
9278,9077
8310,8748
13447,6055
7079,11022
7142,9644
6915,9475
5341,9066
8551,3820
12545,9639
9848,1290
5610,1122
13533,4427
10334,1672
8971,1196
2873,2712
11118,1326
10910,2416
4139,4794
3692,9588
1988,2942
2158,9867
7690,9935
8451,8281
8747,7917
6970,6987
8168,7606
8794,7588
7465,6998
6678,8167
7520,7678
6244,12740
7848,7485
6939,6546
4881,4961
3604,3260
3355,3758
1044,4119
8852,5697
8033,8021
10132,4393
8339,8518
6174,9262
3414,3507
1563,1237
1318,6642
11865,1454
13544,7273
7761,7473
1170,6913
5847,6049
9115,5725
13116,4121
11972,3111
14105,5476
13440,4652
10200,10210
12937,5208
13958,11374
11757,6976
5961,10724
9710,6247
12596,2336
12204,2324
13538,4476
7271,4935
3317,11087
11696,1558
8539,1133
10179,8678
13973,7506
8704,10046
10222,12189
2876,3281
14056,13416
13616,4179
13735,3693
13274,3061
11670,10943
11709,7864
11308,5517
12394,11901
13327,13658
7701,957
7984,7476
9580,2442
12465,1813
9700,1220
13566,2977
7834,7287
11015,3784
6670,4713
7173,13228
12977,3003
12989,3425
12170,2105
13166,3744
12845,2438
8825,1247
8829,8924
8383,6813
6983,7001
4982,9151
5598,3495
8871,11526
6145,2080
8264,6529
9982,9399
10947,1528
