x,y
12095,1510
13620,3231
12474,1948
5390,5808
12187,12472
3761,10443
4848,9468
4743,5063
13164,2575
11764,2118
6718,6758
8558,7961
13104,7696
13964,10898
10581,1289
11079,1970
11055,1114
10915,1401
10582,1498
11283,1073
12131,2452
12901,3187
13292,3992
7235,1246
6787,1204
12915,2947
7053,6603
8093,7040
2370,2400
695,545
10866,5478
3845,9416
6246,9613
9386,1601
13719,4968
14111,5655
11002,1737
9444,7151
9990,7317
10255,8194
10009,7408
8357,1570
7810,7426
6898,6434
10252,9640
8599,8952
8020,6406
8026,7946
12368,6338
12704,11449
12479,13349
12699,2790
12931,3253
10382,8779
12595,5206
10742,9860
10470,1491
7872,1003
13547,4434
11075,11927
9080,8904
11111,10605
11014,13581
7236,6682
7723,7473
10140,974
11682,1618
8118,8042
9069,5583
1594,10080
7350,3192
1429,4801
3702,2198
2825,2939
2526,3136
1539,2282
13065,2500
11462,1016
11762,3286
6636,6989
9364,8594
7397,3836
10067,4788
8552,8919
8254,8435
3471,7833
4471,9381
7222,6041
6516,6356
1800,9651
1487,6996
3481,3324
3643,4002
3953,1694
13149,2434
12144,1491
9770,1097
10120,1023
7312,12330
8272,12348
10104,6711
7726,13628
4306,4844
3992,4520
11083,1047
13413,7162
13093,11219
10842,1503
7029,7197
7370,7459
6825,13636
2470,11757
6502,4583
7491,10051
9935,1158
7360,8673
6474,8351
6894,7351
11312,1718
11723,1697
7746,10060
10903,1052
6133,8832
11258,7710
6408,12590
8284,8712
12038,10865
11661,1444
13230,2101
5037,13977
12119,1493
14031,4153
13361,3466
11797,1694
13716,3483
13198,2992
13418,2742
11960,9979
12016,12959
13746,9210
13910,12162
12625,11593
7567,2969
6400,3380
9174,5914
1282,7318
781,4641
10612,960
6282,8290
8620,4331
11083,4433
5732,5701
7804,2331
1244,8111
7280,1362
2291,1441
12434,5996
11974,7554
8861,5465
12279,2603
7132,6569
11262,1838
9963,993
10466,3114
9321,1321
4833,5350
5341,5021
4530,4781
4152,1149
6983,3799
4995,3161
1825,812
681,2020
10168,4289
1286,2093
1883,1827
9259,2005
9236,1953
6077,5123
11875,1674
8138,7578
1504,5407
12844,2455
12454,3056
12073,2227
6608,6261
11270,5635
10389,9005
11534,3482
9458,985
8084,1238
11198,4120
11637,5361
4939,5132
9977,9765
2314,2016
3149,1788
13468,2777
11867,1710
12770,2582
11209,1744
11350,1229
11251,1906
13138,2530
11292,1334
12616,2221
12848,2403
8276,7474
6874,9590
13384,4232
13100,2928
12512,2724
12694,2634
5791,996
8324,7382
5931,5862
2770,10066
751,4371
5207,9160
5698,9508
10604,1753
7654,8198
9430,9886
9612,10239
