x,y
10372,871
12012,2525
10714,3624
1448,7016
10814,929
12056,11139
9430,9327
12670,2323
13872,3749
6270,10042
10078,1155
6715,953
13050,2743
4305,3293
4179,5063
1970,1788
13424,2630
13082,3543
8036,8541
11945,3737
13118,3974
13455,7190
4876,9531
11462,1879
14039,4024
8416,7999
8255,1199
8945,1020
12667,12203
11412,12532
13310,11816
10234,860
4796,6246
13922,13411
13883,5041
12223,2670
6270,1713
13576,4311
9070,9332
10788,10916
7927,12238
10593,11054
8405,10117
12326,14049
14122,4858
7411,801
6676,2633
3338,4852
1512,4889
4847,5862
13195,2291
8333,2050
13650,12373
12426,13820
7797,4828
11976,1658
12220,2601
3883,12586
9854,9304
11928,2257
13549,3773
13993,5020
12818,11338
11551,1016
1212,11455
6740,9214
6501,7043
11992,1612
12159,1891
10139,7747
9858,3219
12949,5134
6929,9076
11341,1786
12488,2639
13290,4225
13442,3995
7776,8298
7429,5879
9807,9306
10018,9062
12284,13836
13668,3087
7167,7668
7036,6480
10653,1600
4923,5464
6968,7058
12197,1409
10823,1098
11728,1177
7439,1270
7301,1016
6619,6658
11849,2392
14043,4535
13527,3573
9962,10411
13388,2507
10408,10786
7682,5834
4397,13233
2394,1262
12480,12643
9162,980
13422,5016
12596,2979
13406,6705
7461,5839
10048,9823
5158,8862
11693,3897
11840,4106
10330,9780
3846,13064
1314,10059
2716,12158
2937,12345
1444,6542
4862,8240
12228,1820
12942,2195
10514,4789
6050,8278
7632,3279
14008,4825
12329,2983
5664,6323
7038,6488
6744,795
7480,7877
14088,5013
11657,1511
13341,2431
6148,1435
11227,5438
5104,13875
6274,2024
10842,1002
6906,13850
12384,1450
10447,1627
11249,1170
13254,3397
13411,3794
14028,4551
11984,4702
9730,6222
7246,7839
6808,8212
13136,3288
4140,9530
12196,2045
13552,2988
11024,1510
7976,7376
9661,2460
6513,1441
2650,13164
1303,10471
970,11272
3104,10962
1343,8871
3395,3817
2625,3043
7615,860
13261,2680
10866,2175
10796,3272
1738,4319
1575,4725
2568,7146
4742,6223
13522,3309
13015,11997
13584,3191
8511,10475
12313,8229
9594,9223
13613,7823
11363,9770
12737,13878
12812,12154
12096,1114
13274,3855
13684,6984
7155,6545
1035,11577
10769,10435
7080,6320
8156,10535
5912,5670
14051,7852
4702,4617
10907,5532
10842,1503
12615,3089
10402,1304
7346,7543
7054,6896
12128,7537
13700,3648
6188,4584
1568,12754
3066,1245
10515,1150
9515,830
2155,1294
844,10487
779,10567
1552,11274
774,9841
4311,4233
3853,4243
10910,1772
12561,2963
11556,1498
9392,3378
9426,5633
5126,6112
5399,1127
4373,2922
7888,4905
6126,3358
7072,6334
11561,5854
5140,1306
12408,1429
11273,1133
6371,4679
6273,5981
8574,5110
5096,5260
11510,3121
6184,1499
12003,3344
9267,1701
1777,3489
540,1848
5108,13474
2808,11707
2632,11620
11490,6528
8941,11427
11108,14054
6178,13730
4606,9145
13740,11812
12620,3210
13508,4472
13257,3216
12084,2528
13824,6796
8036,13990
12710,10794
8328,7777
8078,1029
978,4454
1274,6834
6048,5674
5269,1594
6877,9001
13327,12530
4088,11666
3391,12926
1213,11394
9230,13777
8876,9946
13313,9174
13064,12048
11299,1074
10370,883
8657,5759
10779,1024
11879,2161
12378,2072
13191,7164
11709,1607
7153,4749
5960,5116
8386,7623
3675,9054
8157,8223
7852,10868
2230,3562
13438,4271
11956,1670
9888,9472
9807,5729
11785,2532
5087,9636
3966,1490
13629,4776
1843,3070
2048,3885
5732,8952
10853,1028
11419,1098
9608,1134
4812,8041
1290,9247
4736,11724
8267,5600
2621,4408
13415,7886
12775,2039
4817,6039
3631,2404
13443,4270
12775,1781
12536,6283
11595,7927
12103,10268
13660,7870
12587,12177
9277,9564
8238,8631
13972,10464
11960,3901
13279,3696
13593,3325
14038,4633
11114,1708
10229,10179
8692,4653
13528,7276
13240,14323
12012,1984
12801,2918
12593,1840
5288,1056
4800,8383
11059,11709
10924,1929
13718,4560
8638,5465
1614,605
13594,4082
12992,3336
7418,7410
13432,7815
10195,8289
7678,11370
11034,11850
14031,4807
13323,2998
14048,4751
9434,1880
12448,2674
12676,2160
10660,3184
13210,2628
8544,8673
10806,1315
12998,2155
10116,1331
12095,1405
13987,4184
13931,8098
8640,10148
12872,13111
9270,9556
10673,10548
13688,3896
9371,885
9286,3418
11807,1347
10318,9923
8430,6470
6702,7746
11911,12774
9291,1680
10181,5209
4732,7566
6130,6800
11346,10897
11822,12509
9556,9119
10983,7680
7331,11611
11752,3350
12284,2399
12320,2522
2944,11754
9548,1203
7772,769
9526,5982
6590,9727
12309,9310
12661,2048
8436,6208
9922,4644
6671,6734
985,10157
1815,11650
1351,10257
9597,1150
8506,7866
6243,6313
5285,5181
7022,9490
3687,9317
11438,1468
14071,7941
10102,5687
11676,8215
13641,6744
10566,1178
11135,1000
13478,3214
13996,6627
9210,7232
13805,5434
9349,8975
7112,7232
10889,2319
2523,4529
5162,5589
13198,3929
13717,5689
11310,3491
7473,7457
9230,9220
1571,12423
12687,7279
12454,2955
5580,5076
10973,11575
10540,13906
11054,1706
12619,1593
10682,1086
13939,6096
11713,5665
10028,13934
10454,12035
13520,4603
8418,8842
10868,5541
8036,3352
7819,3358
8222,8092
13436,3306
8014,8322
12335,3291
10936,2269
8428,9016
13242,6384
6626,11382
12259,9737
11904,1656
13735,4873
1715,3399
2860,4051
11136,1039
13568,3674
12390,1659
12999,2874
2676,7268
8996,1660
10384,8522
5767,1173
11422,1952
8782,8486
4013,3009
6146,10198
1202,828
13412,2852
13478,2701
6048,1008
3975,4106
12483,2349
9997,1225
12159,1394
6563,11309
13452,3109
12333,1490
12333,2076
7446,7159
7919,7479
10682,2313
6667,8332
13619,3074
13155,4363
11585,1247
8394,8107
10785,2192
5298,8674
11046,11678
10561,1728
6313,6581
6150,5788
7935,7517
10993,1761
13845,3197
12648,2231
13693,8593
7822,8234
12759,1690
11450,1950
9796,1192
10194,2618
6909,4359
4638,2040
2421,2372
5046,5650
7369,1331
12824,5244
3945,10423
11905,7713
8624,1078
8981,1383
13871,3783
12689,1682
3677,10828
7076,12490
11249,4549
12483,13114
13931,3696
13469,7655
13133,3825
10506,1221
6729,7570
12349,6205
7954,8252
3984,10237
13842,3899
12048,1839
13067,2572
13240,4492
13611,4768
13420,9569
9893,9759
12223,10071
10553,11003
13445,14212
13826,3750
10245,2626
13626,7885
13760,3818
6568,9372
7480,11209
5529,9297
9529,9647
2472,3235
11029,1096
12002,2549
13338,3320
12029,2617
10164,1628
9988,1162
12518,2258
10877,1080
6882,1158
8844,3584
3960,3529
3647,2142
797,10558
1323,10687
1305,10457
940,9505
11762,1360
10754,1996
11851,3626
12607,3017
9995,1011
5816,974
1375,11940
6868,6576
9195,1193
12407,2322
8625,4392
6489,897
6006,6024
3984,3298
4322,10043
3538,4723
2107,5456
10977,1184
13078,2692
11076,1017
8789,8981
10660,10980
3244,2459
4300,9585
10561,1432
13549,5570
13555,4333
12264,13470
11062,1250
12335,1476
11148,1311
11514,1124
9757,6298
11542,7105
9370,10062
13733,6535
11289,1462
10147,10078
10124,3061
10594,5636
13081,2974
14051,4576
13159,5485
6594,6348
13302,2812
12542,2090
13185,2262
11672,6158
7893,7603
2827,13269
5480,13646
13955,10347
13281,11522
12190,2520
8906,7613
9374,1274
6224,4927
2389,3764
10352,7690
1528,2538
9715,1279
9965,1301
12043,2243
1251,10825
6807,791
7561,1532
8758,9804
11666,2100
8572,7650
12439,13582
9790,1337
9354,8927
11980,5131
7228,6564
11120,1408
2458,9134
12853,1885
9450,5676
7479,7064
8104,5192
13565,3937
8327,5425
12144,2916
11371,1098
12688,2896
14203,12739
13990,4382
11750,9860
13329,2565
10644,3466
13696,4645
12224,2106
13831,4828
8640,4116
4234,11336
12708,5012
13364,3392
8446,5612
7224,3459
1241,2723
9883,1391
12292,2796
13881,3704
1774,4528
14055,5484
13675,3410
13730,3193
13858,7034
10362,11807
14095,13666
13253,2643
6453,1662
13266,10606
12466,10533
11912,1787
13176,3843
13102,1910
11294,5760
11312,3419
12086,7572
9974,9598
11512,6160
13089,3717
13415,3734
13333,3781
10321,9922
7696,2294
8926,906
6659,6186
6037,6647
10462,5638
7949,1482
8980,5972
5207,5650
1594,817
13629,3905
13145,5153
12007,11088
13536,8851
9149,7417
13053,10550
12961,1813
13325,2986
10608,4760
9625,9383
9164,9702
14121,7051
13740,13964
13522,3384
11964,1621
7257,7852
2411,2203
13708,4378
8507,6623
10754,10796
13316,2434
11686,1224
9404,1461
13194,4424
10267,1311
6872,8937
10972,1570
9345,1527
13197,5045
8764,3651
12754,1686
6930,4886
6612,11424
6907,4402
6151,3318
5007,5593
4919,3324
2191,1361
6181,8491
12585,2829
13688,4535
12979,1913
12980,2786
11568,12069
5643,12963
11348,1408
11648,6745
12081,2562
12596,2216
10826,10438
4669,8227
10236,4772
6615,9221
7957,7627
9153,9282
12757,1738
12099,2133
3816,9748
6777,7624
9278,1014
11503,1926
1589,7469
9124,5830
3740,3112
13290,2986
12071,1256
13857,7061
13597,10017
10443,7688
10126,10382
8902,7844
6849,6897
4901,6058
10746,5176
7694,11989
1962,3095
13316,2518
11778,4181
11930,3189
11774,1078
8452,1000
6569,2936
4838,5134
14069,7566
8388,5268
10888,13691
11382,14018
10309,9800
12745,13389
14050,4525
13071,2975
14062,6910
13155,8249
13132,8237
9007,8317
13493,12587
13308,11458
12220,1512
11707,5443
11143,1623
12796,5280
13266,2117
11373,1027
11207,3679
5750,6487
4922,4038
13345,3764
9522,1077
4161,11607
1654,2396
601,1294
11316,1234
4935,5630
2632,788
11587,1804
10984,1489
10044,943
7513,3089
4289,3985
12463,2166
13644,4422
8628,9042
10096,8375
6868,11445
12542,6060
8826,10866
4699,9772
13334,10904
4239,13482
2974,13763
2758,12414
7030,12731
8692,13929
9994,9220
12446,13035
14025,13608
13151,3214
13408,3794
14105,5003
14030,4524
13272,5658
10571,11587
14067,4461
13255,3613
10373,1215
12144,13323
6013,8530
9537,12949
6726,4594
8610,10198
10081,9611
13318,5031
11270,4706
4575,9541
12056,1143
13074,3863
11717,1140
8961,944
5624,7543
1280,4422
5082,5284
4417,10124
1660,6069
6356,3326
6848,7564
4124,11405
11404,6591
13657,2699
13426,5704
7137,6802
3921,12992
9576,2463
5379,5447
1829,7789
2896,1706
10926,1498
12288,2188
13133,2760
13560,4476
8308,5239
8041,7420
3824,9915
4469,9277
13477,4098
11598,6582
1416,6308
4612,10270
1184,1902
14100,4869
13988,4853
13575,8487
11015,1137
4816,6149
5586,5172
7698,796
1175,4951
10191,9771
8894,8935
7275,7924
13554,5128
13539,3633
11862,3127
13623,7038
5161,3712
3536,12905
3914,13138
1371,12461
7246,1223
12698,1748
11259,1053
13775,5083
14050,8479
11798,2944
12139,1353
14140,5064
6880,10716
8652,7858
4528,12302
8768,6385
1361,12278
13813,8001
7740,7160
8454,7921
5924,9907
13118,9671
11677,3153
12984,3217
8063,1059
4893,7654
10675,1688
12399,1441
12534,1657
12821,1795
12932,3973
8571,8949
8556,3635
11053,3377
6282,4559
12536,2044
11368,1616
8063,10043
8932,13327
10968,1631
12149,13094
13214,2201
11847,2025
10249,1456
11678,1779
11826,1498
9753,1098
12452,1670
6346,4757
7235,876
14000,4897
4190,4676
4478,3904
13499,2573
9975,6310
8941,8212
10087,7640
10201,9070
11254,10724
5558,13165
12238,2366
7267,6691
13411,4190
12145,1366
13619,2832
7729,5074
9590,9360
5539,13970
9898,9213
12223,2236
14080,7768
6559,6120
9232,9075
8968,7528
8440,12252
12970,10678
13220,2198
11448,1145
11115,1498
2099,11783
4430,4828
4136,9964
11357,3087
10580,3584
11207,1407
12018,6458
13440,3171
11462,6897
8323,1599
7014,1069
10067,8691
13495,7966
5937,5087
5096,3100
13446,3208
12972,3569
12570,2040
13240,4043
6722,1428
7635,1139
13684,12688
14031,11686
7153,9178
10574,5160
3521,828
10965,3309
13819,3493
11673,1191
7308,9746
13774,3328
11742,7070
11431,1875
5644,1040
13200,10403
10323,2622
10421,13437
2975,13227
8663,8636
914,5208
12675,2732
13362,2653
7923,1191
13895,11923
12380,2064
8418,1402
13346,3139
5870,5826
8591,4624
3944,1247
8045,7112
7274,9748
4098,2923
1776,11211
3593,13225
1320,8458
3260,2604
1935,3597
4709,12303
5611,13596
11390,1502
9707,4676
8785,8546
10161,7571
7307,7852
1117,8456
8321,8688
6690,4562
11387,4476
13275,3327
13761,8645
11955,1719
8889,2206
2844,7086
9602,1125
3221,7170
6474,4656
11728,1375
7431,3339
7517,874
13615,4726
13557,4739
4956,1586
13290,10206
13016,10624
12326,14085
4478,13589
2380,4239
8764,8524
5831,13229
11858,2737
11730,2358
13636,3064
12170,2816
6710,6788
7503,8425
3959,3645
7247,6930
8442,4763
13601,3114
12967,2732
11582,3222
14008,6616
8746,9093
9337,948
11170,12436
14128,7018
1108,10783
1063,10914
955,10658
1349,10710
9030,8975
7250,6790
8225,3553
6880,13890
6588,13764
7566,7610
4113,4591
6066,2253
4472,1453
12005,8925
13409,3758
12346,2751
12976,3117
10982,11878
12434,2436
13247,2845
11793,3094
6342,8141
9042,8999
13922,7978
13052,11189
5222,5768
3636,4315
9381,2366
9421,9284
11559,1598
13130,4027
7559,11122
12167,3011
1535,7591
11233,1599
11316,1653
13105,6950
4611,4691
1209,623
11300,3225
12638,3007
13990,4209
11760,1695
10062,8353
9651,2468
6522,13304
13391,6376
11054,10536
12118,10876
11971,13378
13843,4019
9625,807
13082,1963
6373,6872
1650,10764
5817,7375
9522,9170
7328,8635
7740,11729
6503,9587
13235,2505
11972,2764
7951,8198
7063,7946
10664,5138
2554,12525
9586,9545
3629,9966
11318,11258
6969,13228
12564,13475
2631,7615
1342,12672
6910,4489
2238,930
12028,2615
13299,3536
7569,7564
8671,12555
13549,4360
8967,833
14124,6386
13094,2887
8956,8192
6243,12357
10991,10461
14037,12883
1174,12078
5117,13549
1973,12613
2400,11997
1303,12511
7921,13616
4059,12565
7361,10890
11221,6224
12911,11873
10819,1182
12732,1911
10772,1104
7674,7187
4643,977
4711,4784
6286,4460
6260,780
5026,2906
12541,1693
13713,3764
11900,2041
12334,2212
13017,2535
13648,3232
10752,2318
9606,1184
10172,13493
7924,7752
3888,1892
12569,1405
9739,1084
5514,5703
8618,4250
4462,9078
7945,1147
9012,5445
5713,6222
4883,5265
7026,6607
2912,2129
13370,3407
10194,1210
12676,2476
7247,3003
1599,1126
11263,3220
12416,1968
9470,1216
6237,1717
9670,1668
8465,1189
11313,5700
10245,4480
10313,9979
1066,3197
5856,1222
4977,9254
14015,13247
13581,4406
11867,1305
4653,4322
12544,10763
9186,8940
8786,7773
10963,3653
4760,993
8502,1397
2917,12600
7755,7314
1039,7011
11961,1130
12332,2048
8613,5438
13080,3412
10220,5241
4664,4150
