x,y
9469,1943
7950,2142
8462,1161
12743,1881
8029,5439
7526,5792
10206,7408
11395,11372
7872,7902
12310,2278
12765,2608
8606,6032
9998,2532
7125,9388
13363,4847
12822,5252
3902,4507
13249,3426
11626,4399
8029,8504
8063,8246
8100,8345
7629,4831
3713,2305
1012,7004
6848,9566
6422,8157
3873,10426
4406,5156
1290,2284
1714,1263
1972,1160
11645,3420
11680,5631
7370,7018
8015,7001
3463,6446
4306,4963
4240,4385
4474,1203
8652,1276
6791,4849
6747,6410
10419,1198
10944,4228
5857,5533
6195,1309
2799,2928
1876,3886
9000,799
10257,1613
9446,9242
8803,9914
3688,9020
2204,9814
3328,10359
12482,6696
13250,9126
13610,9703
13114,10682
5976,12316
5480,10585
10557,12005
11794,11294
13164,11423
9592,1788
9560,1734
8482,7860
6804,6916
6488,8130
7756,8258
5331,4825
6294,6263
7697,7450
8763,5643
4966,6062
5235,7609
2334,7536
9530,6004
13467,10172
13815,9796
14072,10834
12634,2094
12221,2004
7476,7845
9485,9228
13045,12244
10325,2327
10550,3149
11266,964
13750,3237
7358,1020
6950,1633
6845,942
2329,1924
2766,5575
941,6817
3504,4320
9068,2134
1168,454
1714,4419
1398,4560
4944,5995
7779,7311
6292,6809
5430,5057
2275,2170
2838,1332
2634,1233
13974,4121
12658,2442
12422,2067
13908,8355
8210,14102
12047,13664
13883,13890
11819,1478
11568,6930
8416,8815
8956,8710
9109,8669
8306,10220
9552,10141
9983,13494
11116,13388
11372,13996
12788,13896
13787,9462
13236,3534
11839,3937
14076,4429
11721,1542
12253,1323
7622,7607
8305,1158
8286,8644
8572,8440
9146,8484
6764,7152
11165,10679
5678,7355
9858,10238
10968,11328
13408,4013
12763,1836
13097,3105
13062,4004
12567,2104
12665,2031
12720,1771
9040,6129
8115,7488
13007,5110
8844,9884
10025,7226
8696,7636
7711,7467
10710,10687
10888,11491
10861,897
8010,8178
7339,6368
10626,12089
7530,12492
11848,1936
7222,6731
7323,840
2638,3310
2136,2578
1892,2090
11661,1849
9007,2331
6623,2808
5978,5620
6028,4982
6522,4842
6537,4640
13382,2536
13145,2298
13522,4692
13841,4256
11733,3511
13875,4014
13805,6339
13512,7813
13858,6527
14132,7270
12217,6825
12224,8429
12112,13435
11453,12598
12545,13548
11214,12897
4640,12016
9604,4064
12026,11168
7836,6008
8163,3515
4263,12631
7835,2337
3588,1906
1375,979
12355,12350
12486,1300
6661,1574
792,10724
13051,3820
14134,5208
12575,2346
13062,3052
10132,3277
7904,1812
11229,5933
11216,6630
11860,4038
5794,9398
7454,6076
12018,3685
10527,5634
9938,9194
1253,11991
8580,9056
6342,14058
11953,1374
13723,4398
13119,7449
13116,2509
11019,1596
3113,3999
2716,2425
1659,4276
678,2465
13370,2388
12158,2804
14060,4674
13235,4106
11532,1231
12529,2439
13281,5195
10033,8565
9359,10061
9409,13426
12455,2743
9363,866
9769,1488
13012,3120
12924,3526
12367,1672
13649,8751
11762,9322
6176,6042
6875,7514
7288,9190
12256,14044
9669,9528
11424,1158
11502,1473
5146,10960
14128,5078
13925,6126
3911,13409
1413,6248
5103,5020
1551,3547
11672,5723
11088,3286
1338,9282
1464,4996
1558,3877
1151,2563
8210,7914
6317,7188
4926,5754
14094,5271
13874,3916
13585,4518
14122,5538
12683,5287
13600,3932
13971,4912
11002,10692
7776,13593
8098,13616
11185,1915
5161,12374
6699,6268
5841,6086
4848,5156
4756,7250
9645,5890
10133,5735
10234,5952
9139,5778
5757,5884
6948,4822
13016,3453
14024,4868
14094,4808
8371,8361
11775,5975
11840,5430
12405,3257
3040,546
5866,1750
11579,1849
3428,1645
2857,1366
7346,4741
4857,5901
4726,6829
11175,4196
2073,2403
9397,5391
1141,10156
8279,3331
10925,1368
11644,1608
11690,3092
12511,2461
7356,2382
7966,7256
7944,7323
7368,4984
6576,6130
5097,9116
4604,9483
3948,9566
3856,3254
2655,1534
10826,3672
6873,954
13366,4185
6121,5889
6230,4897
6596,6504
1705,8152
7907,2410
11041,1857
5431,1029
2226,4350
4378,4516
2786,578
1798,3696
1222,2623
5435,13213
4660,14066
12857,7329
11702,2347
10930,3432
10200,2461
11095,1980
9074,1033
1262,6828
12062,12453
14041,13520
13142,13666
12976,13582
3281,13798
970,10869
12954,11721
12585,11143
8223,6636
5512,12596
10238,844
12094,2220
6426,4837
8518,7506
7048,7427
8270,8329
8489,8952
4084,9602
3768,9274
13698,9487
8329,8456
10783,13968
10722,14364
10683,5103
5363,5356
4308,4772
3083,2004
2892,1630
5269,859
3016,7078
7123,11420
8185,10358
6230,10337
4404,11796
3570,13067
1774,960
3928,759
3565,796
3402,1504
13634,5315
10165,7487
8469,6384
6315,6146
3003,11032
3504,3920
1519,2479
8749,7597
9980,6219
12919,11240
11765,10850
11476,10656
3053,8331
1314,7542
5414,1436
5353,1337
6276,1733
8532,6270
2839,4376
12315,2830
10390,1676
7440,10264
