x,y
5688,8917
6350,2393
7141,6941
6058,6757
7051,4186
2924,7222
12854,2032
11050,1415
5507,5112
5106,8800
3463,6446
4240,4385
9558,4575
3137,1985
6747,6410
7681,3582
4841,1535
8310,7420
8351,7644
7964,7434
4882,4848
8124,6806
9380,7233
8137,10338
7914,2228
7853,7852
8727,11349
8856,8884
11480,3080
11625,7121
11305,1723
11497,1666
9830,3328
9958,6812
9271,9352
8418,13102
6187,10644
9239,11296
7719,11120
9814,9928
10030,9400
8586,8760
3960,4608
13681,3134
12576,1963
13733,5776
13912,8145
11682,1463
5673,6001
5756,8528
7748,9949
8834,5708
1830,13166
8178,13944
9115,8548
10897,7579
8798,8384
8953,8348
9632,10259
10156,9603
10307,10801
11822,11706
14060,13296
10684,2535
7604,8156
7622,6997
5626,6343
3717,9368
4041,2009
6997,7179
6422,6697
10432,3087
5126,5078
9426,1817
3659,3415
11850,3590
5722,6511
6541,6379
1587,10746
6755,7740
4868,7081
3594,10745
6430,6806
6589,978
6747,6373
7206,6817
6197,6672
1649,6621
13452,3512
11738,11150
11128,3364
10782,3280
7767,2466
2026,12158
1523,10185
2013,9488
4788,9466
12064,8587
3942,4436
9094,8938
8894,12766
5624,6410
5537,5956
6798,7120
7707,5458
8272,12348
9541,7170
6302,9182
6929,6765
1253,1898
9102,9432
9304,8593
6980,13677
12241,7564
7395,7655
13446,12182
1257,9183
5411,5956
5334,5094
5755,5817
5026,5814
13306,6748
3748,13738
2103,13304
3957,13486
4156,13452
4179,14038
4685,13564
8364,11758
9987,9991
7664,7285
13111,9813
5771,9390
13160,13984
7110,6948
2243,12801
3165,4104
8313,6259
8699,8580
10722,5469
10134,13240
12030,12281
13151,2272
12578,2276
11028,4612
6931,6745
4313,13656
2273,12771
4034,13216
1494,12708
12762,5007
7248,7140
8594,8336
12714,1672
11520,10838
13229,12729
6787,6955
6136,6762
966,9247
4612,13650
7670,7728
5380,6272
821,5387
2373,3922
2318,3776
9096,9026
7876,8268
12882,12984
6506,6143
4886,8279
7561,7529
6903,6689
8670,8736
10146,10985
13203,4640
8254,13188
11165,928
10992,1131
10616,903
6820,7149
4402,4354
9496,4238
1439,783
11701,2146
3706,8014
13459,5951
4299,10058
5477,5017
8169,7856
11151,3445
5652,5282
1776,3397
7548,5050
7812,4938
8476,7783
8795,8600
10085,6213
10201,4764
7875,8209
8725,8449
8612,4061
4479,4085
9605,9923
8921,8997
8868,7367
8478,4893
8138,7578
7501,6944
9078,895
8843,8015
7366,6873
7290,2980
8469,8649
5659,788
5235,6008
1547,12070
1933,2954
5946,7543
8972,7567
8597,8532
7767,8390
8291,7018
8582,8448
13564,11020
8962,5801
8728,6590
9347,8781
5369,9062
9046,954
6570,6204
8398,7788
8677,11528
7103,7185
3477,13158
6101,6018
9897,4164
8791,8949
5686,5722
7848,12082
5129,4633
593,3699
8435,8351
8917,9199
10034,6424
8364,7422
10562,4840
10314,10385
7727,7355
8272,7308
12019,9546
13490,13663
8345,7879
11583,7579
4331,14036
7165,4646
9991,9290
8218,8254
11364,10854
9898,9233
7467,959
5264,10507
8379,8206
10072,10297
9212,9358
9506,9693
10849,11233
10073,12201
11430,6065
8619,8500
8874,8311
9206,9208
13519,3660
10064,10293
8321,5423
8074,10657
12182,8441
13802,11128
6487,6462
6496,6279
6823,6563
9301,5484
6076,5863
6682,6951
5614,6049
6486,6860
1462,5772
6885,6679
4319,4542
4714,5892
9843,2494
3864,3237
951,10865
969,10861
11101,10601
6099,6422
6423,6534
6566,6412
6458,6169
7101,3165
5825,6127
5761,5867
7715,2417
4480,5074
9876,9974
5980,3952
7750,4968
7883,2340
4258,12255
6412,6222
9199,9083
11564,11313
11638,12438
12151,1807
12543,1521
10113,2440
6178,10217
8763,5687
5585,5210
4786,9852
7068,6165
8337,6247
6614,6644
6377,13384
9477,8756
6197,4542
8187,8104
8124,3444
10042,8708
9553,9486
11320,12163
12169,7800
8352,8961
3702,2654
3343,10371
8718,8873
8680,8081
9927,9720
5815,10933
11256,7823
10488,12097
8030,7664
