x,y
13430,11817
6589,6640
4504,4729
6333,6959
8332,7404
4717,5255
6888,767
6482,7108
6718,6758
6588,6698
10650,10600
6469,8383
3164,1723
4890,8428
11372,9814
1301,12589
1992,11799
1893,7891
5629,8908
11116,5063
9840,9134
8540,7887
10013,10575
13317,12163
9687,12281
7540,4872
4866,4480
7420,6022
1688,6129
4809,4279
6099,6774
4684,8197
8188,8358
8724,8367
10038,6828
8851,8028
8843,7496
10057,5703
11165,8535
13370,2388
14060,4674
12291,1670
9034,5592
12578,5908
11213,10722
9409,13426
10385,10088
13655,13150
7797,7921
6991,7983
9447,9333
10423,10393
7230,9687
11174,13158
1945,13327
774,10006
7223,7172
1501,5745
7583,8459
7931,1911
6965,933
8703,6013
7351,12120
5804,4997
6685,6839
9736,1120
6063,1943
2608,4262
13107,3298
7192,6402
7768,7891
11163,5208
5235,5574
13842,3752
2470,11757
4875,6404
13097,6841
6591,7271
7281,6487
8217,7480
11356,1824
5371,7543
8124,8741
7106,8692
7723,12278
8546,8852
6932,11510
7420,8704
2536,12730
4566,2163
2679,3545
12072,1275
10380,1172
9190,7540
6501,7095
10018,13946
10939,10737
10212,12907
11774,1058
8603,8555
8772,8605
6205,10079
3881,10596
3978,13493
6270,6107
8422,7559
8416,10111
4550,4713
14161,11152
8352,8450
10514,5338
8258,6312
9634,8921
4923,11768
10716,10572
10141,9967
9708,12143
9834,9525
9273,9763
10788,858
11685,1327
11294,5933
13544,7220
2018,13223
8075,8134
9569,6025
3942,13709
8588,6722
11793,9865
10285,10539
8024,7787
6153,8385
13462,7277
12754,12469
11723,1063
10789,922
7423,7111
6249,6557
12484,2574
13225,6461
8013,10322
7915,5364
6670,7374
7779,8389
13975,7606
8750,11542
8873,10974
4033,13238
1446,8140
1989,5227
8404,7551
11551,9677
6663,13208
11651,13558
7130,6792
7736,7240
6681,949
7799,1263
6006,3768
3603,7172
13211,2397
13458,4504
11378,1150
13193,3050
6179,6101
14004,6907
10965,4484
6186,5770
3998,4216
2885,5588
2613,3031
6745,8197
8442,7677
8122,7284
8534,8764
6665,7098
10317,10798
12305,11451
13545,7113
6368,6820
12953,3011
9263,5471
6210,6320
5939,5792
9604,9218
5780,10964
8520,8076
5498,8559
7872,5992
4526,12105
11650,6634
10300,12484
9386,9663
5749,5139
8072,7614
9001,8337
7619,6945
6138,6861
4791,7791
8624,8553
9652,9329
8096,8270
9405,9416
11405,7621
13902,13204
7529,8369
7263,5974
4390,7116
5915,1301
10147,9558
