x,y
7187,7710
12574,1519
13778,9044
9029,7534
6119,6267
5332,9129
7268,6655
8202,7927
7847,7170
6834,5167
7086,7739
9254,6044
4644,4947
3676,1544
13667,11077
14476,14071
1157,10649
870,10053
5125,8531
13935,7502
8796,9026
8026,12338
13891,7086
14120,6999
9266,11308
12387,9253
9956,6596
7747,7157
10322,4752
9992,7269
7943,7305
4324,1433
6358,8053
3571,7411
10318,1121
8201,7767
11136,7588
10717,3245
10842,1002
10376,8886
8368,13280
13202,14044
6944,7324
8572,8842
8098,8390
8152,7199
14044,12623
11981,14211
8700,7982
4919,13273
7853,7434
2614,1902
8676,5360
1151,5483
5411,5956
3483,4167
9894,3374
6941,7920
8052,7506
6535,6187
4987,5778
7362,7288
6273,5981
4776,6224
8648,4411
8574,5110
7904,3487
6184,1499
8436,8376
8415,7895
13608,5288
10203,5833
9137,8439
5464,12748
8963,8330
7736,11151
8519,8673
6813,7385
9597,8788
3217,13015
3220,12798
7962,4866
6267,6516
8652,4229
6248,8256
3431,13080
10152,11168
9800,8814
8001,8397
8599,5892
8033,7608
6763,6575
9284,7244
9652,9556
12066,7103
1925,12218
1727,10928
3028,12883
2984,13048
1263,10160
5489,6271
9336,6179
7139,7507
7580,7616
3091,3646
8009,10584
3362,2974
1469,2638
2038,3393
3496,1894
6542,4772
8108,6460
9094,9286
11835,2154
12175,2154
11714,1755
11377,1859
11914,4945
8262,6932
6531,6672
4584,11835
2022,11788
1115,11662
2997,13016
14026,6850
9821,9237
10160,10340
11757,11000
7282,9046
7065,8936
11454,11136
8808,9016
13212,2142
5039,5903
6959,7435
8968,8904
13452,3109
6788,8439
3239,7847
8324,6332
8832,8634
2156,12291
4265,14056
10497,9842
10183,7091
12444,7325
9998,10459
3280,8422
8246,12335
8037,12009
9291,11414
14299,13388
5303,13096
654,11400
4115,13950
3208,13078
12186,11918
7375,7807
7671,6911
7453,6703
3046,7189
8327,7751
7790,3626
7095,1533
13655,3232
13375,4181
8527,7906
3488,3976
13133,6961
6918,6987
9322,8624
3195,11147
3485,11416
12943,12973
11325,6454
3523,8536
2674,9911
2616,5982
5625,9401
1256,1883
8178,7719
8184,7566
9709,5647
13490,4373
3651,13872
8862,9405
3817,10753
13094,2807
13450,4616
8916,1310
7521,3575
9823,4395
4883,3569
2985,779
9406,9039
7305,7088
7096,7082
3621,11037
10885,3289
5520,11340
2716,9874
4586,9174
6016,5648
3722,3628
10973,5374
10137,9657
3469,7403
3300,7386
10647,9846
7411,2844
8621,8628
8228,5690
8303,5481
5874,6758
3364,13841
11455,1044
13633,4190
4266,12427
7105,7816
14060,4302
10584,1297
11499,4288
7643,11835
3220,3656
14266,13339
13690,13733
9730,6100
9101,3499
781,3780
3397,9022
3106,9316
12725,7353
4796,10268
13689,5323
7286,7188
8150,3194
6282,4559
12536,2044
8063,10043
13858,8960
7644,8526
7774,8000
3454,13632
10347,10382
