x,y
7312,9728
8882,4999
8205,3202
5949,6757
6449,8680
9406,7212
9443,8867
8969,11398
8883,5806
4048,9352
11537,1633
4746,6623
6266,9563
7055,13416
8083,7986
6168,9833
10218,5348
5528,6015
7710,6808
9141,9622
12188,9122
8875,13252
12467,10404
12879,11550
10835,11457
12763,11764
891,1039
949,11418
3207,10800
7077,3679
8047,6248
3417,8652
6080,5814
9242,6022
9244,8644
4546,12227
7348,6928
2682,2898
9980,4617
7136,6899
4051,12918
9544,5650
10600,10881
7293,7424
13250,5538
2304,12376
2832,12424
1327,11059
1545,10975
7085,9387
6994,1320
9849,5320
9717,4321
2973,8054
8023,13699
9966,4118
7580,9652
817,10247
5986,787
14030,13737
11881,2174
8074,7566
12000,4876
12704,11449
11240,12134
1667,12038
4648,4674
4802,4808
5944,6044
2969,13423
11609,3726
13941,7633
1852,11994
4611,9548
13558,8118
4561,10562
11490,8416
13789,8225
9477,11738
9852,7132
12503,12550
12678,11062
9784,13779
7623,6604
5596,9116
4535,9203
9669,9528
11502,1473
7070,1066
5146,10960
13925,6126
8495,5907
10778,1506
3109,13643
9821,4312
9020,5632
9309,7056
6499,4705
2208,2531
3216,3557
2043,2369
4790,10254
7397,3836
4821,6039
10067,4788
2408,7552
4471,9381
8126,4803
5849,12842
9908,5946
9958,9154
7044,13451
8471,10150
10865,10464
10953,13560
10674,5231
5758,9330
2585,3624
6792,8124
9715,11461
13843,11477
8793,11354
11568,12803
7996,4770
11593,10612
3118,7809
5559,5386
5449,13433
2775,7601
9682,5318
5221,5358
7084,7576
2048,3221
9567,9202
10212,4777
10492,5181
987,5079
9225,5428
8160,8430
12136,1413
12524,7458
13995,10995
13830,12024
7758,10209
11392,8726
10544,12883
11372,13083
11702,7280
9938,9220
10074,9294
4635,4877
10422,4394
5173,10095
10845,14046
1223,9239
5344,10144
3045,11704
8015,7811
8227,8557
8292,8560
8343,8822
10440,5023
5755,5567
9193,9339
9539,4534
1726,2525
8443,7953
3840,13638
7270,7516
3321,13420
2961,12157
10889,1441
9392,9014
10986,5381
10595,2772
2440,8652
1629,4755
5248,5514
11856,7167
7464,11250
8657,4646
8285,8675
11680,6749
9512,9284
8834,9791
10772,12606
4221,12556
8507,7608
6591,8295
2624,12143
8016,7627
9888,11016
6380,8715
12729,2780
8062,7202
9587,5926
9626,1297
3210,4448
4730,3700
10707,5177
10151,6980
2782,3059
8512,10040
12140,8572
11258,4928
10352,13176
3364,13384
6658,6506
8208,7440
7294,6022
6579,8271
10293,10172
4176,4147
7352,7765
6575,1548
3316,1009
12394,2470
1293,9947
6856,6910
5147,5208
10050,5909
8624,7728
7032,6351
3992,9460
9447,2411
1057,6895
9755,5872
6380,4791
7805,7223
11052,4025
9354,1457
6988,4658
10289,1429
7838,7150
5283,4913
3668,9534
2134,1366
3602,9077
3785,5134
1690,10698
13761,7719
6209,13397
11130,10680
5527,11471
3192,8197
5870,6700
3697,9073
12368,7431
3278,11052
7306,10162
9530,4691
5968,6043
826,9177
9392,4608
7627,10108
1723,1200
7482,2390
7635,7063
7278,3162
7436,3730
4414,9693
4799,4018
6448,4835
14078,5542
14266,13339
7915,13631
13612,7004
8553,9845
13126,7795
12766,1818
4378,13414
2475,3371
3536,9981
7060,4136
2084,7544
8872,5872
4678,646
10190,1324
6995,4404
3557,8275
2023,3671
3194,960
2560,13665
2674,13477
11414,1234
8926,8579
4859,8259
2712,8280
2920,11864
4950,5211
11085,5651
9651,6004
10694,1249
8832,1225
4316,9346
9472,6270
9962,5394
9289,5659
9714,3202
5410,2450
9185,8719
8952,6018
13286,6151
13857,9020
8303,7547
3473,8949
6539,6860
5815,3728
7012,5318
1277,10488
1272,10472
8588,6258
6420,8084
7887,7973
7708,5058
3728,8608
4974,1521
10534,2835
3690,8621
11500,4152
3413,13812
3992,14070
6798,11436
10121,5890
13407,6904
11115,10156
1531,7602
11500,6885
9730,6384
7319,13905
9628,954
9212,5870
9990,4761
4830,13274
8246,8198
9708,13510
13516,4244
4227,11540
7962,8588
6971,8283
6090,7048
1767,3187
11129,1104
3916,13758
11582,7084
13543,3652
9135,9446
1180,11866
1879,12223
4748,9520
8524,6681
7544,2513
4778,4796
8126,6721
10793,5269
5454,5577
11831,3812
7750,7186
2224,9459
7120,4559
9977,9019
6694,2994
8481,2553
7829,8014
3762,13234
12458,3096
2980,12616
8524,5110
7815,5192
4176,11640
12282,8300
11279,5892
10118,10497
13832,13022
2777,12583
9775,4790
6180,1532
2389,8949
4866,4987
10160,5018
12143,3019
4448,14017
5820,6138
10716,5029
7378,11688
8282,5597
10663,5051
5021,10407
1979,1666
4466,7038
2154,1668
10032,4850
1141,10909
3139,1539
1560,2447
1950,2722
1885,2128
2947,11735
8321,5395
9684,6019
10080,1419
5655,5165
10142,4326
6197,6334
1280,7227
8807,3913
8614,1000
2977,5692
4754,10339
1423,12640
8569,8241
9547,5837
10266,11874
13779,7960
4372,8154
6503,8317
2032,1836
5878,9165
6618,6737
3310,13833
1904,9680
11159,7035
7795,13948
8201,10377
4471,13999
6540,6221
9330,1015
4920,10339
2237,3513
1557,6398
5679,9075
7640,8286
6730,6532
7479,8655
7464,9742
11639,12079
9795,1507
3684,10530
7576,2420
8197,870
8138,3446
5603,3614
4054,13600
4675,5148
9635,5662
8317,8266
6894,8967
9759,6048
3819,9378
6632,9975
11695,7724
11864,7223
8266,7771
6192,13572
4890,5370
2696,2292
3014,13166
9161,9000
10260,13423
14056,4256
6590,6474
6176,1357
2000,7580
808,2570
5586,8942
5320,7752
11951,2090
13724,3748
5590,13750
5389,4914
5676,6103
8213,8509
1777,11151
5430,12498
8442,9808
7933,3383
8301,6894
5526,3576
7165,7120
6159,9271
9676,5846
11131,1827
2333,3266
6788,1120
4951,3339
8424,13516
11322,6589
7993,1337
11830,5300
5790,9162
4184,9430
7704,8000
11027,6878
7745,7084
9784,7192
1546,12069
10017,9626
4626,9253
8068,10109
10327,2341
12094,2043
9043,1363
3745,4603
2024,3443
8808,4140
902,1920
1772,1251
6346,11150
3009,13533
7454,8864
8397,12359
9319,9749
9666,4609
2867,12815
13026,6978
8749,3731
8500,8550
11987,13212
8666,6310
1213,8200
9396,3550
8711,4221
10071,7722
6428,11292
8184,8412
8781,4848
12055,6823
7591,11671
8297,11723
10814,4433
7013,7504
10543,4922
4601,6802
10660,11436
7002,11532
13521,10094
9672,11147
1679,9935
13277,3311
13667,3369
6956,4664
10036,5726
8599,4559
12294,1357
11132,5006
2942,11052
13921,6339
8603,8531
9701,7206
8824,8780
11916,4077
11920,7619
9302,11141
11824,9552
11560,9663
13867,8809
8779,10821
10835,10801
12732,13486
12503,2221
12003,7187
11373,8275
1493,9916
3388,3788
5186,1244
2896,830
4597,9193
1892,9730
13122,9056
8288,13434
13763,8838
1244,10844
13822,10051
8790,1342
11017,13172
7767,7237
8807,1005
7038,4823
13405,10670
7761,7283
6535,4591
5623,3774
4934,4925
10707,5304
3074,2715
9952,5156
11399,4194
9539,9614
13940,9656
11759,11136
11814,4419
10113,3284
11944,1958
3922,1000
3486,3327
9682,5638
8560,8855
10671,2787
8114,1064
9893,5364
7946,7770
8029,8188
11140,5254
11819,6625
7467,7162
7932,8258
12035,10107
6946,10129
4660,10163
6923,7874
11125,11836
9223,11298
13647,5203
3723,11419
8509,10143
10112,9406
7819,10720
8582,12497
5521,12877
7888,10081
10445,10081
1396,11656
1547,11791
10867,12332
