x,y
6537,7155
8124,6806
8635,3867
13297,2563
6987,9345
1094,10274
5414,7800
1828,13111
9204,9905
6158,12580
6240,6236
8024,13278
7147,7787
5596,5668
11238,5294
13078,11488
11710,10602
8391,8151
5446,5452
7290,7504
6724,7147
4894,7914
8444,8666
1350,6229
7665,7974
5398,5802
7048,6824
6402,4750
7945,3535
9375,8850
3542,10073
2164,9006
5482,10464
4515,7432
10334,10470
10701,10987
6150,8489
6584,9556
12699,1986
11990,2106
7915,7775
5648,13602
3441,10351
9654,7352
9413,5579
8750,10030
7271,10152
4247,13329
13768,6960
13742,10829
13499,8349
11450,13100
11132,12858
3634,10339
3476,10303
9088,9636
12270,2422
8030,8030
5093,10821
8890,13860
6414,6648
7486,7788
7116,9504
5677,11368
9508,12070
12854,13576
12000,1725
12730,2520
12827,2803
13078,2242
12102,2612
6345,13412
13048,7010
4036,7992
11947,1704
4178,4679
7834,10578
8732,6641
11922,1426
9260,1956
1813,13116
3488,10614
4696,9668
13874,4726
13762,12530
6690,11374
5247,11434
13445,12465
6548,6896
10058,5369
8944,9797
5562,8936
11946,8944
9466,11841
12652,12526
9999,13855
7886,8170
7855,7275
11300,1754
1762,11626
8956,11328
7976,7376
9661,2460
9014,8854
8679,4489
6513,1441
10031,6765
3658,4117
6709,4545
5106,8466
5530,8532
8440,7894
4858,9476
9210,5770
2982,11577
8924,3832
6580,7027
5328,9156
6838,6602
13636,7926
13190,6047
10310,3371
4202,3844
2854,2594
8157,8330
11248,1869
12379,1700
7194,8224
8155,12053
13088,10718
8336,6279
12338,1836
1684,3637
5648,5176
10642,5571
9419,2129
8456,1698
7496,6969
9160,6126
3243,7426
1912,12050
7744,8126
10220,7621
10132,5158
12095,1405
12325,7514
14004,11020
7726,9992
10621,11617
2048,12353
5490,9378
8274,5576
8672,4130
8304,5357
10386,5432
13333,3985
8515,6224
8347,8843
10592,4980
7978,8202
10274,4230
8068,7770
8254,5024
5880,4242
5172,1210
4838,1546
4398,972
2910,1074
964,11072
2441,12951
6787,6955
4612,13650
5918,5584
1630,11420
5832,10429
11834,5113
2727,13088
6646,8373
6303,7170
9998,6786
12949,7237
13726,4920
8903,8643
9154,9250
13102,7206
12298,7496
2698,8240
10030,11072
5524,8806
10384,9873
3559,3157
6780,4682
4930,3071
4974,3004
4458,11984
9950,4794
8345,6534
5722,9014
4672,5394
4274,664
8656,3360
7630,6798
2368,12092
7020,7184
4265,11801
4341,12351
10245,2626
13630,3676
13626,7885
4636,13558
7804,13298
8286,8390
8176,7073
2676,12518
10962,3616
1173,9642
7292,6133
9509,6138
3780,9319
11752,2184
7784,2482
11800,7266
7812,7226
11558,3663
2997,1183
4042,12196
3467,10938
2079,12811
5371,13737
7581,10114
13325,10207
12466,10533
11970,11484
6092,5194
13272,4506
13244,4365
1737,7770
12990,1772
2558,6553
1120,6306
912,5406
6348,12484
8200,8570
12766,7331
6925,6957
8354,2796
11527,10839
4746,6466
6882,13352
6325,13856
3402,13224
6838,6779
7218,4876
11756,1546
8297,6880
1161,11347
6666,6574
6391,5999
6320,6628
9708,1066
1579,8329
1584,7683
8096,8270
14030,4524
9906,10303
10571,11587
10915,11652
6840,6842
11217,3694
6148,6268
8384,3578
12902,1926
5484,5828
3684,13004
10104,794
9284,1950
7213,816
7442,1631
6604,1567
3030,3102
2827,2618
6608,4804
6712,4527
8618,4766
8382,8590
8838,9022
8038,5586
965,1687
1041,843
2916,1342
3024,558
2448,13366
6364,6656
8868,8584
9864,4086
5169,3118
7964,7496
8386,8742
9203,1510
4091,11659
10156,1366
6176,7102
4330,4495
4126,542
3488,13144
11585,4587
7023,6899
8746,5026
11402,1740
6203,6577
11827,3649
11014,2170
3903,4651
13208,2340
12990,2047
6822,6630
9625,4376
9790,4391
12113,6847
1558,10091
4833,9759
4257,9319
7814,7605
3581,13855
6640,11476
10046,6979
13818,3652
2984,13044
2958,13200
3684,9578
1850,11734
10122,4686
8481,8953
12766,1576
4832,13274
1060,10582
10661,1749
6792,6291
13140,3730
8287,1277
8432,1051
3166,11492
3766,5858
4954,10636
10969,4036
4591,10198
4489,6100
4151,4216
7016,7350
13011,3067
4916,9112
7032,6254
7694,8056
3160,9096
7301,3137
8071,1640
2662,3244
5900,6140
5598,5827
6646,3142
13118,3641
12994,5112
8393,7637
7922,5304
4542,13517
7806,6832
788,10032
6270,1502
3573,4290
6494,1184
9148,9202
7166,4729
8138,7376
8251,7118
5839,10393
11759,4422
12185,3201
8126,5300
6978,4792
11598,1760
9964,4834
8250,8502
10771,4499
10367,3208
11003,3786
8776,1152
12781,3009
10770,10224
11344,9712
6786,6414
7170,6688
7765,10794
8817,5859
11118,1326
8080,7036
1676,11218
8068,1297
4934,827
5322,13384
8902,9340
7579,7882
10644,845
11137,3987
3358,11348
2508,8629
5305,856
5486,1577
9754,5626
8839,9013
