x,y
3516,7110
9115,7459
5215,11513
5590,5754
7045,7094
7711,8029
7884,7421
3309,13462
4248,9996
3892,4377
3562,8828
13451,7664
10385,11060
10405,12944
2697,12781
5983,6163
6404,6071
5726,6129
8470,7528
9184,3538
840,525
6807,8003
8503,8214
8473,11464
7166,9896
13895,11291
10209,8820
7710,7114
7657,6782
8083,7719
6313,8296
7596,7698
12447,12645
9256,9508
8398,8061
9046,6440
2518,7620
9487,8956
4540,12206
6920,4879
13732,13279
10354,7487
9493,11654
7994,8240
7484,9907
3092,7421
9113,5588
6461,7010
8282,8798
10066,9354
7647,6920
6053,5687
3755,1600
5887,5292
6363,6141
8556,5287
13253,2525
7856,4004
9987,8849
7658,10014
8698,9955
7629,11155
13466,11642
8498,8550
9948,7317
9828,9713
2916,12631
10836,9880
9916,10949
13868,7347
13927,10947
14311,14507
8350,8171
7125,7272
7962,8385
7944,7108
8000,7752
8622,7508
9048,9428
9768,10352
8656,5040
2919,2224
8000,3432
6636,6798
7103,6783
7232,6730
6911,6286
9689,9070
8115,8391
6006,5934
8583,10582
7828,6586
7810,11172
8024,7526
11680,6122
10718,9938
7874,7686
8633,8091
7324,8961
12042,11589
7573,8660
4870,3829
4448,3038
3313,5064
1813,3178
5601,6415
12167,11159
7780,7335
8612,8156
8619,8026
9956,6594
6973,6996
11313,10757
9038,2537
4787,6939
8780,9837
8442,8641
10511,7435
8532,9110
6958,6198
10922,13143
13209,12738
14067,4606
1812,4602
4414,7192
3979,4494
1627,4792
7004,2671
8856,8064
13267,3098
7480,7926
7152,6964
7171,6880
7746,7615
5973,1434
7954,7519
8324,6332
8832,8634
7093,7570
10497,9842
5761,5713
12288,8576
13612,9233
5728,11460
9611,11811
7113,7852
7795,5391
7880,8529
7173,7692
9116,8590
3620,4985
7246,6796
7295,8788
9831,6459
7157,8945
13889,5366
7026,6694
5109,7584
6300,6320
6457,6635
8464,7745
8681,8013
8566,8306
3267,8122
2523,2328
6969,6821
6927,6514
5281,5631
7015,7061
7417,7129
1241,5551
1854,1326
9901,8751
7421,6794
5955,6340
6902,14008
6458,6520
909,702
7427,8504
6731,1417
6313,7138
2463,2946
6893,7752
7377,8017
5524,5387
8517,5855
6487,6862
13058,7736
7806,10748
6260,6728
8808,4910
8993,9823
6310,9092
9045,9320
8914,3987
13036,2802
7792,6368
8969,8240
3822,10590
4420,4891
11452,5622
8652,8731
8278,7112
8074,12360
13645,5428
13156,7364
10720,11135
6121,6397
10993,5527
7023,6899
7814,7605
3368,11652
9816,6037
10264,9624
8475,8053
8273,8010
8737,8565
3732,8282
1704,7803
6126,6002
13182,6964
7786,9929
11072,14356
8400,8815
8824,4668
10194,10297
7983,10950
6230,5907
8521,5094
13421,13670
4817,4835
4252,9256
6200,6787
3258,6828
13500,3344
11660,4468
2680,7430
7643,7574
6265,6629
8872,5738
6863,2886
6074,1296
726,7292
2878,2214
9510,8748
9062,7392
8352,7614
6489,7137
8677,8028
1162,9789
8257,13368
10699,10447
6342,9743
11862,11004
7210,7718
6071,6352
6943,7327
8158,6369
7774,7992
7626,7529
7318,8867
7756,5760
1552,6041
6272,880
7871,8149
4518,6338
7354,6828
5940,5400
7901,10965
13276,10759
9585,4141
5676,6415
11451,3845
7190,1271
3788,2181
6488,6631
8140,2380
9793,5583
13810,10412
11049,13216
11344,9712
9062,5951
6066,4904
8327,5211
11052,10588
1981,1686
7004,7160
3785,2948
7674,5665
7941,7730
7006,6608
11959,10691
5191,11658
13751,12038
10656,1600
10666,3467
7851,8210
6027,6378
6432,6823
8222,7263
3791,3457
4657,4310
4776,4401
6377,6425
12790,5398
10264,8694
10311,4993
6556,13290
12198,13388
10150,4742
5501,5799
1192,6667
4699,6017
8744,8834
1558,10383
13529,12329
13333,14098
6917,7379
7610,5712
8070,7868
7879,7509
6769,7575
11412,7572
11204,3700
6141,14068
11811,10800
9105,11337
4247,9337
10217,6723
4538,4618
12748,3062
4444,2882
6247,6250
5669,9245
9755,5389
7277,953
5739,6192
2024,2782
8515,8891
6388,8569
6296,8751
13718,12926
8284,1277
8424,8505
8468,8144
5066,10146
13531,13007
5702,8573
7681,7401
14090,12032
5977,6287
7030,7033
6448,7100
5758,6550
8108,8630
5944,7518
6324,3143
1759,1337
4048,9639
5628,6374
6936,7467
6339,7080
5026,7549
9456,9100
8336,8726
4296,4496
5016,8542
11048,5499
4245,12388
6056,7049
5374,5312
5294,3565
3160,3648
8240,7897
8267,6851
4199,4082
2420,2288
932,608
8535,8063
6470,4586
10013,9527
7603,7621
10061,9900
7672,8843
8127,7675
6853,7417
8182,8153
8094,8251
9030,8847
8354,5286
3975,10313
11330,11257
7136,7549
4554,6191
8648,8884
7124,9567
7064,7098
10149,7134
6833,6831
8718,8820
11026,5014
7207,6332
5991,5901
9610,7019
13334,10863
8288,7280
11309,4863
7692,6908
6711,6652
7160,3260
1450,9247
5757,5752
2350,7382
4173,3464
1169,832
6099,9332
4751,5515
10515,11107
12133,13815
13424,11913
7403,7870
8386,6917
5829,9044
7756,10944
6906,7486
12769,11566
12606,13855
6996,7339
9623,9253
8768,8465
5982,7006
12989,5124
7136,6760
7530,8028
9184,8508
8316,8299
5880,6654
5439,6291
994,11483
11152,4147
10980,4343
3639,10862
3273,1788
7666,7149
7244,7628
6429,6704
11488,12404
12155,11603
4826,8916
8395,8454
3239,8060
8691,5312
7108,7368
7473,5087
871,6532
6190,9609
9092,8969
12345,11684
7660,6580
10735,8932
13231,12000
5680,6453
7641,3541
6239,6507
8325,8487
12049,1206
8294,7789
7910,7412
1380,7726
5322,5558
8320,7577
876,1840
2102,7738
5305,1232
9000,8278
7999,7770
7702,5808
9946,10053
6465,753
719,2549
3126,13166
1446,11396
4281,10143
6274,6458
12103,2018
11287,1802
7950,7137
13292,10275
11984,1348
7585,2831
10778,4614
6631,9539
3621,8942
11020,10530
8962,6068
8267,7642
8248,7764
3565,9233
9922,6425
11648,10674
14041,11064
13974,12434
8169,8291
6675,6542
8158,5788
6673,7812
12891,10684
13581,12285
14227,13404
5386,5685
7423,8499
5248,9195
10545,7484
11942,7452
8447,8873
6739,7615
10026,1238
4858,8399
7679,7021
8390,8452
12746,12798
11432,10977
9022,4458
6989,7190
7321,6970
4890,4621
5608,1780
7036,7495
6221,10052
5009,6110
12836,11974
6405,6430
7756,5604
10896,5073
6812,6777
6433,6879
11966,2087
5309,5712
13711,3901
7884,8469
9038,5521
8944,8282
7553,7223
8149,6858
11459,4989
13432,8986
9849,9538
8347,3629
8904,8036
11403,11494
10428,13273
7497,7291
8198,6276
3870,10475
6088,6234
5526,6257
5698,5695
4042,4077
9998,2459
1199,6999
5389,6185
1249,544
1802,2810
2742,2185
1703,11924
2132,12202
2214,12664
4804,8357
4615,13331
9154,8544
6938,11662
6712,6820
11820,5352
3306,4338
3862,2783
8373,7915
9671,9023
8968,8252
10205,6737
10415,10244
4847,4107
6380,8753
6611,11478
10101,9880
14004,4382
9993,12008
6664,7284
5997,7270
10720,10649
9573,9435
1300,10516
1227,2128
3622,3984
3973,3502
8374,6935
7433,8858
5698,6542
5302,1807
1616,3836
8231,7385
12419,1505
6646,8252
1523,11175
6570,7232
8649,4367
11540,1768
9363,1094
2495,8679
6883,7943
1530,5602
6809,989
10830,4636
1613,1161
5595,4939
6761,6829
11462,5612
5685,1680
2670,3894
8224,7611
11339,6072
9959,6042
4802,875
834,1692
9434,8768
9926,9229
10976,13498
13978,13948
7923,7915
7965,7896
7528,8427
8798,12910
11975,8935
5994,6187
7730,6847
4177,4000
2363,7294
1627,4047
6497,6689
7141,6702
10148,6613
7873,7929
7782,10822
8950,7435
9084,9084
10693,11333
13913,10416
9280,8877
12658,10822
5058,5756
12543,11782
6833,9084
7083,6220
6478,6826
6846,13079
10846,4916
8666,8280
10125,8157
11289,10689
11376,12211
9400,9931
6745,6764
6742,7893
8515,6010
10807,2716
10672,11276
14048,5269
12660,13777
6402,6334
7782,7805
8368,8008
5212,5614
8920,8792
14108,13246
9604,9407
12996,11496
7711,7141
8239,8205
8638,8131
8343,6210
10319,10101
6975,951
2459,13193
8971,9975
3251,6281
12093,8143
9243,9168
8468,5938
7501,6682
12026,10667
6937,8139
7178,9156
13396,2882
7515,13921
2436,13112
10080,10655
8805,8558
10223,5670
8497,7555
6974,9421
8146,8168
8296,8024
10709,5465
9629,8994
4070,10330
11023,10967
8166,8238
13230,12730
6042,7464
7720,10934
12524,7313
6501,8141
7209,6659
13492,7264
11462,12878
6374,6555
6666,6401
5888,6166
7181,6763
5342,5101
5617,5411
6073,6483
9776,926
7140,6676
5468,6327
3858,5083
3130,2983
1313,4750
2713,6657
1512,4226
2508,5547
1613,4370
8519,8880
7509,11909
13994,12647
8036,11753
6319,11060
13402,11597
12943,13013
6201,6553
6390,6746
5432,6038
6236,6110
3624,4092
4898,4910
3834,3508
7295,7455
6441,6466
8002,5875
4580,10088
3514,563
6736,8193
8515,13757
10278,6927
11021,8692
4076,14056
6035,5826
8446,10223
9898,6327
8714,9026
13672,11920
13968,8587
3992,9654
5369,9061
7695,7877
6306,12743
7523,7025
5159,5356
10159,9794
13322,7258
4122,9456
7729,1288
9037,9713
10962,5502
7821,7956
9524,6283
7402,804
8224,6408
9185,1156
6352,4923
5992,3931
7145,1491
7940,7550
5200,5471
2779,3934
4445,903
6542,6562
7478,7718
9065,7450
4507,10497
6078,6846
6074,11275
11916,3283
6255,13388
12889,13326
6127,8244
9141,6306
9500,9455
8619,8114
9294,8595
7874,7452
11410,11429
11210,9751
13954,11691
11919,10817
11950,13032
8540,8359
8164,8552
12296,7264
14098,5686
5774,6558
9064,9655
10096,11034
14103,7844
13678,12570
5602,11407
7077,6441
9735,6322
12084,13162
