x,y
7803,7463
8660,8655
12712,4995
10075,6594
6095,6372
3724,4313
7514,13488
12235,11510
6470,8250
8564,13917
9726,12451
8371,8185
9728,1773
9205,912
9255,1341
10347,10304
9544,13312
11373,10946
12257,2552
8184,8184
9135,8444
7708,8141
3430,13709
6039,9357
5482,11268
7334,9671
4120,10228
9534,9231
7996,8573
6707,8400
9230,9172
9353,5967
10225,7186
7603,7919
7572,8129
6292,10185
9544,11862
9932,11975
10502,11137
11029,12766
11027,11363
14030,7755
13324,5174
12308,5032
13444,8718
13494,8634
14033,13321
12843,13924
9834,5714
9534,3378
8896,9113
6166,4913
11325,6492
12307,8174
6158,10454
8689,10856
12032,1771
11748,2784
6984,7655
6851,6841
6264,6361
8337,8742
11582,10923
11954,11128
6051,13617
4488,13519
4676,3646
1858,5458
7534,8236
9197,5692
8667,5242
8589,4953
10492,8649
7524,11334
3728,13692
6734,7081
7520,8006
9353,9152
9157,10013
5952,6394
4617,4877
7742,9876
8938,5973
7147,3934
9395,8652
6342,6047
1273,2334
1825,2154
7836,7197
9057,5755
7588,7194
7558,7575
8120,6739
10197,9655
5879,6229
8420,8785
6591,6455
4423,4469
4581,5012
4010,4438
5393,5988
8488,12398
8077,11856
7050,10646
13561,12879
12843,13346
6592,6355
8237,7632
11059,10032
11157,9770
7479,7935
8850,8298
12001,11089
6931,6449
7991,8004
6208,7159
7288,7565
10653,2297
8890,3662
6685,7485
6386,6379
4808,5274
4462,3137
4168,3689
7850,3399
5836,758
4602,1247
2443,4333
4815,10056
5215,8911
2148,3724
1783,3369
3832,4478
8790,8194
8576,8797
9857,3975
12299,13022
14123,6876
11460,1891
11498,1846
7803,8411
4430,9817
3274,10975
8992,5541
3514,9712
12700,2134
5307,7549
3471,4222
1223,2649
907,679
9018,9628
8247,8862
7694,6862
6411,7029
5661,8560
8590,6544
4932,5510
8361,8177
2455,7356
2323,3797
5817,5847
4744,5568
6720,3841
6895,3116
8179,7861
13315,2261
6852,6908
1768,5491
3146,7544
3683,1274
6063,6050
7949,8003
4494,4926
4267,3863
7012,6499
3427,4044
4158,2047
6212,6995
5426,5790
13858,9331
9713,10237
8750,11542
9569,11622
6424,5908
6507,6391
7512,7822
4745,5232
1125,10854
2660,7288
6530,7862
8420,5165
5019,10083
3565,9114
2917,7516
4004,10430
5222,8924
3858,13233
7598,7039
9787,9029
10851,2036
10277,952
8842,921
6504,4760
7257,7852
2411,2203
7597,7668
1269,5674
4893,4059
5520,1096
6905,6201
5905,9183
5404,7509
7572,6771
8051,8589
5488,5752
4951,8374
3986,6020
6057,6747
1896,3432
890,1111
444,240
6143,5758
8063,7356
1104,12233
8486,6196
4352,13539
7393,14074
8928,7367
13162,8789
10130,10320
9010,9235
8734,8643
11473,6373
11427,6501
11193,7766
8569,8200
8212,886
6897,6238
7626,11109
12089,13647
8760,4445
6382,8740
5506,7522
13774,6075
13162,7527
13938,11586
9481,8980
13292,9859
12857,9774
10161,10969
13752,7634
13407,6521
10107,6861
3392,8215
6848,8484
10025,8867
13822,13852
8236,7227
6192,6473
8588,6258
10640,1503
10115,1242
5452,5047
6455,4856
3182,8261
2879,8308
6798,11436
9239,6366
10121,5890
8443,8680
13407,6904
13264,5681
10329,9899
13390,13841
6422,9750
6473,9757
6518,9804
6634,8424
6456,10059
4089,11484
10942,4616
11663,4204
6686,1346
7558,1240
7310,1428
14017,4515
14100,7752
9228,8670
11900,13337
9343,14101
5732,5980
8317,7421
8238,7491
7504,7428
3711,9995
3919,5944
13284,3498
13450,3128
10141,5273
8109,7272
8785,6226
6442,1735
4249,10124
8274,7456
8129,7074
7679,7382
1292,9951
6417,4866
8108,7886
8003,7900
10136,8438
8737,9794
8185,6674
8910,7813
7425,6949
9989,6643
8981,6465
8108,6372
11743,2064
13734,3241
5632,6471
7658,8205
6731,7260
7054,9430
3122,1466
7400,7992
7343,7157
5645,6451
6217,7226
9023,1184
9852,5748
8199,5432
9722,4108
3764,10734
7531,1392
5688,3759
8154,8143
9890,8746
10780,7722
10866,7636
8512,8860
8120,8359
10886,2218
11429,5933
10788,5095
3875,10575
6371,8270
10252,6941
9075,9919
12440,10533
3577,9680
6713,4501
8179,4949
7393,7451
8075,6694
1911,2389
1770,2415
3444,2959
5878,9165
7119,6716
3602,11614
8116,8763
10212,9615
10794,11124
5272,11668
7536,7942
9039,9365
7096,6141
10900,3308
9948,9779
5570,7555
5768,3590
8875,9020
13302,2464
10028,7752
9762,6100
10569,10655
13662,11701
6343,8437
10441,870
6161,6221
7887,7685
6364,4538
7547,7899
1099,6561
4891,3509
5616,9314
10952,4197
8630,9092
8853,8970
10686,10927
11509,11093
11441,11088
13018,11994
12584,13778
12435,13656
13814,14125
10014,4644
6667,757
7056,4784
10127,7553
9281,9396
8396,8747
6652,8289
6216,8905
4089,9702
13087,3623
11377,4110
13541,3479
13900,3905
5607,8850
5035,8353
1057,5650
6791,7281
8389,7745
8649,10711
7174,1289
11774,1064
9040,5644
7936,883
5592,5346
2724,1807
6098,6076
10172,8694
7008,7327
11673,9717
11571,9909
4946,9544
8469,12477
7606,12398
9849,9979
4558,9757
5205,10577
13854,8940
5664,5707
3381,4942
11156,1286
8825,8625
6819,7949
3836,8069
14071,11600
14283,13183
6550,6956
5934,6702
5602,7774
6625,8557
5312,5870
5436,3022
7817,3560
2613,933
3286,1507
3364,5102
2727,3101
4124,3408
3887,9670
622,2453
2244,2238
6844,7113
7557,7636
7885,8436
10320,10177
4850,6166
6674,2663
6678,2835
3475,8326
6009,11336
13461,3947
7949,9959
7205,10051
12966,12255
13624,12936
13841,13566
6028,6283
10090,4601
3780,9652
1422,12499
4813,8700
1779,4487
6455,9299
6779,9268
2144,9739
1581,7598
10562,5292
1324,11178
6881,7201
6593,4825
7256,2479
6861,6848
8610,7584
7283,6953
9362,8780
7623,6927
6246,9375
4217,5963
7745,7844
7792,10184
7755,10349
7953,4914
6607,7286
10191,9492
7064,11607
7538,11530
4057,12290
6257,6319
6934,8081
6774,6490
7777,5704
4603,4541
7639,8097
6253,6771
4598,4166
8789,9088
8752,8085
4936,5662
9105,6001
13760,9849
13509,10468
12878,13866
6842,6900
7212,6562
6524,7646
6714,7836
11211,4528
11687,3586
7459,5804
4590,6450
3915,6215
7042,4761
6770,3116
11036,3965
8078,7242
12867,5289
7551,7789
8568,8014
8629,7969
8315,8370
8442,7530
7496,7998
7370,10936
13620,13102
11834,4046
9877,9431
10839,5399
3024,11718
5435,6199
13301,6870
8987,9962
10934,10576
13176,11929
4520,10011
2748,7683
10657,917
9233,9261
11140,7487
10161,5448
8116,6876
813,6511
3850,13210
7608,11399
4624,10325
11580,11418
9941,10843
14024,11418
7701,8112
5998,7066
8802,8081
8507,8590
8244,6806
9862,5606
10951,962
7188,8104
13372,5505
11884,10752
10579,10428
5477,5191
11789,5421
13702,3272
13902,10602
14219,13831
6728,7603
6136,6488
9197,7350
10748,853
5569,5952
4360,4230
2554,7568
741,7375
7170,6563
8133,4918
8823,4367
10519,2724
6431,1117
1286,2061
6166,6529
1017,7776
8475,7971
4578,1191
4128,1802
5243,1399
12069,3308
9056,9438
13484,7644
10653,941
10156,1238
9914,5464
6704,4796
7320,7624
3544,2994
6199,1108
1728,4122
2710,12936
1143,10518
1359,9923
3911,13270
7740,7343
5907,6751
10887,1125
11142,6526
7091,3149
8705,4323
6748,1114
8321,891
7942,7371
6308,5984
8761,8540
10809,6931
7609,1307
6098,1398
10030,10226
4721,9286
6080,8206
2488,13510
11183,5884
11257,11464
13953,10937
12131,5045
14195,12906
14159,11722
12743,11011
13875,13573
14328,13226
6938,6350
10195,5697
11081,3305
9374,912
5363,1521
8410,7862
4819,1351
3923,1279
9205,5434
6044,6128
10006,4929
9357,4333
11854,5013
6779,12565
10195,864
8802,7623
6897,11399
7405,6961
6874,7079
6733,6854
8505,8505
1601,12736
7467,7183
14088,11284
3229,10886
7956,6488
8110,8535
6907,6697
8094,5204
6150,6443
9999,7286
10177,6615
9851,7119
1585,8761
6242,6030
12422,1630
13060,5182
9176,6218
11538,7150
11201,6498
7494,7623
5609,9256
12622,11856
9407,8914
5857,6211
8036,3398
11060,12109
10691,12755
1298,11420
9157,7457
9282,1118
6072,6344
6244,6540
7068,6643
4921,3120
2691,13155
7454,8603
5611,8589
8115,8280
9585,5466
4583,13293
5203,13579
11186,11644
7260,7533
6984,6672
10463,879
9745,831
10782,916
6091,10425
12082,5212
2428,2989
2368,3885
8642,4140
2340,1543
1088,666
3142,2424
2415,1224
805,347
13646,8707
11600,12117
4513,9668
6487,4855
5728,6252
7993,6634
5505,12466
5997,5943
14016,4510
9527,9593
7176,6258
7128,7402
13249,3678
12699,3141
12084,1352
1695,2469
3186,2407
8288,6976
13712,4743
6636,6993
848,5060
1069,2506
2669,3144
4090,2523
4617,9664
6326,6379
6724,4596
10564,4685
8909,8156
7263,7864
13654,4142
8647,4534
8192,4774
3743,2120
8280,7577
1725,6826
3134,2817
6433,6755
7748,7240
6736,9391
10465,5655
6143,6335
7614,6862
8914,3822
2671,746
3536,958
4150,12105
3932,9464
3365,4009
7764,7900
4258,4228
1862,9666
1534,8144
6178,12304
2861,886
823,5132
1740,2762
1897,1334
13878,6345
13899,5131
8255,4850
4898,7524
11428,6075
9219,8785
5385,5598
9273,7253
7033,1271
6047,1060
7427,7737
8876,8687
8623,8134
7104,6536
7364,6168
9282,5679
8750,6364
6943,6918
7880,8727
7539,7496
9609,6338
4826,11726
7436,11185
6717,9233
13149,13771
14152,13288
8392,8616
8792,8990
6612,7746
8444,6297
7376,7226
10245,13696
3817,10421
6620,9783
5848,8897
5452,9404
14024,12054
14010,12241
11428,11292
12000,10756
6719,7257
12955,3257
11362,7086
7766,7912
7646,3564
10166,7760
10774,13338
8778,10493
13411,8389
5722,5846
8845,5443
4727,4743
9690,6396
7271,4608
7884,6953
8190,10142
11995,11053
13461,7171
3126,7927
13561,11691
13203,13985
3200,1344
8871,5444
889,10740
13260,2252
11557,3226
10020,5070
10417,2520
7407,760
4434,4937
8787,7918
7757,7865
11647,5688
2133,12930
5964,5034
4250,4183
5250,5323
1645,6961
7085,9631
2707,4759
7797,8137
8441,5995
6569,4605
6647,2847
8820,9063
7910,7363
7994,8651
3777,13713
3614,10698
966,10030
10405,11039
9944,11549
10402,10536
10450,10224
10008,9957
9817,5161
11525,1084
7052,6086
10276,4762
7055,6144
5717,5972
12370,12767
11774,12786
13890,12660
9137,8424
6094,6539
8959,7603
8538,7914
14044,8798
7305,8601
5456,11513
6792,6662
6872,6557
1244,8734
3838,5127
2416,3225
2010,2592
7682,1607
4414,9784
12365,2863
7101,7600
1879,4073
14079,6743
8022,10416
3886,12942
6027,10670
4476,10086
6582,8221
4416,5187
6464,7164
9440,9390
11464,4461
6923,12632
5858,10806
5342,9584
4010,3908
3986,9446
1159,10456
5789,7353
13604,2664
7938,6492
2392,13131
12827,13223
7592,2694
1124,12506
3280,13875
8145,5149
9322,4458
5232,5985
1643,10551
8717,5827
5932,9316
7162,9214
8192,10087
9761,9234
9617,8961
9972,6892
10098,9985
9113,8702
12049,8994
11220,10710
5244,11344
4750,6042
14118,7933
13880,9505
9072,4650
7266,7410
7546,7524
8832,8882
12872,3400
13895,3922
10177,10054
12077,11208
7304,1058
13170,4094
10092,8593
7108,8951
3959,9473
727,7924
1477,3130
775,2102
2749,2154
7406,7742
7724,7808
7174,5069
8593,8543
10382,4796
13112,3812
12976,3132
3265,13660
7260,6185
1518,11740
1151,10680
3712,9334
6077,3967
1620,7839
3091,7817
1202,7633
6278,6728
6123,7309
8666,1303
8338,1026
8700,1017
8490,1000
6896,4878
5661,5415
9187,3493
7938,1028
4159,3796
5894,6191
7267,7479
6356,7045
7970,7561
7618,7211
6393,6311
7063,7287
7690,8029
9284,1079
10168,1734
9443,1847
8701,13863
9212,14024
2624,4235
5076,9607
10078,5276
11283,5346
11141,5308
7017,4692
2797,7857
1848,1230
7555,7671
9268,6200
9894,8848
13818,13590
12874,11916
1417,11333
10413,3286
10400,2678
11960,12478
9929,8758
8674,8107
6159,6481
5070,5380
10923,9961
9403,13072
8556,5546
5604,5708
9061,11032
14272,11727
14112,11207
8302,6905
7386,6140
4663,8164
4567,7414
4007,7796
6838,7623
9806,4414
5874,5342
6184,8406
7246,7174
3895,10081
5224,7756
12698,7394
12146,11880
13535,9835
9297,11317
9982,7251
12448,7341
13983,8672
8731,11535
8364,7436
2509,13065
12412,2230
5783,13494
2461,11663
10466,1149
1580,9924
1152,12233
9022,6099
2603,7609
2705,8082
888,5429
1033,4063
1992,2960
1241,1215
7433,6754
6463,6951
6177,6877
6028,9302
6964,9540
8240,10156
9004,9886
5248,9185
6129,4101
5658,3730
5796,3688
6273,4357
4356,3073
10438,2260
8642,5244
10770,2715
13144,4677
6597,7291
4624,9959
9610,6162
9053,7530
7341,13674
13475,11623
12288,12507
7557,7473
11814,3910
10025,2621
8191,8747
5383,5859
4824,5209
5001,5651
4738,9171
4855,9072
4898,9489
8026,7760
9938,6868
8417,8638
8356,5592
13522,3120
2234,12949
10350,1608
