x,y
1355,11163
823,10283
810,10590
1181,10143
1824,7902
13869,9777
7821,7578
4470,5175
3366,8460
5151,1565
3301,3396
3744,13089
2343,12136
1531,10966
11640,2059
6157,10805
10038,7250
12084,3130
5873,5909
6857,6324
1194,6710
8926,9645
6028,5664
5339,8999
3716,9645
1120,10405
7817,7893
4670,8046
6008,5804
6085,13361
10051,8931
7199,6105
9024,7681
4024,4764
1267,11117
6817,8226
10283,9908
8373,8537
7105,7547
11878,11404
8443,13552
9428,13286
8886,8708
8732,6641
7718,8241
9519,9096
4696,9668
8922,9686
6690,11374
9431,9865
9712,9452
11679,12470
6632,6960
6228,6044
1769,11331
5271,7537
11155,5570
5470,7531
956,982
9050,8902
10351,8982
8980,13646
10908,10616
2959,10992
1341,10554
4843,13213
11188,1269
5151,7681
5208,4744
1705,2966
7313,7749
6856,6801
7470,7567
6567,8009
6865,6834
13079,5053
5761,6092
4720,4473
9922,7456
6135,6461
5036,3579
1872,1390
1447,10971
3509,10483
1388,10536
2880,12016
2064,9742
4217,12685
1133,11616
2794,12634
1797,12249
5571,13007
1095,6597
7478,7276
9536,8880
7114,7135
4777,10459
8288,6913
10342,1478
11308,9938
7287,12459
14116,11556
13299,14120
9872,7317
9194,8938
8796,7553
10845,5538
9948,9373
4063,9833
13469,12154
10090,8625
9324,11570
11166,4268
1019,11254
2847,12645
9822,8977
6508,11454
13476,9707
9833,5420
7029,3895
11102,3768
10269,10687
11139,1045
10039,11405
8921,6054
7817,7448
7799,7957
8070,8686
2342,8625
6826,6806
6527,9606
8050,6778
11565,9933
7411,7422
10162,10028
5320,9238
8386,10407
12319,13154
1090,11538
3036,12822
2415,9763
6957,8216
10471,10557
11596,4460
8180,1752
4771,6238
684,2572
1279,11643
1561,11462
2414,12266
1740,11204
8384,6892
7000,6232
4456,963
1289,9473
13304,2451
9044,1327
5393,8960
8019,5336
1430,8754
5014,9665
13819,6523
3560,13166
4316,13282
4135,12693
7290,7563
9684,9685
12424,11307
3609,13409
3803,7191
4566,4758
1593,6843
4527,13671
4398,13420
7491,3212
8625,4149
9880,6545
8388,11614
4612,6683
8460,6576
6221,7234
6600,7997
9290,6086
10827,4624
10981,9916
13212,11585
7521,7807
7862,8690
6874,9590
7128,6323
4164,3654
5273,2684
4572,7838
1782,11586
936,11074
1576,11311
8337,6080
7228,7136
6583,6918
11148,5324
6551,6333
5571,6038
10720,3204
6578,6152
4818,12452
6181,6063
2497,8630
1485,1289
7513,7987
6081,9376
7083,7277
8880,8705
8022,6958
5889,11348
9107,8957
1223,12170
7831,8729
12369,11578
13792,4129
13536,8567
6645,11483
13574,13488
2392,12105
3849,13372
3645,13548
7243,13518
8074,7032
11881,7562
3953,10001
5798,3632
8667,8391
8249,7609
8034,5004
3860,10218
12142,5055
9494,5745
11367,8296
7047,8912
6098,12547
13446,12582
8236,7227
6192,6473
6942,6771
8737,5756
6316,9266
5452,5047
5298,5016
3259,7399
4364,1639
8464,8445
7527,8700
7621,3021
10556,10375
9933,13497
10534,10416
12824,12290
6071,9011
8194,7214
8340,8564
7833,7239
7997,7813
8082,7502
13164,10324
8315,8483
7290,13474
3949,12732
2542,12220
1501,11039
2138,12562
8771,10989
13292,9870
8578,9915
13764,6748
8612,13236
8925,8158
8610,8662
11070,1446
2667,12639
13767,6491
13535,5914
10409,10463
12237,12194
8107,7599
10677,5566
5107,8552
4667,7770
6633,7815
8129,8686
1318,12644
11024,11602
9250,13394
13740,12148
8604,8439
4038,9648
6539,6402
9047,5849
8831,7476
12755,7320
985,1628
9912,8981
6790,7357
6322,6697
2760,12342
1858,11481
3840,9894
12754,13892
912,11189
911,10731
7620,11687
3889,13116
4238,9844
1328,11424
5747,13731
11818,3706
8598,8515
7836,8048
13678,12791
7246,6502
8304,7919
5926,7397
8136,8251
7594,8543
9250,3758
7575,5038
6981,8907
6880,6831
7188,6887
5857,5867
9446,9682
11089,4977
12900,11622
11817,1215
11136,3406
6900,3991
5449,5078
1110,7698
1898,5398
2432,2291
3409,5066
2018,12776
1238,7382
1119,6485
4023,4682
1012,1917
1531,10221
6227,2258
1107,9665
1158,4174
8648,957
1227,10354
2054,12039
3383,13001
4826,14058
7521,13403
7038,6610
6788,6704
9518,12740
6114,5928
12958,5332
5684,6128
6021,6469
6345,6375
9381,9733
6086,6206
10520,11056
3526,8380
1767,2060
11488,6526
8774,8816
13416,6859
12023,12201
13223,12835
9116,11292
4064,13636
4070,13313
3684,13146
8536,7958
7653,7758
7932,8065
5450,1040
13751,8590
7789,5873
7575,7826
8312,8556
8630,8849
6962,7704
3839,10471
4952,9992
7129,9807
1454,8288
10105,10049
8631,5120
3020,11952
1156,7810
1206,10280
2543,7317
4374,13718
3523,9637
8396,5642
10074,10140
2320,13440
8277,10138
7876,7632
7260,7382
13323,3956
4155,4113
4936,3030
