x,y
7750,7638
3824,10425
7550,6820
12488,2639
13397,3210
13290,4225
6733,7219
7429,5879
11878,11404
1763,12979
5014,11465
13733,12555
6626,13668
9432,7404
9981,6737
9774,6342
2758,3852
5542,3310
7313,7749
7470,7567
1710,11175
8561,4930
8274,7888
13079,5053
13246,2342
5761,6092
6613,6402
4643,5039
9922,7456
5480,3646
2395,3685
7644,2424
12526,1534
8273,8133
1385,9384
1044,8827
9240,2571
13043,2908
6744,9408
5506,12866
4534,12352
10352,1310
8737,8559
12743,10683
14032,12106
3436,11677
1983,11985
2110,13476
3941,4776
7830,4214
5818,1614
7805,7014
2759,4054
1140,1081
8732,7471
6308,6148
5174,9503
9291,8529
7084,11638
2376,9780
2946,12481
12629,13424
926,8344
2953,7557
6662,2955
8315,10124
6195,6751
9522,5708
7486,7671
9083,5757
6635,12317
5015,8588
4968,9043
8826,13278
9853,4349
9526,4337
5201,12139
12514,4608
13062,4636
6728,6678
6453,6696
9865,9932
5848,8430
11042,13893
1120,5467
2273,12943
2461,12305
3536,13372
7492,13287
9992,9134
1284,12322
8011,10095
10986,10105
6198,10246
11742,12326
13839,7428
14123,8108
14070,7630
6315,6848
4705,3813
4963,4942
5984,6551
4846,6164
1728,11434
889,10687
2225,13005
3913,13157
12857,9619
5699,14100
7216,9751
13445,14212
7158,6795
7410,5142
7599,2478
9422,2466
3780,12603
12770,11098
1323,7061
6006,6024
6970,2867
6596,1174
3012,5083
2682,4422
1362,2437
2878,13056
10466,9785
8961,8218
8563,8392
7834,7178
11818,11562
6027,4562
10573,5136
7940,5054
10782,10446
10737,9886
6949,11683
10124,3061
13081,5522
11224,5536
8683,9036
2124,13288
1816,12305
2614,13510
10692,5236
8153,6737
7998,2303
7622,8014
8353,8323
13761,6510
10626,3179
7187,8087
2452,5580
13291,12347
6786,6556
11914,7226
7720,10251
1458,12058
5013,5395
5690,5624
6802,3100
8316,6761
4668,4624
7021,7077
9860,9958
7717,10997
13292,9870
11397,5795
2722,12314
3132,13252
6691,6987
9221,13731
13612,7306
8858,8632
8739,8841
902,9417
7349,6793
6443,9618
4032,1382
11189,5477
7262,3757
8455,3609
6512,3164
7060,4462
8648,4041
6007,4906
3184,8259
3968,3235
1490,1046
14044,4774
11859,1562
12801,1910
5706,1752
4644,9728
1192,7986
1008,10175
4958,4592
5564,9375
12304,6331
13966,8209
3800,11070
9814,9396
8580,10116
1195,10753
10108,8619
8158,6369
8711,838
1140,9748
8982,8930
8685,9810
13216,4993
724,6658
4706,7043
10028,5305
9999,9302
5413,5937
8253,10198
2530,13040
6902,8349
7854,8067
8579,5505
9158,9298
11530,2009
10880,4762
9435,9433
10554,10137
9742,9742
6247,9879
