x,y
10001,5451
3686,13144
9204,9027
7636,7798
9066,8829
1676,11499
6148,4217
5194,9540
9808,5674
13675,5460
13381,4227
13822,3886
1172,10428
1279,10751
12041,2080
10289,1248
12127,2002
12151,1968
10688,5033
5792,6595
8406,12382
3517,9436
12924,2445
6693,7025
1132,10355
5234,9288
5106,8800
4713,6289
5889,4156
2696,3480
11418,6107
7871,6728
2703,11529
1438,7808
3361,13414
13015,3426
2674,12369
3613,13296
10006,7865
13306,6743
3834,13067
11094,10595
8892,8240
13465,12797
964,10943
11654,3133
3455,6550
10175,10682
5038,8618
6077,6414
6305,6038
3961,11519
13502,2448
13190,2861
12744,2346
9564,7184
7204,7416
7338,7170
10289,9853
12043,4807
4549,4824
4798,4643
1408,11612
1753,9954
4032,13666
13523,4125
4042,13768
1706,12462
10228,14057
4528,13687
5459,12694
2675,3577
10241,5135
13681,3134
13291,6649
13733,5776
7748,9949
8760,5686
8911,7768
10056,6927
3690,13986
2240,13416
13667,4917
13109,5117
3950,13643
13178,8295
9409,13034
9505,12744
12556,9613
13022,9313
12986,10758
11253,12234
14060,13296
1948,9490
2788,12554
8435,7878
1571,11296
1904,11635
6251,1099
6829,7809
13021,5379
4448,11794
4206,11613
5942,5658
1491,11350
5836,6552
10232,5404
10811,10931
10792,11512
11086,10208
5730,8799
13730,4813
10229,9520
4224,13222
10852,11621
5745,1069
13637,12803
13896,14135
3405,1015
3040,12830
4295,13536
7763,9794
7056,7873
4290,9459
12131,10536
9947,13671
12137,10845
12330,11695
13531,12125
7852,10595
14022,4508
12603,1480
11598,1234
7757,7871
13797,8389
12224,8447
8129,7925
6667,4818
11975,5163
9730,6222
7339,8584
10640,11811
11893,5028
11664,1175
8495,5907
1540,12793
9500,6322
2144,12549
8057,7007
10130,1535
6449,12574
7726,7436
12250,2602
4286,4202
7925,7038
5027,3435
7804,9951
11430,3646
4276,10205
7156,6839
7295,6895
5841,12641
10532,873
8923,4233
8254,1335
6616,1606
1207,10026
8758,2179
3836,11516
12328,2653
7154,1638
7611,7605
2785,7965
6136,3812
6273,3307
8518,4714
2692,9898
4716,6638
2625,1422
9945,1071
10126,981
11218,1711
8124,8002
10660,4766
3562,12974
1263,10097
1469,10853
930,10645
9134,9333
5966,10871
2737,1568
1622,950
4229,9469
2496,4720
11377,1446
10044,4420
11578,1569
11802,2175
4427,12157
6942,4811
5589,5397
5163,4720
