x,y
7144,5546
12041,8657
7329,6774
10116,8104
8181,8621
2580,6544
2504,3548
2769,3462
6724,7147
7072,7359
8809,5674
7665,7974
8654,5530
6346,6358
8684,8058
6673,13582
7945,3535
3542,10073
5482,10464
2682,2898
4432,7353
6208,8596
4871,13807
2932,12717
8674,4278
1470,10956
1211,11301
4199,13175
7128,7158
1388,8457
2159,2705
2143,883
3742,10138
8834,9758
10507,10811
4462,9934
6728,2898
10055,4316
6433,6828
9050,8820
11926,1099
6302,6687
4796,9770
13733,12555
9296,13122
6862,8458
1575,12921
9888,6520
12282,12098
8172,1856
12992,13789
7508,11653
2575,9273
9700,4100
8894,8917
12756,6506
10854,5414
8836,12941
2466,12469
4357,13600
3822,13211
4805,13569
9991,11059
12010,9327
10809,10645
11627,10896
11784,11822
12625,11593
6037,5879
7344,7032
12813,2437
4982,5237
6241,1861
3849,2829
4075,13510
12820,10885
12617,9730
10770,10033
11245,10090
11888,12019
4120,13402
5794,14077
2689,12893
5148,10307
2716,13335
3649,13447
4314,13153
10314,2998
8340,7905
1868,12421
7977,7838
3449,3948
11680,4170
5873,9205
1697,11659
4121,11595
6958,7886
1626,11496
8786,7990
8845,6084
3775,13778
7657,13498
4921,5090
10706,3210
10072,4713
1304,12176
8319,6602
10707,2033
4692,4751
6253,2409
4316,4400
8742,6255
4166,1558
13081,5522
6966,11318
13484,12971
4282,14049
4760,8167
9928,9436
2260,13131
7581,7898
9350,5722
7396,13490
4099,14053
3590,13010
7815,11914
7904,13244
13959,9748
13731,10423
8119,7482
6528,8523
6842,9780
1232,10446
1092,6607
3804,10587
3099,2143
5967,5723
9901,7970
1025,9939
1757,11305
6178,9384
11958,2280
5502,9302
11229,3867
3766,10586
12351,6182
3484,8338
1143,11299
8366,8704
5451,5846
3972,9596
5046,1282
1628,8276
9704,6046
6646,6482
11477,1330
3584,13203
12952,11214
13695,13234
5363,11576
7245,9080
7736,7461
10148,940
11902,2112
5209,5026
8909,2352
8438,1384
3194,3928
3794,3194
1958,1710
4303,13517
3946,13581
3406,10144
6369,6965
6195,10272
9388,5596
8045,8531
9054,3882
8602,6400
6920,7082
10882,3482
11833,1980
5811,8812
5020,9107
13000,10530
10072,10368
6737,4878
10184,5287
9955,10831
9195,9307
10585,11001
9264,9706
11806,13243
5835,7186
1443,5283
2311,11910
2557,12002
1612,9228
4831,5208
4542,13517
13087,4799
9189,11418
8652,8465
7950,7581
7053,9193
8564,8407
8130,6498
8009,7686
3977,10260
3609,2985
4736,8096
7849,8151
4342,11962
11391,6307
6836,13401
13089,7384
9260,5581
8910,7813
1799,11125
6888,6674
6006,5561
3195,8860
13524,6144
13743,11629
6443,4596
8084,3442
9069,4066
1450,10286
11744,4117
1478,11314
6566,4553
1149,930
756,5209
8346,8640
4059,13486
10574,3059
9536,3405
10150,7444
4240,3948
10276,10888
8938,9053
7826,7187
8138,5458
3588,4153
13602,9553
7789,7758
6834,9550
7888,9966
11089,10593
12148,7842
6283,5010
10472,4997
6248,1160
10180,5819
8721,10043
5864,5320
7721,4917
6148,5956
10671,8774
2730,7421
12369,9353
1810,3941
10570,2661
11271,1357
5240,2242
1088,10990
1626,10733
1399,10041
7041,7372
11025,10187
6438,11214
9880,5643
7750,3586
2212,3252
3717,2269
3380,13545
3967,13438
6999,13636
7938,9704
7637,11522
1176,8439
3308,13453
6593,4728
6871,9161
13625,12640
11804,12660
3913,13858
5306,13067
4594,13319
6288,6510
7239,9650
10718,9834
2880,7446
1461,9054
2842,13273
5871,7091
2576,10057
868,5015
5053,5127
4809,11771
3327,2992
2357,1905
7976,3454
9331,3398
8607,6464
7842,3796
5049,2550
1719,2484
3209,7113
3634,10038
2643,6180
2778,4061
1521,10868
7323,2723
2840,7209
7430,4824
11497,6442
4119,7386
4424,857
11250,961
7099,12735
10310,5411
8936,6163
12947,9830
6453,8409
5137,8753
8862,11376
9122,11200
9131,8365
12542,2805
7749,8060
8403,7874
7077,7577
10110,9942
6866,7605
5337,5787
9209,9272
5757,9233
13052,9785
12032,13373
6641,6836
6187,6143
11608,4482
9011,9401
1051,11142
3462,9270
1198,11749
882,8118
2353,2371
4004,1488
13332,3981
1328,11565
2921,8104
4952,10262
10164,11023
8538,12424
9915,11127
12295,12851
12847,13103
13550,10719
13512,12402
12944,13542
3520,11058
13740,7587
12828,13277
7995,11862
1719,11711
1522,12624
8289,13367
10057,6017
6343,10121
10547,10496
12514,12681
6410,9103
837,10186
1218,10885
3777,5012
5860,1473
4050,9979
1281,11398
2870,12600
3112,12032
3915,13897
8748,8496
4059,13843
8712,9212
9559,9050
12000,11231
9317,11382
9244,5882
4102,12482
8846,8049
1081,6947
7715,8289
1651,11558
12530,3219
2050,5135
2253,5256
6285,6493
1278,10108
6763,6432
11283,6341
7913,7413
12824,11992
10033,5450
8604,10625
7380,4982
6010,7181
6861,6401
10114,6654
14053,13800
9259,8556
7846,6444
6666,6252
8598,8796
10684,1418
6370,6648
6283,6693
7822,7463
6316,6286
4001,6097
8468,5075
4264,4786
5124,860
7272,11316
6860,3962
8455,10153
13153,2136
8544,3712
5564,5488
3579,3401
1559,12916
10574,3035
9480,1221
5518,12882
14051,4813
10501,10646
10188,7428
8364,7906
4639,13784
4258,12689
5245,13198
11203,8391
9415,11549
12980,12866
8422,8405
13171,5203
8404,8692
12410,3188
6985,6991
2404,11716
11137,11403
3810,13316
13581,4462
1080,3162
5496,3273
1825,2819
950,11224
3594,13199
937,11361
1730,12122
4594,11787
8924,5922
6158,6399
6947,9137
5322,12249
4202,13407
1579,12187
3580,13568
13205,3809
12724,1801
8582,7791
8314,8834
8974,13369
11063,10612
11554,12130
4035,12702
3920,12940
1127,12265
10214,825
7255,12084
14042,10522
8643,10218
2392,13174
3292,13271
8373,7884
6922,13662
9050,8792
1549,10317
4739,12456
11524,4736
5996,2003
2696,3272
1826,12344
4453,13996
13768,8341
12825,13016
3311,8097
6510,6608
6909,7198
6518,6175
8122,5016
8587,7759
10887,4902
3628,8712
2057,11996
6624,4611
5556,7464
13511,2653
13587,4855
3693,12818
4861,7432
4733,7383
6620,3067
3234,6998
7255,6769
5581,3504
8413,6726
2570,2245
4328,14053
8679,8528
1589,11297
2758,12347
3117,9697
5422,6008
8317,3571
803,750
2970,11029
3718,13319
3454,12916
3286,12886
2749,7585
8521,8372
9123,5723
11990,7685
13762,7905
1667,4754
12138,8525
9754,6340
8806,9219
6307,8967
11648,7959
9954,9695
13841,7595
13332,10972
2697,13377
1760,12750
3205,13508
4081,13742
9972,1171
13476,4370
10250,10930
11182,7823
7321,6904
