x,y
13253,3338
10075,6594
10542,1481
7514,13488
13222,8574
12256,11655
13728,9784
14226,13340
12765,2608
9998,2532
11312,1437
12980,3051
10765,1458
6661,1436
6457,1186
13500,3312
13418,3420
12196,1538
12712,2527
13646,9410
13538,9918
13564,10153
3564,8716
1346,1980
13573,3178
13055,3704
9268,5666
4184,12470
4725,9514
11547,9754
12728,10862
9980,1314
11645,3420
12924,2445
13217,5377
5720,13539
3039,3741
9736,2515
3405,2511
7871,6728
13316,5018
8161,7625
10550,3149
10448,2584
6950,1633
6280,4358
2329,1924
1926,5130
5430,5057
2032,1186
10428,2835
6807,13027
13922,6986
6472,9610
13757,3308
11753,2044
12257,2552
8608,854
3106,2140
13383,3807
11372,5922
6982,6896
12270,2422
13493,4401
10367,4818
12732,2842
11483,6273
13579,8107
8528,8664
13901,8659
11992,7045
14175,13493
13706,12883
14070,5105
10571,5141
8859,13064
10810,12335
13021,3135
13197,3745
9743,5763
9033,9373
7651,7363
13973,5786
13037,10637
2879,11849
11020,13454
6264,10118
12906,2426
14122,6908
8870,5652
12109,7899
10142,10128
5290,8614
7411,7135
6842,6704
5407,5530
2645,2386
10225,7186
13222,5703
7572,8129
11027,11363
13324,5174
12843,13924
12029,4820
11874,3436
13931,6687
9197,5692
10492,8649
13427,11881
12294,1415
13019,3269
12464,1306
12752,2839
12093,1581
10694,901
9668,4652
6969,6245
9202,7336
10473,10443
12684,2816
12949,1820
10389,1329
11146,5338
8720,6535
5805,5961
4854,3741
11524,1514
10735,904
6914,918
2118,1232
10236,10157
13381,5464
6465,6435
9639,7089
6850,6876
8338,6544
7440,11476
13518,9758
6329,6998
8736,9139
7064,6912
13190,6047
3655,11324
4471,4381
2660,1474
13135,5004
8457,8021
9726,12613
13089,3040
11161,5511
9472,1794
6112,10646
13705,6099
10865,10033
5618,7793
11252,5575
13397,11139
10336,1078
8068,5199
7123,860
8301,1215
6353,7078
3613,3967
2482,1231
2467,3540
5502,859
4759,5090
3161,2306
1016,1132
12990,2776
8138,1054
8519,1331
1415,8078
9894,3196
8966,1305
4179,3807
11104,3791
8815,2394
7670,7551
8958,9967
4995,5596
6225,4821
11464,1762
13920,3663
13675,3052
12418,1674
12164,1472
12359,1630
10670,5226
8866,9321
11471,4147
7136,8684
11394,4595
7251,8633
2700,10294
10729,4620
1396,2478
6863,6408
13804,3172
10890,3609
7965,4120
11686,1844
11721,1431
11876,1513
13075,1946
13585,4479
7720,4823
3188,2467
8798,9005
10029,7569
6880,4280
4075,9622
9088,5588
11558,5638
10343,14010
13292,12872
10694,995
12602,5455
5032,12320
6088,6019
6338,6762
3941,4776
9840,5985
5864,1173
10512,4733
3343,6680
9457,5515
8166,5575
5575,5910
2265,2153
13402,3346
13303,2335
11524,4222
13504,4538
11963,7564
11585,10677
3704,9534
768,4148
5352,5579
13409,2951
11215,3310
5644,5192
1987,3584
6284,6526
907,1241
6327,6556
13409,7458
8648,8501
13716,8138
13230,2101
10467,7629
5037,13977
13333,2898
8281,7727
10859,11044
