x,y
12652,2108
11818,1958
12617,5015
13166,2771
10173,5953
8400,5760
5590,5754
6122,6295
12670,2323
12593,1904
13872,3749
13781,4786
5077,7769
1794,2622
4872,10155
13559,6435
10341,10146
13365,5838
7704,5837
10832,5063
13118,3974
13616,5078
6282,2906
1183,9058
4057,4288
8080,3394
11310,4446
12072,1277
13176,3812
7914,2228
8393,2632
7120,3786
9370,11565
6073,1321
3338,4852
1512,4889
4847,5862
13766,4749
13554,3609
13435,2392
12511,1886
12447,2560
11324,3528
6130,9198
4736,8288
5298,10486
13748,6357
5831,9375
6194,9347
5304,9166
4284,5055
4478,5094
4258,4868
12841,11914
12308,12879
12659,12521
12406,2270
11550,3505
10935,1195
11682,1141
11831,1219
12386,2379
6618,1022
5395,5933
4839,5225
3477,4870
3087,2770
3245,3750
1626,1039
12394,2441
13584,3018
12056,1933
13068,2536
13566,3134
11409,4800
13560,7394
11391,5880
12340,7262
11169,5521
11201,4362
11192,6318
10224,5944
9717,4321
13709,7440
12673,7204
13589,9017
13062,5209
13157,2297
13740,7757
13903,5715
13648,9811
12769,3071
12374,2322
12767,2923
13050,3826
9187,8638
11032,10658
12371,7284
6477,6991
11345,14011
10305,10145
6060,6583
13477,4593
13891,6305
12545,5664
13340,5308
13974,4052
13694,4848
10254,8128
13259,7406
12392,7740
9895,5684
12618,7418
9515,9289
11038,10608
8270,8596
8134,10069
3028,8071
3321,4324
3970,4127
6955,7077
8939,8700
7207,6820
13376,4879
12486,5747
13512,4578
8186,5519
12451,3061
13253,2525
7856,4004
10732,2125
6829,9661
10262,13213
7629,11155
9431,12795
13466,11642
13737,11139
12684,3046
12656,1932
11774,2680
10222,1080
12168,2510
7201,1436
8664,10416
8956,4464
12181,7278
7646,13632
6331,6088
7496,7605
11356,5098
12284,1223
11572,6774
12052,1931
11761,1770
13689,3731
11598,1812
13616,5103
13896,6742
13812,7993
10620,10360
12416,5173
12212,2309
12150,2236
9914,6320
9346,9311
8393,7977
7867,926
9990,7569
9948,10416
12423,12261
9102,9432
9304,8593
13213,13699
11968,2202
11943,2135
6861,6941
10674,5231
8815,9000
2585,3624
4632,4290
2148,636
12033,2311
13637,3801
13638,4736
965,10253
6172,12696
9357,6257
12222,2067
11736,2406
3350,868
4340,1084
1004,2844
4100,3124
3245,2642
10818,977
6687,7432
5527,5328
3891,4534
3953,4517
3925,3665
6182,10285
8423,2284
4055,4423
11965,2151
11796,3698
13861,4052
4449,4191
12402,2304
9824,921
12388,1760
11526,1998
8284,5091
10739,1431
13426,3362
13344,2420
6038,4489
9751,9721
10488,11074
10672,3283
10017,4032
7489,8477
11528,1122
12662,3041
6222,4970
9162,9510
13211,7445
13935,3651
6258,5932
10050,7699
10232,7265
10383,7448
13662,13995
11547,1570
12551,1605
12653,4980
12336,1327
5145,5411
3298,3912
2862,1924
7165,3909
14056,4857
12653,2985
13288,4982
13521,2852
4145,11544
5250,13130
4317,4515
4501,4750
4334,4755
1350,5527
6552,1505
7844,5842
2232,2777
11065,1297
8506,5727
13264,4744
13497,3606
1644,9546
9672,9438
10154,8501
12752,12784
11018,1317
11105,1435
6676,11378
6061,11276
6896,13256
6676,13354
9429,12420
9753,9143
6498,7970
4890,2940
4218,658
2443,1338
281,646
11003,1368
10301,2630
5365,12498
10790,10872
14089,10748
11242,12494
11456,12323
12974,2165
11434,1798
13200,4968
1560,6014
5297,5660
13088,2108
11174,4352
4090,1064
5772,6268
6200,4668
13337,3376
13226,3915
13110,2987
13702,3945
890,7897
4067,2042
11684,1921
11340,4087
11420,4568
11090,1064
13427,2888
13929,3985
13426,4256
12781,2802
8276,8698
8122,7876
9319,11472
14111,14178
11910,2839
13194,4382
9980,5776
5560,5373
9385,6062
13877,3939
10928,1285
11905,2014
12344,2477
11840,1638
1114,9543
2808,5530
4675,7205
5196,10509
4574,10021
6967,7999
4077,1474
4598,1595
7896,7950
8262,10183
10915,10902
1337,6105
