x,y
8530,9106
6240,10466
6022,5028
916,11266
8302,8842
9932,10302
10615,10424
11483,11899
10832,5063
7789,7490
7406,6807
4261,7381
1183,9058
5968,5600
10295,4751
5581,1577
13279,4132
8387,8838
9434,7189
6907,13206
11094,10595
6512,11348
8892,8240
5093,10821
5700,9122
6000,9360
8202,6287
6097,10757
8599,4692
8646,8576
8241,7565
7769,7567
7781,8426
7486,7788
8502,8897
9751,13870
9508,12070
13785,13388
6121,4844
13462,4881
7222,6731
1618,7244
8310,1364
5223,10130
158,337
9204,7526
9942,3354
10536,10517
13944,10578
6797,8199
11669,11145
8602,12423
5188,7701
6442,6892
6744,6708
12064,3220
5577,5394
6569,857
9906,13388
6572,6189
4814,5026
6053,6860
7356,6267
6387,6365
5112,5602
6311,4769
1322,2003
7493,11388
7629,8089
11714,2968
8622,6720
10306,1372
1888,7537
2459,6499
1652,2393
6348,6883
9007,5983
8010,7257
11215,4375
11034,6986
7349,9778
2649,1994
9657,1462
7776,10700
2340,12730
9235,9857
10042,826
7104,7051
3525,3759
5291,7535
7970,7132
9229,8891
6857,9038
13119,5604
7148,8970
8692,8679
12369,9639
8030,7098
12175,13953
5701,6010
6626,6439
5895,6220
3368,11435
5891,6551
6992,4148
8510,6747
8090,7820
8989,8778
8141,7938
8126,8064
9747,9329
11929,7288
7380,4899
10410,7440
4472,12109
12371,5582
7790,7060
8688,8864
10172,7418
9209,8764
13496,3281
8147,7044
6789,7356
7286,12280
8354,7836
12877,10781
7270,5042
7123,9412
5968,6781
10483,11658
10918,12190
8120,6736
13796,7453
5952,10508
6122,4867
2568,7463
6670,4551
7700,6782
5945,6192
6136,8833
7353,8522
7674,8050
8659,7530
8594,8658
9694,6142
7504,11209
11448,8743
2123,9720
8939,8756
3418,3978
6982,1066
2356,13272
1894,2183
2155,1386
6144,5858
6246,6260
5452,5093
4606,4796
6839,2754
2761,1024
6520,4836
1198,1013
8445,8001
9089,3426
8219,1245
12515,7316
5606,5387
8777,9037
12223,9135
4553,4361
10081,10284
7259,7340
6450,9299
3640,2319
7586,7542
5762,6234
6756,6696
6005,6046
8278,995
3956,1166
8423,7958
6500,7873
8092,7941
8719,9017
1693,972
5516,6375
5486,5926
4967,4529
11923,7258
4934,8598
6282,2161
4233,4878
2025,2061
1617,10417
6503,6717
9865,6913
7317,7080
7381,6855
7959,8229
7254,7125
7887,2147
2540,1315
8082,8068
8502,8370
8328,7363
8472,8481
8462,8543
7826,8104
12993,9340
10214,10202
10312,7492
6229,7189
11733,1929
6709,7362
10601,3042
3473,3324
7829,8069
9958,9425
13778,8988
6854,6568
5984,6254
5908,5806
6879,6980
6185,6269
6936,7098
8839,5463
3251,6452
3076,3501
7794,6508
5534,1124
809,4400
3732,4067
8662,8215
10473,3072
5706,5094
7228,6908
4881,4450
8491,8114
8523,8746
8625,8718
8617,7683
13566,4597
7508,13750
10678,5670
12584,11790
13570,6491
13448,10504
1645,11313
3530,10342
6229,12729
6204,5909
11034,13240
8064,7935
8147,8398
2427,12188
10640,3028
7179,7479
12779,1875
7271,7649
8387,8112
7000,6830
10642,7804
7126,9300
8611,12649
11289,11013
11968,9247
8164,7976
6198,6469
4685,7456
10045,7755
10205,5241
10156,10241
6293,7079
5843,5802
8472,4796
4536,12112
6103,5922
5074,4558
11395,7124
10802,9934
9326,9097
8381,3542
5845,6582
6561,8467
3771,4208
7109,6580
9552,6997
9429,9036
9007,7551
7878,7597
13902,12416
12345,2800
8124,8266
8362,8247
7022,8208
6073,6868
8157,7188
10063,8136
8662,8854
6775,6703
8097,7179
10930,5332
6109,6121
7494,7780
8570,5608
14060,8814
8591,5875
7959,7372
7016,7884
7760,3471
11057,3604
9669,6282
7579,7121
4815,7023
7230,6773
7894,5287
8300,8468
3982,13834
9173,7313
8369,5777
7486,1296
1364,10316
3669,672
7047,7184
8737,8551
7681,7826
8057,8044
8122,7801
7567,7457
8216,8198
6732,6830
9464,8729
3563,4259
4250,3271
4480,6132
3801,6240
8280,8198
7618,7930
10368,10404
9546,9322
13284,11218
13876,7227
11612,7162
8597,7860
10328,5424
7643,5877
9251,5696
4184,7416
2777,4859
3712,5933
3068,3481
10338,5524
5595,6137
4991,7529
5038,5988
7379,7719
6909,7805
5595,5200
10407,8727
5912,5835
6586,6984
2873,4911
1898,3028
6556,6795
8437,8544
3327,11068
7444,7015
8021,1023
11548,3431
10018,7020
7058,9799
12609,12671
10054,4943
9691,9782
8785,12497
9462,11432
7247,4865
6951,7302
9937,10153
9067,11390
7259,11837
11020,11041
7085,7129
6448,6807
6921,7681
6354,6552
6027,6156
5515,5536
4697,4847
5259,4751
13028,7375
8260,8496
11103,6099
7243,11448
4506,5266
11359,1244
7502,7694
5826,5720
5659,5936
5157,9008
7595,6931
8171,8742
8258,7758
5392,3533
4762,5027
5920,6140
2362,12590
5899,6960
4286,7351
5028,5406
10143,13539
8673,10843
8467,7768
8831,7720
8202,8423
4350,13266
9311,9288
12327,11859
14129,7345
14221,14094
11007,1975
7801,7885
7361,7489
11306,11328
11106,10920
6061,6027
3739,3985
7663,8135
12964,5197
10038,9419
11258,11544
12397,12667
10154,1542
8654,1512
10112,7676
4766,11564
5061,8505
7800,6876
10536,2213
5892,6992
4856,5665
3628,7692
7407,7995
5414,10373
805,637
7544,1282
7434,1353
8338,8694
12252,12020
7209,3475
8492,5893
8920,7279
5606,4945
11260,9744
3361,11450
8185,8729
8079,7358
9768,5370
6299,9200
13463,3919
9702,11540
4716,3961
7997,8910
10163,13997
6480,7199
7113,6266
8762,9311
11838,7224
7554,6777
7523,6683
5640,6214
3298,8430
7682,7906
7108,6686
4692,4986
6128,6782
6795,2643
11203,6138
908,6459
2682,1298
4303,9462
6674,6240
7998,1986
7261,6694
5687,5479
6120,6462
7301,6003
4480,1202
1513,722
7712,5828
5857,8941
11654,4422
8657,4477
10631,5238
10312,6953
7759,8232
10193,9808
14108,13959
8277,8263
3017,11078
3530,6482
10546,5180
3831,9351
3175,2147
7172,6962
6008,6728
5679,5996
6705,7433
9738,7005
3278,3857
8506,8350
9473,8857
8480,8374
9752,9447
9873,5898
4555,4895
13116,2262
12484,7290
8349,8467
6625,6353
6986,6777
7307,7826
11210,3401
2561,6353
7892,1551
6171,5059
7507,7834
4417,4023
8120,8278
6710,7154
1748,11534
5628,9121
8644,6278
7951,7707
7094,9623
4873,4987
13561,13022
10877,891
8386,786
4801,4909
2899,3511
3495,7882
5648,6217
5754,6276
6724,7009
591,1316
3452,4089
9334,13444
8811,8278
7989,3339
7160,8992
7788,7459
1523,11369
5482,6036
6389,6981
6893,6193
6933,7016
9195,8473
12051,4959
6076,6387
9200,7464
4453,2504
8993,3447
8617,7495
5783,5323
4749,9782
7525,4797
13179,4193
13470,3238
8798,7727
11317,12065
7568,7614
4865,7723
7950,8086
4312,4950
9173,8978
6892,3827
5440,8596
8894,9050
11062,10200
6071,9797
9332,6290
11954,13394
7420,7856
10021,6036
9292,7402
8511,13202
10382,10424
14044,11485
7184,3871
6024,6049
6463,6427
6494,11284
6331,7144
5139,4641
5484,6265
1643,926
7393,6879
6303,6131
8367,4922
9373,9310
5431,5882
13469,9787
7234,7126
11617,5931
7563,10940
7977,7480
2712,12957
6696,4685
1415,758
8960,8262
10127,8407
8661,7929
6628,7182
7167,6886
9181,9192
7264,7715
9015,8382
9437,9063
8503,7746
10070,6026
9405,7297
8249,8141
13019,3082
7976,6516
8738,12825
14204,10928
9052,9452
4556,6871
8120,5020
5989,5587
2048,2353
7652,2318
1712,1303
8637,8942
6877,11425
9797,6369
7497,7111
10199,4277
8066,8735
6626,4503
4574,4929
10699,13386
3077,4961
1614,7317
9166,9253
1787,2116
3491,12886
8002,6711
9102,8493
7800,7040
11902,6950
12846,10497
13761,7964
7811,790
1191,12386
12214,8811
5568,5378
14079,6743
5967,6050
12114,8943
4993,12202
7902,10050
8689,9005
10250,5579
9349,7313
5452,12412
5387,5585
5384,3473
8266,8259
7712,7490
9065,8923
8705,6606
12160,8152
6046,6426
1282,10214
6332,6774
6233,6624
1091,10191
4149,5081
4278,4965
2210,2336
3905,11335
733,5083
5646,7413
7282,7194
6139,1901
6604,6140
8849,8731
9422,6126
11918,4165
10602,11117
12174,7244
10737,931
11720,7678
10302,9768
4567,8127
10365,13927
8356,8266
4937,3851
4874,844
1262,1051
4012,11406
10318,13099
12266,7812
6345,6665
9920,13446
6842,7506
5974,6208
7198,3363
4902,5673
1729,3239
2748,2462
5117,4639
9352,3635
830,10027
4496,4410
8382,4960
2818,3170
5516,6035
1054,1074
8718,8710
4834,8672
7708,5071
8838,10673
12711,11334
10923,9961
4000,7397
8060,7536
6394,6923
4718,4699
5917,5677
8173,10115
5602,12560
7098,6603
5159,779
7549,784
6788,7474
6343,6763
4245,7424
4971,5032
