x,y
8585,8018
8628,9124
10202,4758
10243,13988
10726,11740
5184,5352
4491,9628
6807,13032
1697,11225
4700,9100
6594,6567
2881,9723
874,7292
6354,5934
1056,12236
10825,3285
5896,7008
6488,8130
12800,5478
3676,1544
5235,7609
9530,6004
14476,14071
2451,9800
10801,1904
3076,10753
8192,7921
2743,3127
6362,6508
9692,11272
6507,10125
13110,3706
8779,8821
8914,9114
10080,10708
13827,12170
1197,9294
7622,7607
1486,11392
8012,7624
6764,7152
11078,11879
4952,9990
9858,10238
1161,11539
2342,12447
1317,11730
1258,7364
8610,4149
14257,13876
3674,13468
5926,3414
10389,3256
2945,9877
6018,9122
7090,6186
1034,4310
5482,11268
5466,12753
9530,6367
4940,13468
6499,7232
5995,6893
10211,9954
13717,4110
10387,5547
9417,3309
2058,5536
5795,5234
9670,5400
7675,7991
9852,4375
2719,12932
8346,11667
8637,12830
13467,9612
14077,8618
11922,13261
6745,7897
10552,10167
11182,13110
5179,10328
12916,12802
13346,12250
5658,8785
4987,10395
7917,7248
3911,10345
10878,5533
8612,13563
10285,8267
11509,5790
8380,8586
11211,9928
7786,7320
8993,5912
8850,9749
10133,5735
9139,5778
10079,6815
11098,5648
9394,5554
11465,6740
7449,9029
6787,8470
4728,5283
7813,10258
6496,4864
9706,5449
8656,9001
8224,8050
6735,12887
5121,10148
11674,12838
13413,11853
2110,12329
990,10791
1263,10097
1023,9839
930,10645
4850,10342
5072,1724
1622,950
2844,6237
2600,11760
10040,7512
13205,4990
7691,7325
12280,6700
10044,4420
3624,12898
6942,4811
4741,8172
8607,13208
2946,11158
2963,12874
7868,10401
9400,10102
3179,7685
1272,10052
4066,4696
8698,9061
3712,3800
10049,6022
3436,11677
7900,5058
4776,5080
4908,11651
5002,5216
5944,5514
3962,4196
7830,4214
8827,5530
5818,1614
10177,4806
3464,6752
8898,5729
2759,4054
2130,1400
8468,8530
7218,8058
10772,10956
12993,13538
7758,3857
8716,3482
7316,6885
10342,5614
960,6232
1570,3561
6542,4772
5174,9503
8108,6460
7084,11638
13638,6662
7624,7654
7182,8791
11348,5979
9208,9890
10399,10172
6797,11482
13319,10529
9505,13458
11008,5538
9860,1563
9291,5827
5813,6133
806,9695
8492,7534
5579,5875
7944,1092
4772,7416
10751,2134
5176,7601
6226,2220
9879,6467
6848,7044
2594,11776
8179,7861
1350,10682
5768,5914
2493,8742
1768,5491
3466,8914
3146,7544
6628,1280
1597,10042
6274,1730
10549,5437
8086,7880
8083,7449
9360,5877
2572,8482
4825,4647
8233,6946
3184,1898
5971,3458
10293,8331
12788,2759
6392,12493
7985,4933
10674,3558
4670,8977
10012,1460
7732,7631
6560,8011
1306,10548
7940,5054
9509,8792
12114,11338
12144,11350
8384,10218
10982,4472
7903,7537
4456,11900
8016,12228
11862,7378
6965,7317
9722,7040
5014,10099
7932,6702
12400,3068
7516,6820
4428,13782
10766,10548
12096,12798
8538,12360
759,9115
1174,12038
2968,3551
7490,3169
7218,4876
2584,12546
1245,12386
1403,11648
6826,6428
12979,2875
4462,4512
6198,6226
5271,776
7170,8048
6074,10323
7485,3335
10759,5548
6149,5032
8014,8178
8244,4835
4457,12065
6882,4860
6730,7276
7556,8798
2566,11602
3060,13271
9797,5608
5139,8558
9118,8972
5620,8986
8025,6491
9837,9707
8099,10282
5603,12720
6526,6123
7092,9500
4744,7027
4910,10484
4984,12437
7647,4797
12029,7024
5918,1378
7130,2886
8130,5540
4857,902
1788,1294
1612,4014
2878,12804
781,3780
3397,9022
9504,9337
10424,5430
7990,7908
2498,12602
1218,12247
1663,10545
995,9873
1077,9965
2249,12613
11049,11488
9024,3537
6622,12584
11052,3392
5570,9060
7192,11090
8064,10579
6384,8334
8888,9302
8585,5995
8290,6562
7103,7566
12223,11848
12914,12927
4202,11700
7650,10072
7108,1632
9588,6354
2182,8358
10019,6536
5950,3946
1446,12436
3074,2158
6108,4890
9772,4908
6904,4390
6672,9188
11980,2411
1314,10923
6721,12954
9437,6149
11172,13408
12002,6920
7630,7151
10596,4738
5320,5087
2559,1499
11567,1446
7542,7969
13594,3308
9548,8903
9986,6369
8742,10049
10622,5308
5543,759
5848,13924
4814,8133
7239,7629
7671,7496
9779,10970
8375,8658
10769,10988
9940,11470
7119,12478
8229,5583
6699,9413
6459,6854
13621,2958
11688,10505
9753,9363
1796,12994
1469,6332
1386,6826
12965,2539
2686,3466
2774,3067
5534,12378
10412,8952
11945,11435
5061,6109
4634,4712
11265,10926
14135,5059
13608,6618
13898,9300
10829,10899
13464,3285
6521,8105
2839,12827
7771,7126
7387,2470
1817,9524
3888,4472
5212,5280
3360,3960
938,5233
2034,3400
6011,5939
2818,12629
2026,11652
8946,8212
10263,2864
9028,9276
9468,9690
9168,8966
11244,3962
11227,11048
12662,12395
12542,2800
8602,8783
8164,11789
10430,10140
4714,10136
10580,10510
7058,12501
4645,13964
2148,12448
8722,8162
8592,3614
5523,5148
9154,6301
4762,8688
5476,5639
3018,3116
13295,2901
12257,2291
9885,5362
1722,10638
9345,1609
8110,1506
4549,4283
3242,6792
4840,5880
7275,4809
4834,10210
1270,959
1980,2963
11889,1594
13919,4073
3703,13261
8865,8727
7210,6724
9321,882
11058,5542
9301,9827
10256,8898
8404,8390
4244,13393
4251,9435
1545,12695
6607,6323
6229,8268
6477,11453
13029,3262
13222,3402
11821,7167
6572,12814
12773,11728
3497,9584
13738,7835
6025,8647
6306,6912
7100,7402
8961,2344
4213,2299
5020,5201
8327,8388
5832,8703
7585,7452
10758,5312
6164,12473
1264,7504
8628,5046
7584,6995
3002,3292
9031,5569
11976,2250
6921,7089
13865,3891
10996,5270
10347,9876
7672,8612
8137,5628
3085,7432
866,5068
11658,3998
9375,11208
11027,4519
13129,5608
6118,11187
13678,7192
12115,11149
8163,7432
13104,12301
9890,8746
2112,12589
3721,13192
1902,11970
3458,13246
4007,9747
13487,5802
5412,12553
2622,12798
12906,2944
6944,5332
10145,3199
9872,4554
1361,701
2355,8904
3349,13527
2135,12694
7900,8450
5124,9055
1647,7962
6286,6154
2118,7572
11798,2829
4831,8127
2605,2218
2004,1974
8065,5310
12537,1464
11976,2358
10920,7658
3331,8315
10194,9962
4885,1386
10616,1448
2669,10197
11296,6851
7487,7161
7511,2879
6144,3558
1890,3956
1982,11522
1234,10374
7776,7525
10048,902
1552,9386
4834,941
1336,5721
11640,6628
10838,1528
6694,4790
8891,8321
9912,6170
2535,12974
7927,3506
7872,7574
800,4876
6645,9077
9752,4406
7646,6878
4943,5439
5916,5910
8788,1496
10515,5648
4876,9690
6164,1180
3812,4051
1500,11086
1289,11544
2482,3238
3586,1825
6648,12461
1176,11281
9512,6159
8971,9815
7619,11602
8189,7950
6856,13538
13711,7804
11535,6702
10811,11067
7688,11436
13136,7470
12934,11490
1316,3309
3525,13159
3872,10527
9471,9762
7448,8514
4314,13994
12648,12906
13204,4130
11944,1646
2565,9881
1348,6144
1599,5131
1387,4542
3444,4228
1980,1973
11122,4316
8643,5400
5436,9394
13743,8039
13748,14128
5325,13932
11476,4856
4096,12920
6196,4356
11904,7748
7023,7433
2685,11933
3711,4295
3576,4172
1729,11787
11390,5070
1018,9973
5958,6650
1583,7002
9122,9171
644,3737
5965,1177
2351,2488
6843,9188
6436,6527
5934,10510
13267,2868
3296,12902
8792,6668
13285,3025
6879,1181
9285,1417
1261,7940
4126,4541
8154,7498
2244,2816
6999,6476
1987,2201
13664,3394
7832,10869
6646,7656
10096,1348
6453,1721
6938,4888
2280,13502
2942,2412
4056,9368
6193,6164
10968,3662
3045,9073
4794,3799
7346,2664
3030,2466
1053,10099
1594,2098
2283,9698
11109,6855
9474,5654
6109,1969
4206,9863
1042,8056
8600,3921
3518,13402
10031,6583
9825,11096
9934,5685
4807,9467
8021,13667
12312,12010
6701,6565
9230,9233
9520,2391
3489,13456
2214,7390
4464,1537
3913,10139
4563,10129
9967,4579
2017,869
3732,13600
8606,4357
2346,9358
5932,8421
11876,11394
11870,6736
8434,7579
13448,10185
10182,4980
1074,11625
12963,2340
2724,7588
5967,2089
2807,3285
5199,5852
11798,3246
2470,7508
7920,1812
10248,4999
4548,1554
3708,13166
5902,4932
1660,7676
4219,13567
4524,13598
7024,13812
6880,6963
1446,4808
5497,13765
1916,9696
8332,7733
7730,8222
7858,7754
6219,4793
5067,3903
6131,9090
5167,5650
2254,7421
2736,6658
6046,6970
13298,13692
8707,2339
3292,11521
5663,1256
6454,6914
1985,11951
9716,5691
9728,5248
11888,12839
9352,5639
1249,10207
12706,5063
10095,1027
6680,3074
10816,4558
5658,6090
4725,10077
1464,11189
1787,10027
3944,13958
2840,12814
2258,12018
3055,13266
7328,842
11358,3230
7177,7734
860,1322
6972,5339
10309,4987
10516,10653
13150,7622
5359,13672
8992,7774
4076,12200
1384,6486
3601,3483
4922,9266
3004,8024
7032,4814
620,4060
3566,2939
1140,2443
3506,11397
8121,5183
2923,7320
2703,6211
13142,6735
6161,6057
5208,9299
11735,2091
12201,2011
4625,1117
4794,6354
6141,4959
3108,3762
3907,4386
1874,2208
5705,6041
12730,2543
10214,4902
6898,11382
4899,10147
12192,7430
12496,2128
11982,10584
9633,13317
7829,5840
7247,6512
13592,4226
7096,12454
4774,1178
4712,6653
1350,7242
4813,4652
4658,4628
2730,6922
6172,3436
2713,5045
12024,2030
11324,5239
14079,5659
11438,4628
12256,12001
8559,8736
13550,7396
11354,8652
9718,8992
13396,10660
5446,9358
3999,12878
3364,10499
8254,7294
11027,7646
10653,4931
8363,8234
10158,7430
13269,3371
6968,7384
4487,12078
13512,5948
3096,11500
7094,883
2554,2898
5093,1042
4044,13967
3834,13358
4322,13617
3035,13285
3144,13281
1933,13179
8926,7444
4206,9897
3223,10775
13652,5942
10042,8694
12614,12903
10686,10288
8628,7863
7279,6286
11110,13366
13548,13672
5786,8770
6614,6414
4858,10264
8016,11784
10487,10077
8056,11783
5860,11364
12789,10879
1667,12103
6458,6330
9369,960
1431,5794
1174,6532
3972,4576
1605,3466
7068,13850
11524,7676
6811,7040
11106,8364
13378,3428
9894,3330
13562,7568
4202,10006
2936,11310
4737,13537
2337,12747
4181,13655
1720,11550
2563,13442
7687,13545
5397,7676
10538,10438
3290,7149
6379,3342
9600,5582
8596,2600
4881,13524
11481,11184
12682,13981
8912,5644
13258,10558
6039,1074
6008,5112
3479,818
9700,9257
7454,7087
4648,13731
6307,10133
8092,4880
8640,11982
1170,7613
1662,6992
1270,5025
1896,2586
7185,7381
10288,9676
13663,14112
2469,12893
11928,7480
6826,5282
10438,1173
5855,6126
5722,3765
2611,5747
9555,3375
2451,2036
8620,4009
11656,3302
2715,9807
9036,7470
1924,1339
936,6825
10717,1989
3047,9262
1415,9680
4248,4538
7621,2389
6408,2418
10165,5278
10311,8553
3741,4293
5106,4678
12168,11095
6172,9834
13108,3596
12713,7244
11638,7089
7203,14020
2619,12951
3344,13766
6922,13634
2450,13512
1561,11123
13116,7565
2496,12177
11407,8290
13982,5981
7000,12753
12030,12470
13011,3698
9728,10288
13910,13930
7038,11320
12346,3202
8758,8508
9703,6407
3711,9540
9989,2632
11564,5660
13812,4866
11458,1261
11941,2844
6063,8258
11650,6886
5848,13214
6586,13186
8199,12335
12162,12676
4852,13873
3192,10644
6278,8569
4718,5348
12100,8977
8364,7716
5960,5710
5623,5219
11504,6518
7816,7836
11807,7029
7610,1211
1152,6408
2974,3009
2504,13457
1453,10473
1260,10152
1311,11116
1444,9518
4741,10714
1684,6572
4891,5989
12908,3520
2988,12638
6468,5981
1303,5038
5120,2944
11113,1008
7474,7135
5160,5436
6039,5049
6102,9462
7985,6344
10646,4562
12899,3429
5809,8759
5571,9046
1169,11369
7095,3658
8883,3767
1701,6843
2361,12449
4702,3772
3047,7903
2851,3214
2419,8644
2252,1732
4567,11671
3641,10380
6029,5947
924,10854
1497,8222
5411,5132
2302,2758
3759,2970
7168,11070
4878,9234
7610,3354
2678,7626
6958,11303
7042,13264
3006,1734
14101,4611
7478,7674
11523,1053
7066,6894
862,9406
11620,7738
3564,13404
11410,5886
10439,5013
12618,6172
9884,7374
10038,7964
9151,7562
7392,11504
13256,12750
1250,12050
2261,12877
1940,13239
4495,13516
7796,13520
8026,13622
10938,8545
8673,11671
12882,13076
807,10352
7240,7635
5134,13272
11248,7003
12670,5458
6394,6363
9341,9458
13021,5228
10932,7048
11152,10128
7784,8419
10480,10305
7191,7331
10334,10299
6473,6564
12383,12220
7268,9731
13445,3631
11759,7176
7332,11624
10878,3464
6295,6313
8084,5216
11660,5602
1413,10696
5060,5075
3976,3658
10630,5148
10742,1736
9217,7442
13048,10776
2980,13166
1372,11866
1158,11552
5163,5732
2152,12530
12173,2491
5924,12444
8564,5662
4311,10070
7467,7601
6548,8273
1311,866
918,7279
6294,5960
5334,4830
5118,5912
7999,8047
7872,7042
8662,6146
4582,4973
13811,6731
13075,2739
3532,10728
1953,11739
880,10827
7109,4794
10496,13967
12403,13496
8758,10642
9618,3312
11689,1925
10800,1476
8761,9657
2216,3046
7486,6023
5768,10680
12078,7261
12530,6275
6122,12362
13848,5172
11520,7213
1582,10162
8641,10000
6278,8153
11444,7200
10790,5244
6276,9556
11372,1585
3463,8566
10099,8208
8138,8202
11980,4896
13540,3768
5688,6412
9821,992
6148,9216
7356,8736
7652,7070
4637,6206
12436,2661
2266,2139
7428,7320
14025,5024
9506,8734
7917,7922
6835,1334
2392,12886
5093,8674
4126,2249
7555,3238
3342,2012
1739,5086
11156,1660
13663,4511
6215,9223
7264,6888
3627,6138
8809,8662
12334,13819
10552,2691
6652,13975
9808,4270
5439,9253
10040,5120
5448,8786
4553,10301
4804,9672
10363,2884
8369,10165
8127,10065
6475,9330
7510,8837
10822,11206
11499,6047
6845,9233
4430,5036
12397,5116
5282,8905
4994,4956
13058,7444
858,4202
1578,4604
2550,5049
9152,1588
3748,12849
9968,1381
9950,9437
8118,8356
13616,13083
10660,2646
1330,12430
9497,6218
2292,8920
6630,8336
1277,7066
5174,4708
2636,7600
6633,7844
2661,5263
4006,9731
810,3199
1587,10932
3767,13270
3652,13404
4060,13094
2375,13191
3220,13056
4337,13421
4034,13618
5158,13236
8163,13197
6850,6774
5977,12389
8108,11738
6536,7172
11776,1093
12994,12290
8458,8338
3677,10668
9723,9460
8277,5336
11267,1394
5882,7080
11608,6693
5656,5809
10021,1079
6970,13429
6678,13270
7018,11615
7422,13764
6949,7059
5724,13156
11215,1672
9040,9012
6875,13211
13472,8156
10875,13434
7601,13576
6760,7728
4078,4053
7062,7218
4822,6144
11118,10957
13459,7560
1119,11473
5280,5208
7093,12556
11272,10154
11892,1999
5293,6127
1446,3113
5025,13250
4051,12861
8083,6869
8660,5864
7122,6564
2956,1201
12480,1374
9856,3404
2592,12113
11950,5069
1623,11924
6738,7261
11181,6773
11008,979
8610,5258
6559,2596
5032,5024
7295,7194
6808,5220
7856,5131
1297,12309
3333,5085
2037,7602
13589,2834
1818,5197
977,2162
3436,7987
4319,9461
8767,6263
7059,6901
7811,8559
6774,6627
6495,3130
9841,1074
2687,3359
2396,2294
4802,5362
4496,4870
3752,13165
3103,11151
6331,6948
3150,13446
5908,5446
2488,8656
12668,11888
10320,7986
10842,1447
9299,11383
7296,7038
8563,4947
7652,7368
1524,6382
1276,6074
8858,9045
1717,1324
3202,8206
4509,13432
5890,5232
4952,3796
4739,7736
6881,12532
10143,4553
3827,12728
12154,12083
8692,4452
5849,13219
7882,822
6040,4382
1170,2519
6525,4874
6410,8605
9582,1139
4618,11961
4762,4977
6120,4864
5560,13755
4129,4561
5899,12807
6652,1026
3853,776
1696,6989
4564,2985
11181,3446
13896,4914
8564,5376
7268,6582
2800,2119
5243,8825
8576,13740
2278,5430
3010,7273
1202,11436
7699,10073
8870,3777
4967,761
5532,3450
6657,6206
9873,9351
11649,3761
3324,2852
4446,13707
3028,13010
1116,7528
9923,6926
13202,3355
8512,8209
7684,7366
9184,9332
7646,8354
1047,7308
1604,5539
1014,1672
9851,4721
4282,10034
4706,9134
10836,9908
13720,10006
13530,10258
10202,13824
3007,11658
8685,6063
13570,4652
6771,13181
10687,10343
13191,11138
12845,12116
11887,1353
8615,6389
4061,13529
8734,7573
5895,5668
12452,1392
1262,10598
10013,4471
9365,8664
3733,10413
8464,10419
11870,7230
7339,13623
10070,10673
7515,12498
2677,13156
7947,5068
11996,10088
6279,5079
6258,4498
1590,8552
2883,5167
6699,4469
9828,4518
7745,8528
10763,13172
11937,13261
3780,9660
8571,8417
6333,9087
4115,9807
10683,11022
7657,8406
11220,10671
10380,14188
12241,8698
12972,11252
13593,4933
2386,8298
3517,6255
8031,1440
3548,6440
7050,4265
4082,9652
1499,8061
1777,2111
10843,9854
6758,7566
12902,12074
4144,12054
8283,6834
4564,12668
10864,5096
3063,12680
7841,1696
10966,1194
1256,10570
11811,1371
8412,6672
6093,3901
8185,1787
4423,9644
8328,4826
2368,2194
5036,9386
7642,3834
2638,6888
2605,12865
3904,13813
3588,13558
6970,6523
13446,4542
8810,8722
4642,10059
13764,11518
12794,11655
12974,5284
4326,13693
13203,2266
9913,9675
12400,12184
10045,8943
8451,8845
12732,13704
3524,7856
11810,1900
6016,4986
2969,7514
4528,4857
2798,6792
2550,8285
7115,11457
3641,9175
3602,8271
8089,11954
4163,12377
7911,5178
6713,6677
6360,6669
3488,10643
6097,9352
12751,5308
10985,3452
4858,7697
4021,9373
9920,9506
11907,7675
7735,4136
8344,8052
7674,900
7712,6729
6936,9606
4697,6486
10850,5513
10752,11556
8979,11348
11072,3310
10616,12268
13578,10350
4920,9752
12898,13566
7174,5069
7306,7064
10382,4796
1518,11740
9564,2505
4216,9828
4639,5209
8666,1303
1009,11303
11557,1981
6367,8557
7604,5228
7960,13801
8652,5248
6352,4828
2714,9983
5117,921
8687,4970
8478,1524
7092,6458
3188,1446
2955,840
3279,1366
11904,6940
5244,9206
13840,3492
3597,9999
4774,4561
7953,10036
11591,7044
11402,5052
9427,5775
11343,1836
3816,7344
5420,9055
5532,5006
5065,7759
6419,8747
4648,9894
8545,5555
11856,2220
13467,4442
4968,3915
932,10875
2962,11188
4074,9691
1689,3014
971,4911
6849,5266
13824,7198
13420,6754
13924,6062
12819,11082
11709,13264
3478,13074
2738,12942
4248,13551
4652,10169
878,7805
7860,8019
1381,3456
5934,9344
1349,3858
4087,9394
1022,9929
1305,11516
2411,12487
1061,10795
1153,10768
828,7649
9102,11266
13399,9437
12482,12018
4837,8084
10379,10990
8090,3506
4846,1580
9634,10194
9408,5832
6900,7566
7478,7646
11536,4466
1949,12153
5647,5082
6294,7021
9383,8757
5103,5364
1483,3939
3186,3801
6524,9871
5825,5677
3996,13909
8091,8706
10060,9326
4406,12216
6311,9319
8008,7762
8912,8646
9621,7158
1188,7170
2402,12424
1843,12375
1345,10410
1226,10442
2262,11886
7486,6976
1565,11014
2731,7339
925,3699
2158,3403
952,10144
11168,1056
8829,8400
4548,12600
9526,5572
7023,11234
11546,7120
9452,9978
7338,9972
4902,9168
12136,10703
9163,5924
6894,8201
10250,4728
7340,6891
4725,4690
11674,7045
8200,1212
13755,8419
11203,5929
5420,10647
13388,12532
13650,3066
11087,5518
5252,5406
4558,5930
13483,3720
12281,2818
6187,10329
12581,10442
4518,10142
12212,10865
8458,5756
10368,4750
6751,6849
9689,9189
9312,6112
9128,1142
4633,5247
6331,9163
4239,12672
2997,11298
7223,3124
8634,4829
6389,5982
2820,1982
7624,7617
12413,2027
6675,6654
9089,5593
7783,7564
7848,5380
7111,6973
8648,5920
1644,4970
6223,10287
6254,9389
7264,8639
10145,1071
12974,2478
5465,13727
6184,10628
7360,9857
10018,13436
13645,8800
14022,12068
10039,4342
7264,9814
10433,2798
11687,3428
12037,7288
6492,8328
7862,7397
7722,11006
12211,12771
8016,10624
8366,6292
5814,6064
12098,1825
4061,13228
12422,1592
7643,2313
8688,2322
7897,11891
1664,8076
6872,1317
9654,13317
5071,5350
1385,12502
2007,11876
5481,13157
4064,13414
3269,10442
6810,6360
12880,13544
8468,10210
8544,8170
9788,11690
10094,8408
5947,13885
6050,8502
10464,4776
8645,7794
9728,10257
6678,13666
9886,8917
10632,5042
13110,12335
7495,10167
11268,7848
12621,7318
10676,11456
822,10394
2519,13469
3074,13202
3337,13966
2495,12651
3347,8482
7219,11300
7105,13974
11028,5046
10085,6362
6525,12654
7900,12044
7180,10134
4290,6041
8230,8060
11016,3744
9882,6366
7245,7126
6991,6568
3401,10961
8494,7908
9004,11424
10017,9998
10144,6900
7517,6927
5640,8629
10930,4492
4253,12501
12101,7448
9466,7310
13229,7500
13387,8061
7975,3455
10881,1865
7470,7181
7410,7244
8204,2585
3931,662
7556,8104
8694,8361
10068,10673
11248,3305
8060,7825
13596,8837
11594,7748
12064,2084
9570,4440
7454,6131
10862,4401
2394,12451
12111,2261
9302,1468
3262,13032
9074,5420
4512,10616
8778,8160
8412,981
13191,12513
4141,12930
4086,13354
13466,6550
9352,7317
