x,y
6082,13541
10783,1259
7984,8446
5193,13298
4202,13300
10740,5550
10242,8642
9562,9764
9739,13615
1660,11440
6616,6536
916,7245
5344,5457
10234,860
1320,12206
8698,8766
6469,8383
5400,5310
3656,1556
11372,9814
13922,13411
1169,7525
8774,5552
8020,7666
1761,11535
13263,2346
2080,13184
1293,12130
6496,7175
4222,3571
3028,2992
8009,8200
7524,7909
11434,6767
2387,13122
7996,7860
7968,7498
8704,8114
8874,9206
1898,12414
1225,11349
800,8835
1564,12176
1259,9406
1212,11455
2962,12433
2698,12124
1408,10204
9543,10132
13596,4612
8236,8822
8471,8908
8326,8407
8161,8819
8675,1060
4090,3553
1305,537
1464,586
6870,7296
7540,8344
1646,9953
3204,12792
13360,3744
7171,3436
9046,6440
4702,13551
2518,7620
6775,6360
6775,7260
10411,5573
2321,8719
1206,11200
2189,12533
12131,7905
14096,11870
13512,9062
14342,14620
3876,13631
7286,7034
8073,7446
11549,10807
5588,8681
2703,2857
5238,10434
3852,11302
5057,8970
12161,1227
12155,2334
8370,6365
9422,9244
6929,6765
9884,8865
13684,6984
7645,8052
7080,6320
9753,7288
5250,9263
7338,6094
8094,5481
8222,5638
4702,4617
4849,4185
10137,7054
10091,5998
10433,5570
11177,4988
1928,12494
3674,12806
3159,13008
2210,11990
7434,11014
8366,7891
7639,8454
8055,8580
5807,5101
10246,8069
9148,10980
8230,8142
9871,4477
8036,10090
10407,10858
7009,7740
8541,8274
6873,12506
8374,12244
11583,12843
13519,12996
5246,10740
6037,6746
2611,12843
6171,6109
8016,1423
2428,12588
3806,10746
3797,10862
1316,10140
8522,4844
10376,5497
3070,13645
12608,2319
14027,4933
7624,7722
6235,6623
3246,13356
4229,13220
3859,6504
3774,6458
3229,6942
6661,7148
9908,4918
8811,5678
8447,5775
7089,4785
8894,9442
7324,7598
8134,11970
12184,9095
10608,10816
12478,13817
1398,12467
2449,9823
2507,10107
2006,10143
7365,3833
6368,6102
6854,6821
10456,5600
1634,3462
9306,6026
2018,12254
12775,1781
4677,13628
9277,9564
10032,9607
8701,10072
13516,12832
8238,8631
5871,9158
7394,7060
7772,769
7754,1049
11741,3184
11742,3009
10782,5384
13629,4078
2390,13012
1945,11973
8665,10851
10627,1770
8875,8160
8524,4820
3263,3746
7748,2466
3828,851
4251,1643
6696,6922
9611,11904
3379,9040
1391,11427
3573,9516
8067,1194
13804,7396
3218,9378
3787,10427
3514,10941
4730,4795
4934,4962
4993,1327
5875,1469
6411,4632
9938,6524
3668,2636
13696,3189
8856,8064
1298,10419
5097,8918
6315,1387
2793,12360
5960,5934
3560,13363
6181,6422
7915,6935
5307,5384
8209,6517
8812,8596
8299,8521
10566,8908
6386,12596
12148,2762
7310,7435
8275,8280
6980,9360
7076,12490
9889,4302
11375,6470
11341,5772
11249,4549
11270,11618
13212,12698
14111,13139
8035,12163
8699,12422
7482,3641
4735,8917
1606,10554
766,9269
6756,8339
10344,912
13652,2905
6072,13335
6084,9291
5316,9230
8044,5135
10006,5047
3088,1540
832,2496
894,1881
3726,9387
1697,11659
4121,11595
1626,11496
3745,13584
8707,5918
8845,6084
7113,7892
13456,4775
3775,13778
6244,11156
6990,10135
6521,9960
7657,13498
7668,13400
11102,4106
11142,3935
13758,6524
1304,12176
7805,7459
4649,13809
2301,12319
9893,8142
3811,13181
9804,1536
7480,8409
7200,8630
9761,3388
10528,3130
7512,8506
9874,6072
5026,10166
7500,7800
6290,8707
1740,12986
2282,13347
12111,2870
13733,5627
3772,12575
7330,6660
13897,5908
2922,12802
11065,1990
11768,1707
3103,13488
3772,12806
6742,8076
6567,8557
5002,5764
8018,5896
13620,3042
7053,4465
7485,2339
3000,1661
2950,3226
7834,8325
975,11164
1028,11200
7807,7171
6662,7187
5683,8575
989,10833
2499,7626
5812,9134
6839,9541
1262,11521
11028,5464
8660,6132
7524,7172
6268,6133
7278,3162
7226,3846
4722,9216
3628,9334
5470,5313
4183,4383
4799,4018
3645,13168
1603,11510
2618,12691
13428,3065
6855,7494
6830,12606
14093,4724
2864,1576
6181,7205
2421,7268
5308,896
4418,4946
8054,3518
7668,3643
10264,3220
7013,8099
5470,1122
7004,6793
11057,7186
7559,3053
7517,8493
9920,4434
10059,5150
12429,5115
1647,10119
3940,11432
11859,11591
9849,11219
7992,6564
7903,7946
12911,12320
12522,2946
6416,9547
7760,6817
7123,9412
14018,12541
10571,10407
10381,10907
6499,6545
6550,6474
8333,4894
8645,5475
9616,2428
6111,1741
9009,7522
2859,3365
8527,5837
7095,3701
7765,4736
4327,1832
5837,9256
6740,2582
1496,2419
1128,10457
2984,11274
11015,1137
3977,7261
4816,6149
8382,6938
5586,5172
5729,13595
1047,5300
1175,4951
3180,8767
10147,9558
1089,9996
5812,6252
7230,10078
7057,4059
8746,3572
7304,13439
11912,5146
9420,2403
9800,9384
13585,4666
14093,4578
9538,10080
9975,6310
4310,13591
12395,13051
12178,1518
11865,3136
11815,1539
8118,837
4616,5183
1903,12257
2811,13571
7122,7756
1977,13093
9662,13504
7328,13328
9270,6300
9866,4416
7597,8459
12403,2824
11809,1637
10906,1172
10908,4600
4890,9110
9505,1331
8258,1546
9928,5360
8046,5474
7010,6391
1797,7521
5260,9078
1888,1356
4090,12979
3323,13483
13923,3947
6649,13645
8410,8512
4391,13734
9288,8746
9192,7512
10668,8782
7146,6454
4910,5840
4806,5927
4592,6258
9272,13473
9055,13292
9380,13338
14118,5668
13267,5012
13309,4649
10056,8888
10107,9570
2936,12754
2895,13023
2236,12778
1273,10742
7257,8758
2456,12678
2145,12551
1535,10263
3900,10545
1031,4952
1341,6352
3633,4950
6679,4478
8070,5007
2666,7316
1560,9267
2864,2870
1608,2086
957,4189
1840,3093
1358,6774
11383,4050
2847,3467
2134,2128
13414,5180
5591,12416
5680,5498
11364,6280
2276,13476
7183,7325
8098,7312
11692,6876
13926,7394
10300,8020
7183,6243
3515,10193
12380,11871
10548,9966
10935,10593
12096,11304
1765,8007
8066,7063
14122,5008
6418,8384
12231,1630
10681,10109
9879,9162
8930,6539
10276,8078
13589,6831
2903,12534
1254,7100
7320,2639
6779,7195
7522,6744
3475,12928
3646,4214
4403,4746
5449,5078
5132,6110
4005,3266
2336,7536
1898,5398
998,4585
3776,3286
8451,6464
13176,13666
12568,11008
12520,12254
8392,6534
13085,2377
3537,13847
6400,11417
1645,11683
3798,6520
9947,1335
7338,4856
11386,1860
944,483
5619,12862
5425,12744
5150,13758
12087,7267
8548,8630
1716,11834
1852,12669
12788,2036
3117,12894
6310,8946
6497,6144
1586,7988
1374,11179
6218,7137
11493,1014
12440,1960
1772,11368
3661,3108
3058,3662
4909,1570
13412,3058
12940,3202
4463,11854
3205,4074
4736,8096
5124,8565
3707,13524
3810,13803
2706,6464
6613,4678
7590,7820
7500,7091
3894,13818
9868,2955
6757,6524
6405,11412
7904,6792
13070,7556
12045,9105
12458,12734
12277,13006
11338,11814
11556,12008
12304,7972
3095,13660
6491,11666
7589,7208
1466,10352
1238,11726
7750,8446
9334,8640
9690,8806
9441,8819
3660,8781
3632,9225
982,4214
11117,1737
10347,1067
2046,11894
4137,13719
8772,5704
11633,4040
8474,7998
9104,7553
12250,11305
7967,7376
6718,7208
8529,8224
8162,7432
9300,8653
12120,11538
1676,12626
1680,11551
2145,11758
3327,12864
4957,13944
9298,1566
9570,4078
14054,4480
10817,1934
6388,12305
14090,7409
13600,9202
3140,13733
6227,6299
13602,3782
3514,3684
2236,3739
1520,2321
1190,11509
11200,5756
11147,4874
3437,13262
2529,7600
2738,7617
8300,1054
1886,2607
7594,8063
6706,6672
7574,7374
6364,6314
6179,6271
8378,11676
8144,11998
1943,1822
8572,4658
2415,9453
2975,11295
3059,9875
9993,5436
11124,12430
7186,7413
1273,6099
1031,5383
1334,4228
1682,10041
3680,9878
1456,11566
5982,6028
7769,5355
6828,6750
7043,13586
5556,12811
4162,4084
3752,3403
2047,12139
13388,3845
8766,9126
4006,4644
8200,7512
4277,5071
8668,5662
4813,9682
2022,12524
1332,10860
1330,10822
1045,11480
3587,8631
3459,3996
2389,1905
11122,5074
1192,10696
7359,12575
6960,12508
11413,5619
10100,10430
11676,7254
13376,11818
13088,9545
9861,9765
4222,11629
1540,3453
8715,5400
8069,5803
3951,3654
1355,1077
4287,13538
4260,13548
4170,12196
3125,11573
9513,9998
4604,13706
6824,9528
6899,13175
8385,6369
9958,6776
2467,12767
3147,12921
5888,13850
6592,13872
7090,13547
12220,13180
13097,3493
12570,2270
10614,1132
12658,6375
5949,6011
5470,5432
5485,4970
1326,6730
5230,9562
2336,3780
4085,10119
1826,2407
1161,1932
2304,1850
5891,8973
7882,7435
13243,10236
9689,13702
4737,14064
3753,13704
4576,13480
3130,13524
10972,13384
11598,3960
4334,12250
9567,6323
9459,8732
6864,7496
11644,3075
9802,6073
1324,10312
10080,5889
5081,13173
7868,7162
7456,6056
8183,8479
3112,7534
5136,2147
6739,9515
8667,7765
11564,4529
12350,4937
8631,7961
10992,1130
13404,3332
4360,4864
8041,10167
1150,12290
1113,11912
1312,12572
9548,8831
4156,11934
7849,7802
8306,7858
13530,2856
4810,9462
1838,12957
9157,8472
2008,11676
9164,9644
13999,4447
7722,1472
7582,7312
13459,3335
2502,5500
6244,4950
4432,4053
6699,993
12686,6153
13324,4981
740,8089
1062,7896
8645,12743
4400,13798
6933,7508
12404,11938
11644,11284
11769,11339
11489,1570
1218,10885
9195,8620
9475,5924
11180,1489
11168,1270
4050,9979
4798,10252
8557,7839
13322,3443
9974,3308
11911,11418
7878,7427
10348,12344
9162,11412
6176,10642
783,10521
3390,8335
7635,8353
1828,7628
500,3346
9455,1905
7506,1498
7636,5149
5087,1227
8476,10414
3072,12710
3466,13155
6860,13848
6080,6364
6553,6160
5170,6000
4562,4664
8131,4910
6060,5002
10599,4787
5041,7047
3013,7117
1452,4878
6042,5954
1597,2328
11168,5093
