x,y
13292,4308
13497,3653
13429,5673
13873,4821
12240,4687
10443,13232
11402,8348
8819,8998
10234,6866
12219,11837
10625,10373
12310,12197
12775,12913
990,9829
7234,6714
4998,13627
8564,12798
8043,10110
6847,7217
8066,7142
6827,7143
7025,7207
6234,6510
5346,5425
5312,5691
6787,6634
8581,8588
4507,10348
5287,5670
1159,10990
2879,12781
3540,13538
2144,13143
12551,5137
9460,1934
6360,6302
12721,2504
4996,4498
1108,4930
13050,3919
12011,7234
13870,9055
6248,9736
10601,5720
1606,12908
4247,12236
1764,11743
1380,10410
7326,2961
3779,1481
7500,4910
7582,7231
7282,7208
10686,11178
7361,7549
10780,3359
13600,9542
8066,10120
4579,11584
6444,11244
3916,13782
3858,12496
1823,11633
8391,8151
3034,2964
2088,9534
7012,7123
7290,7504
4894,7914
8444,8666
6775,5207
6059,5101
5398,5802
6402,4750
2164,9006
821,3497
2635,7114
10701,10987
1280,11098
2113,11827
3755,13285
5635,8814
7813,7256
5636,13778
1165,10306
1444,11050
6080,6232
9544,3506
5151,4990
3719,3279
7680,1050
8570,1626
11890,1587
10255,8194
8357,1570
7810,7426
7791,7783
12730,2520
12206,2100
13078,2242
12229,5014
13048,7010
13451,9685
3277,13399
3460,12993
2005,11957
6981,13400
7811,7732
9194,11315
13365,8564
1360,11853
3924,12822
1982,12090
1934,11698
7638,5093
9437,5653
1616,5381
8424,3724
2321,8719
1631,5178
1797,3904
7083,7441
6806,7362
10140,11009
10764,10568
14096,11870
14342,14620
8360,7920
7371,7684
5802,5846
5601,5925
8963,7680
1437,8354
6144,6937
6795,1226
3125,8022
5047,3444
5997,1050
1642,2511
2231,12226
2599,13540
8478,809
4504,7108
3437,7824
1380,2442
7331,7945
8036,8069
7056,7873
8583,12347
12330,11695
11491,1714
7588,7194
10197,9655
4581,5012
5393,5988
7691,11436
8508,11734
7587,8165
6354,6725
7515,7722
5886,5754
3712,4125
8460,7836
8152,3446
7390,4868
5158,5193
7750,8555
7855,7275
4223,9395
7942,5694
8956,11328
7660,1658
9014,8854
3354,3848
7278,1400
6844,6869
5623,5485
6765,4858
5057,5180
2562,1572
12905,2633
8258,8423
9724,9820
9047,8358
8246,7458
12248,12889
7046,9787
9800,11749
11642,4326
5883,8608
6161,8203
11236,4470
10620,10360
6854,6976
6543,6140
6158,6769
7632,13722
10717,11614
5298,5076
9438,13306
6948,11513
10560,12514
3573,7174
6246,6561
4688,10228
5249,3391
8643,4286
904,3649
7887,7382
7623,2771
2780,2486
3528,11112
5208,13360
7368,11374
7546,12044
6456,11310
13504,12063
12823,13856
2231,12326
2176,12565
4239,13678
12447,6611
2058,12301
7827,1376
7119,6310
5174,11458
12666,11580
1414,11576
3647,13024
12783,3137
6596,6237
13542,6012
6079,5675
4393,3931
7029,9851
950,6689
6888,6918
12476,2212
13464,3660
8382,6875
6998,6191
8486,6253
13773,10720
7545,7345
7569,6927
7137,7892
5754,13805
7814,5634
6631,7605
10116,6804
1411,10358
6294,6635
6064,5768
9725,6180
6964,12793
4127,12745
6551,9177
7403,12552
8783,8082
7805,10223
12596,7410
3407,13058
11799,2952
7279,6425
9854,10028
10236,7653
6757,6693
5119,6124
8084,5304
7516,7871
9971,9630
9739,1690
3088,1594
3974,5082
9102,8374
7352,7091
6106,6565
4537,10109
7343,11713
9772,12886
1398,12467
2507,10107
7365,3833
1570,8291
6831,4376
6368,6102
4055,4696
1634,3462
3302,13541
6571,7172
5736,6222
7658,7926
8481,8303
8804,8068
5386,5484
9579,9239
9292,5989
9799,9791
9846,6002
6803,13463
4932,4461
8367,7712
7924,7144
6276,7224
6889,7134
7813,7235
6400,3380
9174,5914
8453,7637
8300,13452
1538,7675
3852,9908
8085,7247
7511,7220
8082,4930
5366,6128
9262,5981
12442,2974
11131,5554
13369,12674
2128,12233
3149,11650
9214,11337
12099,12494
4167,12167
2274,12360
4725,4849
4090,1064
3515,7272
5772,6268
6200,4668
6859,7144
7848,7464
9619,9747
6289,6419
9964,6649
6397,6452
5891,1298
7768,7606
7048,7235
3239,10762
13439,3699
7771,5704
9972,4650
13702,3945
6462,6562
13889,10276
4067,2042
5984,8294
6174,6386
7256,7428
1152,6622
5981,6723
5732,4974
12930,5093
7289,7735
6909,7187
8526,8011
6939,7552
10556,10533
6629,8345
2273,12943
2461,12305
2440,12576
3536,13372
2997,13016
1731,11048
11757,11000
1284,12322
7282,9046
4382,7294
11742,12326
14070,7630
4667,7114
10407,1598
7406,7258
12761,7334
8300,10296
10522,4700
4961,9588
7112,6978
12256,7267
13532,9392
3169,1667
2234,11718
3862,13516
5654,1330
6929,7055
7070,7089
4773,8621
2751,5325
3834,5042
6774,6571
5785,7495
6066,6921
1298,10419
2793,12360
3560,13363
8076,7591
7915,6935
4538,4466
8440,7977
8209,6517
3724,5066
4846,6164
9256,9074
1328,10694
2998,11769
3285,7365
8424,3548
6599,6556
5150,1427
1170,4919
6182,6593
7831,7568
8718,8794
9543,4227
10298,10545
13424,6696
8104,13652
8626,5569
2141,2450
9234,1274
1617,11025
2531,13211
1206,8596
1482,7787
1412,11870
8215,1324
9235,9398
3122,3833
1464,1102
3786,3721
9663,9649
6981,6827
6536,6626
5001,6077
8360,8390
7168,7493
6671,6370
8227,7196
13562,7916
8908,9769
11856,11136
12530,12198
11594,11318
6151,6046
6890,6529
13470,3336
11536,3085
6604,7004
8997,2253
5379,1593
1191,7905
1398,10526
7431,1488
7576,7960
8880,9040
6792,6635
13538,4742
6315,8258
7232,7402
8521,8269
7478,7475
6631,7579
8326,7004
7628,7998
10618,10545
9828,7294
11353,10643
7784,7820
9307,5743
2516,3862
1542,2672
4214,13562
2656,12529
3095,9698
3727,9139
3322,13340
3629,8993
11825,11075
13318,10497
13545,12688
10550,10238
1943,12727
8000,8709
11100,10703
11736,11101
8186,7996
11913,1350
3990,6091
6120,1407
5187,3783
1647,11338
10768,1539
6668,9949
13032,11713
7904,6690
7117,7888
10351,13480
7802,8019
6568,6964
13302,4904
8471,8699
12116,6492
11056,10762
9758,9468
7491,6932
8689,5200
6927,8286
4840,8080
1204,7898
13182,9649
4164,12736
2459,12684
2485,12705
10053,10292
1413,11676
1774,12908
3654,13612
6928,6772
6932,13560
6153,12664
6254,12271
11341,5772
13212,12698
2197,12360
1402,10956
3142,13260
3076,12672
1244,12068
2331,12701
7976,758
10835,4559
12328,10780
5073,13593
1551,9867
1574,11625
2266,12532
4562,12564
2304,12096
6333,12431
8259,10251
7308,7243
8218,8286
3496,7806
5265,5562
7148,7681
13618,13062
6629,6576
6036,6396
6786,6665
7860,4836
6416,6279
7109,4805
8517,8055
6658,6795
6276,6020
4108,4960
802,10308
1030,2716
3062,3006
7740,3504
5275,3697
2879,798
9181,6135
7688,7641
10028,8944
9114,13554
6697,6436
2664,2663
8511,8304
8194,8705
12638,3034
14001,7865
7682,10036
12725,10567
11255,11524
12762,13512
6551,6400
6568,8108
2937,9605
6519,970
1956,11683
1256,10113
11808,1971
10167,833
13442,3627
12578,2754
8431,8367
8826,9367
10801,4981
8672,8941
11400,11202
12140,13813
7885,7554
10852,10277
6141,6073
6937,7206
11017,5553
5801,6241
2506,13459
3522,7309
3798,4086
7782,7584
7473,7840
6122,9495
5600,8959
7041,6960
2684,10042
6351,6050
5219,9182
4065,728
2996,2816
4397,1743
1260,5677
7406,7436
3236,1964
1614,11288
1840,12495
4959,14055
1830,11223
4502,13728
1648,8553
11145,1740
1266,11192
3634,1405
1186,11194
7035,7624
8053,7925
10796,5618
8750,6444
9796,9438
7748,7588
9276,5968
8044,6710
8312,13193
5462,5762
3952,1728
4752,8840
3029,2869
9406,9039
7305,7088
7962,11123
7096,7082
8798,12659
6099,13204
3421,11851
10058,9724
3722,3628
10538,10485
3558,8985
10968,10374
10647,9846
5194,4818
9574,9520
8102,5554
3645,13168
1603,11510
2618,12691
4941,8349
6855,7494
6830,12606
2864,1576
2421,7268
4142,4242
2396,683
5470,1122
8709,8013
13063,3099
12259,1552
8666,9165
10994,10545
10629,11005
12496,13628
8160,8128
9285,9610
10788,8919
8522,8643
9368,8839
10620,10489
13626,9541
10585,9146
11192,10046
13501,10287
12929,13834
8147,8666
3283,8078
5613,5927
3503,4926
5817,3878
5355,5298
2378,13432
1811,11644
2588,12813
4912,13504
4604,11960
7358,9828
8153,8736
12936,12952
12377,12288
7558,7289
7055,4707
4240,4397
3846,13508
4797,4480
3061,12958
3949,12465
6539,6674
2602,5911
2287,1538
2294,13572
2653,12977
5122,5734
7283,7220
8423,8946
8086,7815
8421,6004
10014,10174
3160,13405
9101,13605
11070,4890
1365,9748
11236,11342
941,11050
10128,10520
12252,6680
6152,6198
7248,3106
7183,4715
6392,6579
6917,6984
8226,1088
6006,3262
8386,6786
4990,10278
6044,6294
5723,11158
4255,4490
9701,1484
4280,3088
9815,1351
4536,4774
7570,8855
7328,7299
5076,9154
13119,2380
6977,6857
7423,7501
10354,1247
1439,12280
9102,8943
6321,4783
7368,860
7130,2751
3036,2226
8002,8174
11305,11526
9655,12861
13489,8787
2664,3178
2858,2107
6759,7511
5572,8831
10988,3760
12876,7272
5260,13586
5613,11092
3071,13339
2446,12047
1804,11466
837,10121
1712,10032
3283,12848
12830,3017
1725,7056
3811,1855
4297,13658
4060,13480
1317,9725
1472,9464
1528,12076
7890,7432
1379,7826
7474,7680
9835,9538
13111,11997
1388,9598
3353,13477
2024,11895
6374,6232
4998,13602
9257,11368
8685,12664
12198,11833
12340,11870
6559,6250
7750,7615
7808,7455
7566,7086
8434,3518
8491,6700
8397,7759
5692,5678
7279,1048
4960,11487
8069,7485
5330,8810
8888,7986
8778,8708
13708,5982
8132,8683
10671,10594
11446,11028
12089,8870
3418,12900
3494,13107
4496,13462
9161,9229
7597,8459
6752,6299
6159,6079
7870,7651
8212,7724
8123,7167
8258,1546
2410,2582
4677,5929
8016,7157
13284,6260
12470,7594
9579,9135
11021,10748
7697,7610
7912,8211
2988,12141
12585,1586
7721,7116
7727,6709
1328,6032
7352,6717
13664,9101
12467,9555
6804,6456
7481,4886
8231,5345
13824,10039
3570,11301
3727,9218
1091,973
2174,12020
2497,9841
8011,4896
3968,13337
8801,5790
12507,1688
7139,9762
12870,12905
1360,11908
1821,11426
1147,10080
13178,2469
13786,7264
11366,13386
2855,11407
2769,12055
3846,12748
790,9454
13496,7448
2145,12752
8078,7113
10869,6989
6111,4261
9531,6006
9460,1141
6129,5217
6244,8921
8262,5718
3548,3983
12984,3382
8030,7492
8560,6671
8951,915
5946,6172
6142,6410
6473,9757
6634,8424
4466,1632
1569,8505
