x,y
13732,4580
11314,12037
12033,12272
4004,11596
858,9712
7058,10002
7528,8757
2753,12884
2377,12450
916,11266
7017,13684
6523,6928
7248,6558
7669,6990
8302,8842
7821,13275
7380,11778
10158,5938
9932,10302
11134,10669
10615,10424
11820,7813
12331,10324
12242,9983
11483,11899
12754,12761
12391,13195
12074,11504
12828,2494
13126,4062
5602,5962
5836,5738
8208,7989
2760,12624
12636,7363
7918,3316
3604,9724
8855,8913
8734,8945
8757,8523
13199,8447
13199,6162
11243,7062
7210,10169
12512,13525
1676,12867
3012,7130
7896,6689
8283,7916
1608,11776
1328,11472
1444,11472
1566,9513
7130,7184
3276,2919
1014,2922
6371,6490
6799,7229
8933,5441
6870,7314
7942,7573
6008,5804
5701,5519
4469,12347
4153,12357
4546,12227
7199,6105
9024,7681
9026,7685
7348,6928
1447,3447
2286,13110
5756,8528
1851,11310
1194,6626
12091,1537
8305,8361
9104,8504
4092,13134
1598,11218
3344,12866
3674,13468
6658,7073
9350,933
6159,6223
6206,6208
4763,9677
12446,2340
4891,10002
4845,9995
10142,7580
7764,1615
13500,3976
11881,2174
13138,2487
11193,5839
4512,7533
13452,6089
5812,8594
11240,12134
12420,13527
12344,12982
3576,13640
2848,13076
7168,7058
6215,9008
1727,12098
1349,12180
11306,12310
4871,13807
2932,12717
13254,4472
13595,4321
9909,1480
1329,11361
2124,12458
2058,5536
7675,7991
8498,8550
9948,7317
14106,5133
9828,9713
8578,11706
8995,11423
8346,11667
10836,9880
8684,8557
13927,10947
13798,10338
4097,4415
6112,3993
3510,1678
1336,1318
1893,2054
2143,883
13445,2763
4695,4514
4884,8316
1282,2298
12959,3335
9306,8988
7686,5179
3169,10876
12236,2349
12958,2194
11912,1419
7232,6730
8971,7359
8115,8391
8583,10582
4015,4381
9925,6864
7004,13993
7810,11172
8236,5727
3149,7932
1679,11564
1304,12289
1112,7024
8230,7886
5666,5961
5692,6108
8672,8284
6320,4756
1606,9312
1503,9382
4828,5393
5861,6029
8685,8184
8622,8763
8302,3551
8130,8456
5547,9423
7178,6106
6037,5184
10163,1348
6116,4077
5545,1654
6275,6683
14155,13214
9063,7592
7258,6939
3157,7647
12872,2230
6747,6471
6764,4424
4789,7070
6914,918
3620,987
3219,3839
2411,7234
2625,3043
1490,4083
1336,2879
898,726
11968,2391
7445,6988
6471,6458
7915,8185
8103,7512
10969,5050
8147,8359
11108,11394
898,7382
3732,4327
6134,4228
935,4506
11512,3230
8208,1330
10742,1733
3775,6171
3484,12926
3037,13229
4993,13339
7052,13613
6980,13677
7795,13532
8165,12255
9462,13940
13446,12182
12617,5155
2692,12648
12974,2767
2451,12593
7235,7387
9688,1761
8908,7814
6885,6739
11923,10580
6505,8182
6467,6763
6867,6496
7691,7082
13479,2417
7750,5845
7732,5098
7541,5022
9964,6649
9976,6840
2483,9841
9759,9766
4653,5110
8258,8186
8895,8126
12487,3188
13501,6431
10202,9892
10214,8833
7180,8789
4091,13799
8205,8810
7932,8706
5508,12457
3064,13221
11973,2044
7989,10133
8037,10184
9406,8774
8778,8011
3733,10998
2909,12524
13548,6564
10608,9005
12507,7294
10510,13438
1355,11164
3089,13405
7966,11823
6260,10984
7508,13296
11436,6193
6656,13711
13057,13733
12983,12957
12952,12825
7820,7211
6168,6703
6055,6459
5754,6097
6814,7754
3635,10149
6202,10599
6198,10408
5782,8876
4230,9847
4297,9273
2547,8521
4491,11508
6060,8464
6547,4574
7775,809
2834,1230
4139,4854
1528,669
2474,1104
7521,12391
10302,11021
9031,11376
948,11109
1362,8377
6672,4488
6276,6473
7316,6885
5404,5860
4589,4633
1811,3410
9145,8422
7004,5618
7708,7392
6347,8341
8621,8328
7583,7466
4400,1482
4835,5262
5525,5441
1442,10278
4485,4300
2225,1968
2443,1991
3212,2482
3620,1372
6944,8254
3957,11300
8301,6712
6438,4916
2766,762
6269,6161
5871,6193
7715,7638
7329,5142
12110,8548
11320,6518
6251,9063
8208,11828
12018,2535
7495,6106
8179,3510
7313,1511
12207,11774
6531,4631
11687,11340
12288,11453
8468,8276
4096,4570
3805,3627
3929,4006
3742,13499
2486,13183
9803,13224
12010,10251
12340,10633
12439,12710
12564,12514
13907,13152
1212,10274
1088,10059
1924,13168
4791,9650
4486,4304
4124,7378
5946,4133
4667,8067
10626,3166
7915,1843
7658,1566
11200,6306
9220,5582
6858,6477
6133,4267
2438,2475
9251,5588
13222,3566
4142,13648
13826,3547
7441,7369
6209,6202
4570,4690
4172,4772
3673,9435
3822,9734
3548,1821
9270,13741
5045,3375
4829,3825
5084,3814
5156,3831
1217,5746
6732,7559
6792,7144
7252,6927
8125,8064
6332,8070
5467,5762
5250,5046
6813,4636
2920,12828
834,10674
3688,9111
4231,9655
743,7803
6523,6849
14082,5888
3810,10191
5938,12425
756,7003
10778,1492
9082,9908
5480,9821
8506,8281
9234,8482
3500,7950
8174,10094
7019,6484
7067,7391
2876,3240
6331,1426
6262,1992
6636,1726
2746,1632
4204,13664
5471,13299
13599,9246
4059,3905
4332,3448
817,10798
1124,12506
6275,830
8026,3323
6170,6572
6249,6557
6555,6922
873,9541
1597,10042
3809,13611
3810,13624
2572,8482
4986,4655
4825,4488
7584,4896
7282,4808
1993,11807
3385,8515
1160,10233
7774,4781
768,3736
2262,3160
1057,2061
980,1870
8561,8262
7887,8143
8529,8231
9010,9146
8816,7595
7628,8096
9671,9246
8478,5346
1135,2457
2659,3189
1475,12211
810,8647
2847,12044
7968,8205
3982,4230
3798,4433
6135,6456
6615,6801
5686,6470
7173,7010
9053,8779
10742,12483
11710,3958
8050,6778
8576,8628
13109,7657
10349,9834
9108,2143
2353,3826
1395,11271
6178,13274
10737,11327
10394,10784
4032,13876
3966,13850
4897,12390
4930,11570
6452,9418
7091,13405
11540,13580
12960,13635
13021,13729
6544,6362
5549,5322
7385,1019
7249,1397
6826,1296
5140,3846
5090,3294
4696,5258
2871,2533
2431,2721
2436,2041
1277,10076
12137,3508
9965,7767
12403,7376
6984,7824
9886,5865
8784,5718
5530,6060
5049,7559
12141,1923
8223,7914
10770,10663
6444,4740
8261,8234
2717,11424
5193,10757
10456,5046
6883,6193
8664,4670
10362,4864
6305,4636
4425,4916
4153,9362
854,8387
1166,7769
5427,12544
13319,7739
13476,7735
13532,8137
10214,10476
1295,11388
13961,8411
1037,11123
1545,12419
2500,5448
7239,4816
3308,13135
8395,1697
11270,1858
11733,1057
1758,5242
874,11206
3807,12770
2496,11898
3477,11715
9284,13770
5942,10999
2066,9837
3968,13140
6433,12338
10850,10603
7835,8197
3083,7514
5528,5494
6164,6611
6661,11368
11986,12023
13596,12944
7589,7547
5642,6218
5535,5629
6435,6662
8087,5340
8834,6330
7304,7718
8422,8217
8088,7374
6121,6200
5536,5650
13254,6410
13340,6200
13361,5469
13351,5551
2582,2427
6356,6681
6538,6788
9065,1581
5111,1256
3125,9256
962,11005
1841,11879
7156,1217
4392,5959
4176,4979
3347,2918
13794,4115
5312,5860
8276,8584
11593,4345
10502,5268
13441,3419
10540,4998
5619,9499
10204,10366
10831,5122
11507,4672
2706,5625
2798,5463
4621,11654
12402,13660
7204,7080
7255,7203
7719,7376
8663,8788
6399,6195
7181,7568
8785,6498
8187,7514
7812,7514
8274,1188
11238,5252
2662,5532
9000,8246
7476,7209
6456,6682
6763,7151
5829,6195
5806,6132
12149,6441
2994,7140
3445,7179
1639,1209
10937,1379
6520,7939
8218,8254
7478,13484
3034,11534
3245,11566
10637,3239
3964,4355
10983,5003
10914,4344
10283,10168
9000,9121
12761,12680
2584,12546
1403,11648
7386,1095
11826,2024
3576,9429
2754,7450
8966,9626
8446,8037
8553,8792
7630,8078
8887,8913
9442,9591
8678,8949
10437,7411
13048,7382
10543,9100
10356,10908
6303,11075
6800,12868
11205,11486
11534,12652
11195,12442
6496,6376
6432,6749
1782,11586
936,11074
1576,11311
8049,10252
9681,1180
3650,13212
11748,4264
8915,8303
6485,2460
2812,2054
1697,11670
1718,12879
1470,12283
1135,10167
10828,1509
11889,3031
7294,4613
9121,9000
8730,8580
1806,11583
6980,4955
7730,5718
1690,9220
10943,11460
4413,12591
8120,6736
4019,4093
2288,13375
4670,13726
1645,11259
5068,12270
7606,13469
7821,13655
8473,10108
13483,12390
13902,13204
8078,7704
7035,4705
5616,6247
6925,779
3909,9397
10039,9958
1360,4449
6936,13810
8835,8214
11741,1878
13247,2959
13971,4712
11252,7083
7878,7754
1782,12958
6520,855
10261,820
6036,7130
8227,7728
6191,13370
8210,5366
8411,13262
8297,10383
12830,13533
8813,13922
10940,11790
11895,9704
11968,9826
10426,12736
12266,13676
3071,11385
926,10960
1331,8370
7033,6549
6176,6578
1497,11369
9996,7213
9203,7197
9719,7259
10470,8681
10313,8839
8787,5678
7612,2615
4816,8800
2367,8304
916,6035
4694,921
5009,900
4873,928
1872,2065
4695,846
4650,1073
6081,9376
6999,5063
13126,7204
5007,13184
3128,12902
2332,9588
4424,6145
918,9325
9351,2358
4021,10746
4285,10086
3536,12905
3016,11560
3914,13138
1371,12461
3748,4009
8128,13490
7528,8761
11555,5659
1211,10210
3774,13181
5117,4613
4829,13205
8612,8316
5332,8565
8581,8641
12506,5139
12551,5145
8356,8062
6168,6014
3265,9119
8847,1592
2472,3545
5360,6254
13912,13944
7387,7335
11647,1645
12346,2058
11229,1633
1822,12078
8401,8586
8151,7646
10641,4968
980,7328
2775,6360
5206,7604
2479,5076
1666,5017
1417,4634
4794,1310
1553,3104
1239,2561
6847,7171
6750,6590
13923,3904
8398,7756
7267,7530
13581,7384
13393,6439
11446,7534
12253,9978
5369,2594
3666,11263
3568,9063
4442,2866
4222,3194
9633,4314
1787,11924
3739,13645
9747,5911
5834,11254
14067,5253
14006,6196
13516,3268
7308,9746
13774,3328
9739,13535
5057,13505
10197,5740
10104,13183
6686,7012
2662,12088
13916,4993
12559,1657
7343,7013
9764,9722
9490,5979
8273,8010
8737,8565
8348,1549
8749,1033
9602,1125
3221,7170
6066,1806
5556,1141
3855,10332
3904,9764
4111,9670
6566,1368
7517,874
6408,6679
6635,6720
3889,12654
4076,12582
7257,7254
2608,13360
2980,12680
8852,9283
9230,8629
3759,9501
9066,8604
3510,4270
3860,3995
9364,4344
11404,8088
2219,11827
8300,4864
5591,9455
7166,7228
9158,14152
8654,13650
8749,13403
7848,13532
5087,10391
8003,8057
6242,6109
6348,6130
6409,9552
6111,9235
1687,3277
4351,13629
1414,11278
1254,12142
10443,12155
9927,11538
7765,5167
3803,10854
9573,10109
12634,10817
11994,11044
1796,12994
2490,7576
6586,6927
11602,3996
6444,6980
6766,6420
8638,4338
4126,12649
3485,10023
7399,4800
7723,5494
8891,7361
6440,4850
7069,7207
6188,9147
9405,8738
6666,7230
8339,11813
4459,13472
1318,11043
11831,3184
7516,7136
5987,6238
6332,6495
8264,8357
6514,6923
6340,6690
12878,7255
9596,10024
9914,10084
4728,10509
4484,5274
7503,8542
4808,4587
4251,4308
3088,5014
4977,5837
11124,13366
10363,13521
1074,6148
1983,1293
1248,11400
1023,11146
2125,12831
1654,10832
7169,7942
2762,7712
1873,7623
2537,11683
3505,13582
3039,13574
5371,5198
9935,9367
8803,8759
9376,9164
7043,6790
6490,6373
2106,12690
6174,8586
10830,9095
8158,8587
13108,8346
10966,5498
9615,1532
3404,8923
10795,4997
1059,1654
603,900
10586,4870
10156,1504
8973,9480
8625,4230
7058,1335
3531,9933
3522,10286
3680,9659
9894,10025
1680,11713
2028,11637
6727,1673
6628,4551
3593,3968
7662,7130
8625,8745
9937,8911
9515,9746
10155,4540
4912,5562
8598,8515
7836,8048
13954,3666
7878,13597
9720,14068
8150,7442
8970,8885
8646,8453
8680,5696
11562,4702
2408,9571
2302,8902
4214,12618
9196,9054
7454,2766
4305,986
8996,8284
4322,9165
1187,7757
7934,7041
7398,6917
1462,8326
2865,12231
8816,8585
10047,9782
6367,8650
12928,11796
12539,11884
11769,11368
5995,1008
6775,4803
5926,7397
8136,8251
7594,8543
9250,3758
5852,4234
7368,7106
6990,7158
7602,2378
11817,1215
3022,9913
9528,1372
10679,1515
6903,6692
6263,6146
7763,7864
7190,4762
5988,3560
5136,4724
3954,4362
4188,4114
5095,5086
4743,5131
4976,5072
4804,4275
4589,4205
1077,2425
13612,4693
13803,5321
7340,6942
7378,7572
1784,11719
6596,12817
9804,9343
6538,6288
7648,7929
8828,8724
9195,9307
9264,9706
9957,13259
6785,7541
5205,11730
5439,11539
1245,8869
11263,6620
12743,10568
4793,10290
6381,6679
6057,6382
7593,3242
7223,3272
3135,1927
5078,3100
7614,1467
922,10958
2963,13394
1091,10624
2268,11720
1706,12068
879,10728
1409,10664
2712,12914
1562,6904
1666,6749
2124,12571
9555,3344
7148,9752
10122,5895
7045,9646
3670,9662
3796,10214
3514,11022
1856,12189
4889,10409
7157,3182
9008,8937
8910,8183
8328,8290
7020,6491
9011,5446
8266,7631
9486,9726
7769,7903
9608,4909
10614,10910
13950,13690
6578,6657
6366,6821
5992,6686
5796,8438
6615,7119
8619,4093
8759,6531
13714,9534
10510,5159
6458,6188
9012,8816
8813,5554
1632,7154
5499,5489
6469,7220
6225,6343
6512,6919
6400,6215
5386,1586
5224,1062
4342,3959
3746,3492
1157,8535
13987,4160
13703,4778
1923,13117
13395,4225
14066,4723
1643,6591
8677,8028
8736,7939
1162,9789
5749,6518
6246,6308
5746,12824
6342,9743
10280,9850
12079,12929
4318,14041
7097,13979
10345,830
7533,7091
4516,4641
7505,4685
10243,2402
6758,1588
6445,1081
8628,5046
4270,1107
5904,6221
4042,2990
7036,6688
7175,9127
6428,6955
8079,7939
6569,11405
8878,9106
2868,4240
8018,1165
5608,7562
6938,8469
4584,4785
1883,2670
2556,3389
596,2500
6829,9826
2852,8386
1567,6852
10801,5436
10826,10908
6234,6188
7943,7661
4597,13829
1637,12792
9741,6364
10856,6848
1663,11567
1820,11868
1223,9691
1639,10078
1570,5841
4622,5160
3867,4829
9936,3294
4471,4402
5439,5820
10170,6885
9438,9596
1853,5517
986,7882
5904,936
10923,1664
10101,980
10684,1718
10309,2619
10391,2667
7797,1204
