x,y
3600,10280
1553,11709
5783,6089
3177,12925
2436,13409
964,10943
2605,12143
791,10383
2652,13627
1454,12934
8543,11841
5580,5225
1870,12194
3050,13556
4531,12250
5181,13754
10232,5404
10229,9520
1492,10840
12295,12224
14239,10402
13896,14135
1686,11784
2561,12730
5915,9026
7113,1216
1171,12507
2456,11650
6098,9892
7136,4612
4112,13868
853,10529
1515,6037
971,8366
1038,4496
935,6629
7445,6989
5612,1687
8588,8494
12838,12536
10221,4769
2646,12632
1531,11134
2270,9712
8730,8978
2886,12591
2876,12375
8920,12962
8487,6654
11340,10631
3915,11568
3206,13613
1417,10791
2395,5185
9636,13371
7594,10026
7481,1063
3949,13166
1483,9983
6819,7020
5189,8870
1092,11144
2374,13454
2929,13530
11964,7402
6131,4112
1299,11315
2849,11330
4899,14107
2154,12846
2909,13682
10894,12157
10680,13003
3704,13964
9472,1158
8276,7474
2810,13058
3528,13873
3317,13081
4027,13220
2523,12674
4824,13661
3236,9152
1792,11342
5357,13654
7374,7771
13306,10727
6355,6280
5796,5894
9399,3640
8770,5466
4367,13274
10942,10880
6033,13392
3283,13701
1855,11323
3231,13649
970,9357
9067,5919
3278,8989
3761,1100
2816,13471
6658,13440
7956,14124
11658,11056
1206,11902
1845,12034
8428,13881
8533,13656
3688,13268
1261,10061
9272,13106
6845,11391
807,10613
1431,8382
1448,8878
3169,11097
826,5639
992,7334
4243,3634
2843,11902
2671,12220
5053,13840
4951,13203
6811,12932
11718,3447
5080,13886
13804,10392
4525,13504
3245,12875
1130,10459
834,7186
8954,2218
1365,7843
9881,9046
1311,10209
1516,10319
5577,4952
2339,9518
13387,9625
5981,5571
13663,9262
6860,6657
10570,10058
6590,6168
6704,10110
3385,3779
1031,10245
1838,11366
2144,13322
3931,4600
3513,13599
7186,9242
2094,13085
8393,5650
11980,2368
13603,9583
1641,10636
3005,13227
2360,12476
3288,12900
2060,11637
2088,11782
1978,12552
1851,12798
9121,8399
5827,13452
7248,11727
6617,1515
8766,8886
2673,2794
5262,5873
12608,12952
8093,11863
11647,7745
8061,8221
12378,9400
11086,10790
13132,12856
4168,11294
855,9847
4470,13957
8876,8040
5624,12808
4728,10628
4647,9442
1016,10219
13503,8856
1621,11271
3650,10727
3799,13179
12593,2076
7564,11577
7992,10491
4905,5895
2774,12556
2536,11983
805,10444
3684,13297
12025,1804
9677,8966
3176,12877
1365,2970
2590,13664
2986,13122
2111,11940
3180,13198
13185,8581
6962,13562
9972,9928
11711,12025
12965,13505
1530,11687
1734,12240
1391,11641
7808,13711
8362,8228
5795,5080
1149,7858
7311,13820
4755,4930
1647,4920
1098,10294
2086,13304
1971,12502
1386,12311
3818,13758
5635,12551
2852,13393
12257,4989
4618,10246
871,4340
11096,9959
3139,7454
804,10596
1201,10008
1332,11476
13105,3528
3393,13032
6830,7014
3552,9655
8390,8825
2551,13500
8924,9636
4527,1273
1231,11239
3560,13664
956,10271
6741,1686
8358,1688
3850,1514
3419,8748
3722,1753
2147,2177
3866,13526
2244,12991
1449,11212
1788,13063
2305,8353
1348,7752
8315,8370
1468,10608
2902,12612
4654,9406
1298,9960
9516,5921
3713,13093
1860,11674
895,10857
2782,11794
1477,7108
774,10458
4940,5260
1180,1554
2837,2373
4868,13817
11858,11569
7572,12297
12806,7344
10093,13822
4265,11743
6182,7109
8557,8749
5664,13946
8972,2396
1599,913
1265,11521
1819,11470
13594,6330
12548,7389
9484,9554
10131,10043
8589,12644
13406,4933
5162,4824
798,10233
7676,11273
9018,9008
8245,1695
971,10259
5153,10511
8006,13967
7339,6185
3086,13077
1802,11192
2699,8112
4561,13569
3777,4452
1970,1205
2989,11600
5181,11403
10433,13219
11113,5567
12486,2269
9373,1604
11514,5962
11465,1940
3488,8365
8768,8116
1248,7268
4573,4001
6251,1030
13804,13369
2144,12259
1876,12277
6995,13933
10456,2983
12129,2449
7920,1680
13691,8052
1314,10300
1000,1766
1345,11360
7903,14124
1976,13293
7049,13563
13486,11535
8132,7227
13028,12335
12554,12630
2639,13401
805,10618
4931,5055
8531,4696
12013,1313
9566,2483
8179,8028
4114,3355
2679,13412
1500,12659
5448,13361
6771,13197
4723,1197
2029,13384
6783,4301
934,5455
2975,12393
8285,13958
2941,12244
4635,11819
893,10223
6808,4513
1194,9288
8590,8459
8395,8153
900,11015
1905,12855
4912,13795
2818,9503
6624,13330
5118,5674
9922,9996
8529,6327
2263,12872
1584,10840
2109,11737
962,9162
1103,9184
5542,13730
3115,7017
1367,1038
2232,12210
12043,7198
1142,10345
1398,11698
13651,9901
1298,10746
3448,11324
10052,8604
6998,4190
1886,1892
1645,10332
7420,7971
8936,10794
729,9341
1589,11938
6652,6237
6986,2964
7038,6302
5101,9298
1218,9155
3098,11935
3078,12638
1873,11559
3574,13481
4886,14111
8071,5801
1627,11354
11867,1333
7533,8463
5836,1665
1395,10448
10673,13499
3074,13156
8627,8732
11099,11581
1260,10029
2987,11419
2316,13003
1367,6503
7216,13253
10640,10289
8373,7788
7860,5429
2017,11701
990,10272
5351,5199
7720,3368
2822,3110
2535,2876
2545,12396
2502,13375
3040,13602
1210,11793
832,10148
4233,9630
1938,7715
6899,7661
3751,10054
2000,4333
8600,6298
13243,2657
924,10890
1523,10622
6164,7049
8741,4568
4668,4683
2331,3489
4074,14056
1183,12455
4770,13480
2815,13702
4386,10067
6533,8155
3426,6574
9342,11569
1129,10401
3720,13812
6930,13453
6060,787
8525,13548
2141,7748
7784,7147
4810,6382
1329,2048
1425,10632
4058,13638
1432,10985
7990,1914
8547,8331
1435,5319
5990,8526
5446,5396
2914,2378
13841,5093
11310,8420
1379,6878
11804,6869
10010,9894
6890,11494
8454,5491
10150,5146
7779,7191
4335,9319
7332,8811
6681,6605
7140,3176
1688,12047
5008,14043
1473,6913
9476,8876
8401,7802
5356,1598
8250,8326
3937,13037
3890,13473
6039,12487
4721,7766
10622,11534
2636,13043
806,10541
3319,13495
823,10265
8253,13923
8534,5991
1811,13097
2067,2062
1809,13012
11642,3713
13256,9839
11525,9745
10008,10735
10937,10412
3680,13517
2767,13455
8401,8399
6560,13434
7688,5709
11015,9924
11865,11364
3473,8648
11790,1502
1241,7184
1375,12684
6969,7387
10415,3105
9184,978
6185,6394
10264,5365
13215,3260
14103,7782
10092,3268
13691,6740
7451,10944
3935,13761
4260,12048
7469,6245
7748,7527
10368,1211
14206,13421
3310,12983
1755,12993
6419,13402
5691,13457
7447,7941
10330,10538
1181,11479
13261,10866
11109,10847
774,10156
13424,6177
5952,5620
9932,9360
7624,10010
2761,6276
2168,1150
1818,11959
1690,12569
2568,11640
1337,11043
8970,6511
9358,6300
4730,9660
6665,7392
3046,11933
3868,13281
740,8007
6224,6051
1706,8046
3771,6151
7806,1326
2327,1608
1701,11679
2356,9743
6050,6099
3954,13570
3269,13306
848,8494
1379,8356
6547,2498
5967,5558
5843,1353
8468,13508
4141,13303
2797,12569
9261,13579
8571,11435
3168,8357
7614,8201
5099,9181
5956,9452
3487,12941
4436,13598
6851,12836
7535,13862
3878,10467
6039,13987
5645,12608
9075,6476
8207,7308
3694,10010
1893,12812
3944,13154
3424,12962
1377,11624
4549,9969
8393,1591
5451,9435
1037,11149
1767,10293
2932,12479
7027,14084
6194,12722
1426,6272
2734,13020
13966,7318
13244,7940
14138,8916
830,10088
4348,13593
2405,13071
1399,8094
7586,2826
3280,1889
4254,14049
3299,11665
7205,12184
11308,11399
13501,10639
13959,12453
1918,12508
7184,13320
