x,y
11434,6767
13392,4458
13741,7949
11089,10625
6426,10005
8878,9099
12760,12106
7703,7248
7032,6479
4994,5591
13201,11131
5377,9197
11896,7467
6160,9628
9349,5949
11079,12515
10079,5985
10877,10636
9753,4601
2664,6198
3472,3868
12683,5287
14062,8505
7776,13593
5236,6129
5134,10458
1223,9643
7223,11243
9763,1114
7041,7307
7708,7392
9875,9632
8570,8798
6199,4842
3212,2482
10466,5020
9286,11240
8898,5748
10416,5586
10890,10618
3839,13155
10935,10795
4791,9650
11539,3202
4346,1037
3321,7072
4713,6291
7878,3577
2306,1887
11708,1721
9816,2404
5646,5730
8260,7325
11755,1468
9064,5742
4628,12612
8222,6316
9135,8393
11820,2698
10382,1168
3813,13270
4248,9237
10674,1433
8378,8478
13941,7095
1161,11603
6656,9526
13535,7568
13860,10611
6565,4793
6778,6780
14073,6220
3174,7662
9018,4413
3297,3533
2284,3572
6230,6784
10546,2932
2864,7082
11088,3511
4861,13259
6508,13459
6399,6638
8430,6388
10264,10208
5748,8888
10654,5474
10782,3506
8266,5320
10275,10046
8175,7647
11622,1539
11826,2024
4424,4667
3576,9429
7507,3458
5876,5432
6693,4786
7450,7302
2354,8468
4714,13170
10404,2453
10359,5609
10129,5705
1249,4572
6845,4160
6277,6436
7840,5358
5984,8572
3508,6420
13928,8088
9000,13513
12827,13098
6999,5063
3915,11256
10942,10890
1055,11789
6813,11399
7090,8917
13824,3896
9996,9235
7164,7300
11106,5785
5653,8935
9187,5634
7685,8486
9436,8675
7814,10988
4084,4610
12989,5279
10422,9989
3913,3926
11022,1658
11577,7045
10060,10487
13415,10424
10343,10220
13423,13976
10680,1174
7517,1361
7297,7156
2996,9854
5796,5271
4767,4454
1716,887
9515,9746
9071,5502
12932,2721
6145,6362
1309,8358
12568,11008
8082,7254
11185,4260
8782,5802
1538,8862
13116,8150
9010,5639
7181,12315
11152,12018
13552,12223
7666,5894
7757,4073
8839,849
5854,6088
10538,1200
13247,3381
2806,7546
13632,2996
7354,13427
6977,11686
13845,3280
1406,7360
8130,2344
2735,13491
7640,6887
9493,2401
5973,1880
4662,1721
5943,10845
12392,2431
8497,6614
7223,9026
10813,5302
11946,9437
7819,7877
10015,10980
9194,6436
10522,3003
10021,4459
6402,6757
6186,10425
8620,13077
8707,8760
1001,677
5963,6163
6679,4695
7197,6161
8651,6136
10850,10426
10583,10088
4395,4228
9581,7185
6540,6473
960,3209
9831,5198
9117,5758
11734,7366
7712,6817
6297,12621
8101,7432
9781,10248
6090,10602
1015,11415
10920,2245
1490,9579
7551,4809
7781,10692
4967,7857
10340,4217
12270,5470
11663,7468
7916,7211
11224,5739
13780,10670
12010,12177
7556,8026
13891,4160
6047,8785
3154,7041
1160,6176
4692,5017
3637,3410
7795,3722
9764,4786
8470,7977
10072,10224
4995,10642
5876,5658
11868,6705
6924,3106
1121,11531
7281,6856
13532,6014
11743,7413
12015,1295
9989,6975
5189,13904
13152,4323
8705,5423
11171,10166
13762,7740
6636,7366
6115,6493
7222,4750
5208,761
9963,7473
3222,13407
12419,4856
6144,6230
9229,9272
4232,12726
9908,10484
13488,3070
6508,12044
4152,12086
3156,7883
4860,5170
7527,752
13353,3181
968,1872
6854,6190
11608,4359
5752,5947
5026,7600
2321,7725
1398,6155
4643,5370
2219,1096
3625,4127
7497,6920
7686,8641
11555,1054
10041,5516
10305,11983
12146,5028
6854,7153
5602,5682
3060,8018
11112,5681
6465,6136
1372,3202
7150,6460
6292,3282
6405,2425
6575,7650
942,7016
7363,2966
13464,11996
10503,5372
8068,13706
13076,10940
8220,8129
8336,6914
8232,10102
3880,12531
6756,9566
6109,6604
5884,5110
10642,2069
8786,9172
4681,6595
8586,8124
7480,5115
12228,1744
1440,7648
3900,6114
882,1372
4516,12798
13991,4017
7202,2958
8480,5762
7545,2627
4981,12396
13102,2764
10265,4696
1489,11147
5167,8556
2625,12422
11546,4334
11741,4104
2212,12578
12739,2815
7075,13858
9439,13715
11818,5264
12277,13713
3717,7849
11079,3419
9440,3264
4744,11712
2522,2841
4346,1098
11112,1646
2363,12783
11263,6273
4771,9495
4910,5029
1483,4406
4336,1501
10730,2405
7848,3623
8019,8017
7664,9289
13153,2230
10609,8727
13350,12197
10742,4993
4346,12375
2206,12662
3364,8502
1652,12034
2041,12501
846,9972
1235,11345
13922,13739
10056,4610
4723,13173
8433,14027
13183,8152
13351,3423
9016,8316
13478,7879
10539,10800
12919,7366
4400,5034
8316,8645
3746,9376
12984,11126
3724,9352
9160,2415
10186,4477
6610,4577
5175,4725
6855,982
3105,3811
4169,6090
8583,8448
8061,10995
6070,4915
1400,12616
7465,3015
1382,10387
5330,4930
2722,7360
1627,3970
2734,2509
4906,3562
4439,1259
2648,5753
5425,10336
5934,7459
6201,10203
2739,7638
8543,13058
3348,7839
9860,10235
10787,2485
6668,9311
7774,3260
9469,1850
5916,10777
10708,1542
7625,13260
7981,9835
13432,10062
1915,11698
9354,4610
10565,10067
7612,2884
11299,5568
8074,5579
8655,8727
1964,12356
12601,10555
11407,12760
6173,10652
1836,11288
9919,970
8078,3480
3324,8423
4916,5290
1557,4052
7764,3493
4169,4851
7803,4150
11798,4163
10542,5450
8196,8806
10823,13589
7315,3054
7013,7718
10021,7588
11762,2530
6620,6339
8138,5775
11734,6904
4041,4062
5418,6053
7022,9636
11817,1905
12396,2319
6190,3037
4562,4326
6923,4758
11962,5441
2864,12754
8796,10644
8872,8636
8751,13383
7205,7708
8796,8510
3959,9402
6529,6516
3884,3096
2628,2436
9993,4897
11940,3684
10148,5430
8502,5617
941,6463
1243,848
11175,1805
7636,3343
5086,5424
3393,8366
7976,5127
12328,10766
5337,8632
6647,6237
6204,6660
9877,1758
6070,939
5137,769
3035,3364
2670,12492
6752,4761
4188,7280
5234,4866
1314,4219
9794,9415
7898,10114
6252,12724
13998,8606
4467,11532
9764,10358
9249,8668
8215,6541
12166,8205
6319,8243
5253,8746
11828,2484
8062,6975
6404,4809
5332,9289
5117,5184
1512,2720
9099,8369
