x,y
10822,10542
6507,10125
12818,11942
6650,4773
4204,6092
12993,3677
3999,13516
9322,8626
12818,11338
1630,10304
4850,13803
13920,4936
6705,13806
6970,7467
8457,10435
8993,11430
6256,6354
13522,3309
10388,8752
8951,10918
7708,7207
11946,3520
9037,6219
7145,3899
7906,7697
8060,7579
5234,5977
8087,982
5304,10592
7920,1510
5262,3674
8707,5609
9292,5989
7360,7268
8654,8748
8599,8771
10290,5404
6907,6609
2078,2949
10323,4750
8148,8316
8976,5670
2319,12705
11544,12366
4167,12167
11222,4480
4725,4849
9508,2428
11895,2791
13403,3670
13007,2394
11089,3974
11281,4351
9979,2678
8340,7905
10330,5679
7977,7838
8957,5754
10607,1399
3952,6168
6475,6132
9384,5607
7524,7380
10740,1890
10252,1100
4600,8154
7179,7996
7052,8313
815,10873
6661,7080
3660,9956
3622,8140
4566,4758
6526,6950
10584,3098
2998,5764
4052,14043
11265,1571
6778,7098
6619,6467
7364,6641
8236,7084
7493,7897
5198,9182
3613,13216
4472,12109
6434,12614
3646,8124
3115,8120
12192,3133
13965,3889
6194,8210
1579,10002
4013,10002
10156,10188
11478,4546
13207,2291
10540,11075
7939,12030
10570,13275
1749,12261
3043,12902
6896,8247
12200,11176
12623,9672
9478,13794
2873,12617
5886,6700
5548,13430
5467,4915
6378,6488
13398,4450
11515,6488
10506,8628
13846,10918
6856,8975
3109,12778
9195,7402
8496,7744
14038,12542
1422,2519
9758,6310
2251,12149
2356,12084
2883,12921
13134,5643
10061,5890
8324,8757
10995,11038
4037,3685
6286,6632
6200,6312
13066,5004
8119,4819
5584,5887
4574,4843
4552,6638
6899,4836
8351,8327
4988,13595
12944,13568
14024,14018
10777,4588
12412,12771
5350,10188
1342,12672
11764,2062
8366,2123
8827,9016
2288,12129
9324,9215
2372,12562
13522,2458
10854,1583
10736,1206
4705,6598
5486,6146
7814,8091
8005,5773
7566,7542
10400,2741
7051,8230
6311,9199
7704,7279
11499,1378
13968,4144
6852,7722
9884,6533
11005,3611
10563,5356
7964,8294
11996,1203
12366,2269
2557,3887
6852,6966
6645,7688
6972,7641
2584,12410
9832,6393
7097,7299
7257,7435
11314,7744
13428,10685
9585,10204
8241,8354
9160,5904
11485,8008
6554,9469
8570,7502
13119,7427
8829,9998
13427,13803
13744,13917
13428,2510
11683,1198
8794,7588
5336,12490
6244,12740
7848,7485
5740,7379
2965,5001
7737,5274
11364,8804
10790,1501
825,10252
9933,5197
4922,4475
11574,983
8782,12977
12026,2270
10136,5867
1368,11842
3196,13409
1120,10147
12054,2138
11320,1342
1038,6486
7967,7704
5625,3578
7252,4862
7589,12302
7843,7843
8075,7565
11030,1460
10939,11028
7220,7562
10105,1062
10697,4526
970,10296
7527,5795
2979,7766
1991,1021
3698,13150
3079,13421
11792,1592
4724,6965
9158,8474
11241,1584
10110,1215
6604,6471
8022,10205
11291,3395
8412,1388
2581,1115
13397,2318
12240,2373
12176,2480
8043,8059
2774,12348
9468,6260
8940,4350
5842,5818
12865,2809
3361,8567
8656,8510
3714,7969
8333,5446
1363,6009
7683,7147
11079,1047
7278,6067
5113,5880
7259,5219
5962,3393
3818,13104
12183,8974
8797,5784
13176,4534
7688,5940
9949,1301
6294,4581
3145,13858
9865,1663
7210,13572
4652,697
936,7488
3534,10010
10638,2958
6288,6012
8384,5014
2138,3158
11840,1948
4837,8253
12362,1567
10067,7555
4295,9549
7979,6628
11325,4208
12894,3221
12488,3452
12511,1793
8858,9690
7182,7730
3641,10040
9542,9836
2357,12373
12638,5078
5854,8799
5604,8530
8854,9071
4881,4935
1189,5746
1765,9562
1080,11981
3628,13004
3632,13236
4118,12288
2404,11716
11995,10123
12179,2823
11317,1205
10057,5058
9327,1436
5486,5432
3430,3777
6244,9076
6369,8838
1290,6733
7506,8006
8238,2254
13703,3267
9929,1036
11418,3538
6696,7410
6602,6490
12104,1398
4133,13058
10376,1125
6125,8544
9624,7310
10806,4680
8625,7575
2471,13575
13076,3656
2326,12912
13248,3548
13566,7658
759,9925
6068,5863
4862,4842
6642,1112
14050,4503
14036,4364
2489,11634
11699,3916
11015,3798
8052,7731
11848,10984
9129,8540
8678,8341
10132,5094
1800,9648
4445,3908
3784,13918
1480,11467
6219,1092
5842,7538
3821,14002
5798,1508
6004,746
10336,5005
12254,5147
13698,12588
5432,5890
9541,1266
7048,13283
8610,12630
7062,12561
12838,13063
9774,1279
6392,8228
8427,7857
7374,13281
13581,10331
6438,11134
1429,5883
8175,3269
9921,5438
7476,7290
6442,9098
7698,9886
12367,2184
12138,10948
9660,1774
1651,12353
1252,10662
3455,11533
3314,11509
2298,13530
1898,3028
10756,1556
13713,5444
7602,8115
6429,4611
11959,6721
6421,4495
7598,4919
4186,3638
8548,8820
9771,7006
10009,7946
1932,2160
2088,5242
9627,3242
3460,8348
8275,5212
7872,5058
7218,10030
12283,10758
12121,1357
8562,5872
1566,6973
1857,11740
12185,8746
9092,9468
10269,10261
9898,9241
11544,11121
13208,12772
2965,13030
1308,11422
4414,11884
4187,12358
1231,10376
11053,11516
3228,13195
1026,9891
1805,12958
4203,9724
12072,2328
9173,2062
6117,4317
12417,2638
4292,11659
5941,10614
3898,12554
8184,7510
8014,7516
7083,7609
7921,8279
10894,4588
8277,13281
5232,9106
7558,6930
6783,6693
4174,5060
5920,6140
10537,1368
5899,6960
3924,6658
4803,7196
4286,7351
1319,6710
2256,7594
6595,6837
12974,2540
5486,8570
3702,4204
3602,4292
1575,10880
12154,2357
6759,6303
8621,8041
1850,11583
14026,5716
10499,1251
11651,10745
10506,9812
8940,12642
8983,5656
8887,8807
10040,8766
2579,1964
11072,8598
4369,13326
8558,8820
10833,11155
1826,11533
6712,6820
2784,3541
12872,2535
6298,6001
8617,2468
10896,1582
1018,6725
10508,3234
6210,6126
7109,6727
6020,5774
3856,2905
3263,13888
13375,2847
10951,1316
11377,1293
3666,9916
8164,8368
4208,10490
6284,11430
11237,5185
7531,9780
11251,12066
7684,7105
13179,3687
10514,10924
13697,10990
7612,1565
5105,5205
7250,7268
9832,5503
1214,6329
5813,3813
6820,6728
6833,6741
7008,6910
1872,3836
8275,6755
1255,980
6045,7453
8277,8263
12352,1596
13705,3384
13326,3668
3017,11078
8185,1742
6982,7118
5416,5640
3530,6482
2273,3427
3175,2147
10544,4932
7648,3662
6245,4268
3852,9390
3710,10128
1235,2875
973,1544
8056,8179
13398,3006
11580,5850
12017,2322
8120,8278
6710,7154
9939,9464
10875,6958
2584,11756
13279,6005
8818,9232
3268,4078
6803,6403
6468,7172
9046,6328
7422,7657
7860,8240
3767,4213
11123,4694
4061,4543
3713,4300
3083,12979
994,7998
8413,6917
6900,6429
6525,6083
13096,2109
7724,8355
9460,4560
2657,12648
10906,5353
9683,9634
6737,9299
7432,8002
5231,10303
11057,1428
12359,2810
8251,10273
1230,11228
1833,11290
7049,7563
5923,6124
11418,1408
3938,13835
5992,6618
10297,9819
10558,9808
7791,8286
6753,8158
7086,12582
13687,5351
4912,11546
6094,8762
13764,7295
13398,7381
12702,7194
11998,8864
7200,9688
11483,1967
7649,771
8850,1414
8774,1449
1710,12122
4518,4920
6517,9332
7729,924
1674,11322
12377,3264
6986,7151
2415,12145
13036,3478
6491,6158
8524,4714
13448,6662
13411,6728
10252,9921
10667,4923
13550,4749
3236,8252
906,5788
1601,3025
6573,9116
13305,4156
870,10357
12288,2935
13002,10776
12174,12469
3309,13720
12077,1796
4074,11380
4052,3738
5106,10230
4035,9656
3639,9664
4449,11809
10068,6254
11651,2141
7870,5604
8478,6707
9709,5899
8470,3751
4826,7030
10108,9966
2105,11784
6927,7488
1380,12252
7772,2208
3832,11467
11530,3348
13469,7149
13118,5339
13731,6691
11965,8883
8254,13310
7397,13674
6076,6852
13371,6729
12131,7325
10050,8361
10104,7754
9957,7501
4099,3332
12810,1854
13175,2364
4941,5678
7483,11319
4242,2792
3148,4336
10436,11056
13771,3713
8797,2354
8975,3971
8784,4627
3602,3970
2531,4580
11121,5628
5288,5710
13060,2008
9592,7364
1704,7123
558,2481
8028,8278
12823,3341
12546,3070
10522,1449
8083,6867
5518,6229
10710,10800
13831,9082
13109,7946
12557,4906
7168,3183
2771,997
1582,9295
14024,5446
13418,3344
7449,14093
10447,9921
9594,13903
12810,3342
1376,12748
3334,7978
9997,5087
12800,1646
11150,1206
12990,2178
8688,4745
6444,8225
7584,9902
4822,9938
1630,9677
2690,9889
9815,10980
11521,8209
1706,12859
1033,8654
1167,9977
1664,11966
6098,5236
