x,y
9866,4383
11310,5591
13285,11138
13869,9777
12827,13083
7519,7879
6308,6628
13297,2597
6912,7626
7096,13976
10046,6119
8516,9082
10086,9795
4989,12367
6263,6939
5917,8447
7662,8128
5632,9217
7966,8366
8168,6554
6856,4648
5214,1359
4926,1530
1531,9774
11331,1548
2467,12608
8547,9980
7916,5009
6149,6810
8000,5340
9313,8752
7265,7502
3889,3775
3519,3437
2580,6544
5680,6059
1453,804
9086,5779
9270,5528
2593,4146
5557,7778
9213,8913
1168,7870
2460,8658
8826,9902
11519,2073
5645,7765
1296,11363
7473,7074
4399,9401
9526,5550
8463,7730
4842,8752
10995,5395
7839,7991
13162,3955
13480,3863
6499,8468
11996,5016
10599,10512
10562,13349
8633,10146
10718,10631
11271,8633
12089,11486
12168,10869
13412,12022
6401,6858
9936,1692
1330,8481
6395,6733
13943,4379
8057,12004
8594,8881
11709,1673
13026,2110
8154,7903
4813,4509
9012,10740
9627,2518
8744,10481
5672,3837
10426,4762
8297,8660
8054,6752
9782,6985
9849,6329
5724,6018
8792,8586
8812,8863
8197,7134
10837,1195
7992,10625
8150,8386
11462,11138
11246,11501
10908,12024
12824,13855
8614,8525
13618,3787
5113,8608
3624,11619
9154,8959
6453,13320
7541,7588
7961,6692
12605,5016
8138,6380
12078,7261
11227,5347
13015,2555
12229,3307
5633,5130
5048,4983
6815,1314
1851,11385
11132,6706
11252,6288
4824,8282
5999,5948
7452,8946
3734,13623
7585,8444
11303,13930
1211,7036
4287,4750
7153,4689
3040,9750
8632,6694
7892,5276
12752,2839
12850,2438
7903,7300
12093,1581
11289,1448
1431,9388
2074,9649
11606,6070
10351,8982
9668,4652
9053,3775
5428,5588
6969,6245
10020,8836
10807,10409
10908,10616
7163,6787
7702,7427
7968,7490
13864,5098
10522,5158
8667,8966
11407,11219
6847,6551
4738,4414
4504,7108
3437,7824
1245,813
1611,11764
2228,12656
5684,11158
1568,12178
1634,10142
2053,12021
11296,1856
10986,4252
7166,7386
6751,1373
7159,3441
7356,908
7202,7428
4647,1449
5968,13808
5328,6202
2196,2372
11621,6227
8453,8907
10178,5273
9994,5442
9486,1822
3532,13526
2766,12804
13033,2344
8604,6694
8329,8597
7732,8030
4336,10128
11694,10745
14069,8239
13166,7963
13852,9379
6844,6869
7035,7359
5623,5485
1692,8188
1943,4060
8214,8172
8585,8945
8036,6681
5539,5806
12418,2234
7372,7628
7141,6747
10782,3280
4909,14072
7849,7292
1523,10185
2248,9804
5347,9562
4917,8539
2556,9610
8410,8624
