x,y
12064,1422
11625,1782
10821,10420
8271,8434
9611,9274
13921,12462
9402,13642
12387,1378
6733,9334
12131,7905
10556,1668
10753,1487
12377,2288
6364,758
7940,9374
4286,4202
5027,3435
9092,3846
3795,9551
2480,7597
11021,958
8404,7434
10291,9613
13432,3476
10755,3257
4246,14054
10425,9833
13672,8102
6437,12518
13100,12830
11710,3958
9759,842
11247,1680
868,5038
10200,822
11161,1279
11216,1374
13998,4447
13425,10201
12348,11475
9348,8698
13018,1970
8034,13841
8605,6311
4666,7299
9776,1009
9788,1061
13120,2343
9684,1432
3111,3625
8112,13678
6054,13833
13636,4734
13723,3945
11680,4700
5181,13220
7213,7115
6028,5701
6666,4608
9228,3396
10689,11099
13856,4734
13591,4313
10095,5686
10877,10849
7761,8636
5310,8584
7047,9700
7826,7831
8196,10134
10666,879
9854,880
12072,1486
5947,3440
4903,953
2384,5517
7422,6758
5730,6517
6857,1252
5666,6071
8083,7169
7240,9130
8198,5618
10992,3516
11416,1688
9743,4554
13502,4543
10888,2065
11432,8583
13190,12706
13255,2316
13469,4163
13789,3738
13776,3680
9991,6598
6649,9724
8761,2318
4715,1526
11790,1745
7325,4637
10198,1070
4980,5319
8550,1288
3923,3055
9882,1110
9527,1493
5303,5537
2814,1589
7314,7126
8747,8780
12098,5082
11483,6456
8351,8064
3370,8004
11829,13232
11761,1158
11326,3255
11256,5761
5220,10058
13001,3214
9517,11137
6265,10199
11005,3924
12601,2709
10261,863
11860,2079
12170,1260
6204,7063
6173,10714
3484,4295
10991,4274
2736,3861
10097,1051
1534,10612
4681,4707
3440,3228
8704,11763
13241,2995
13379,3543
8897,9229
9093,14113
7720,4931
8682,6124
10654,2741
11075,5552
13110,3797
12034,1862
11362,6039
6981,4210
5804,9132
4213,13118
10015,6549
12933,7278
11164,5838
13193,9078
11879,9351
6122,6199
9826,9101
3273,3935
12040,5391
2892,1351
6826,4549
12619,2995
10122,1090
13588,2839
9077,7649
13479,5294
11862,11239
12720,1871
12318,3260
11776,5014
10762,2460
7436,3318
10067,11098
8544,7566
12204,2648
8565,7656
13431,8720
7973,10326
12751,13714
2558,6410
8201,8109
2012,7569
7131,9160
9014,8916
1437,2493
12491,1391
10489,853
9918,973
7489,8004
4790,6100
3877,820
1908,2411
13502,4372
12484,1699
8340,8761
9915,8804
12285,11142
9718,1754
10989,2020
11698,2108
5839,8844
7398,1416
11338,1919
5553,5927
4010,4302
5274,3763
5352,2072
2161,2187
10729,1223
13612,7374
7034,8043
12748,5220
6890,763
12170,2795
8372,7008
12208,1156
13260,8984
13704,4487
8304,6878
825,9560
9577,10152
1646,8635
13090,7005
10342,10643
13160,3668
13033,2865
12399,4975
14005,5823
6543,1197
9480,3510
2882,5837
11738,6869
514,597
6520,3101
8342,6364
10402,5435
10364,1091
12616,1538
11048,3610
10837,9025
2855,12025
5072,4578
11236,1650
11081,1040
5160,11555
3130,11840
13509,4566
12102,2585
13067,3474
11341,5982
12404,6114
6342,8244
7374,7537
6723,4617
13812,3948
14113,4795
9398,6053
9134,7557
8603,6420
8961,14171
14008,4691
13527,4526
8487,7615
8021,7305
12896,3338
10802,13150
9383,921
14108,4793
7089,7054
1620,7310
13758,8373
6159,12716
13348,5042
6099,5918
10858,5547
7055,2575
5098,2026
6869,4802
3913,3310
1926,3235
4502,4039
13984,5363
10418,7500
1554,12911
10488,5076
10121,11093
5213,7543
13916,9590
1218,778
12679,2404
8949,8698
13632,8611
13608,13070
10453,12214
3395,4983
13722,13364
6028,6199
6554,1454
6616,1125
3444,3997
13715,3830
13934,3884
12792,2827
13975,5174
12530,1478
13522,3889
10023,5257
8871,8379
2115,12956
3637,10260
6718,7200
3367,8533
7572,7371
9226,8778
7737,8355
4916,11673
9523,13720
11874,13759
8087,7459
781,9141
6746,6846
660,848
8211,3546
6108,6058
5498,4966
11799,3938
7335,12004
11630,8118
8096,12104
13620,3268
12474,1756
11784,3245
12349,2819
8348,827
13932,3495
7569,7511
8423,7408
13444,7098
7922,11756
10161,1246
4067,3368
7074,1068
3174,2842
4720,4723
12778,2285
7993,3513
6306,5086
13475,3136
14006,5343
9128,8914
9995,11438
11791,5439
1420,9034
13663,12732
7782,13426
12404,1303
12536,2858
11866,1970
13105,2209
14123,4819
13402,2321
4285,4274
5722,856
7624,7952
8794,9000
7454,2577
11912,1901
8784,5638
3024,9934
9171,13818
1578,6301
7475,1344
13168,3006
5912,5922
7955,1993
9669,9361
12511,3195
13706,3814
12226,1736
12514,3208
13445,4696
7641,7212
10931,5277
2888,5378
9005,9096
9178,8530
8343,7618
8652,5990
7784,6802
8812,8100
5466,3765
8162,7838
11065,9961
6696,7102
11634,10798
9598,927
11880,12911
13293,3480
11677,1768
12228,1924
6456,6594
6280,6722
5201,5223
3101,3734
1353,1049
6289,6860
904,7953
4304,6044
3394,10167
3488,7195
4057,2067
10436,1556
11531,1256
7922,2012
10529,1448
10542,878
6958,7169
6723,1238
7701,1305
10141,6662
11245,3226
8669,4097
7545,2581
1448,2988
13865,4064
14040,7580
13623,3694
11457,3975
12247,2451
13088,3013
10963,3550
2948,9606
4774,8641
2149,7607
10964,5452
6668,6579
10704,13883
11129,7586
7036,11494
5622,8814
9410,8814
6360,11174
6696,9616
5713,7341
6689,3140
12175,7252
1912,1546
7126,9006
6472,7109
7123,8980
7953,8239
8613,8687
9724,9476
7195,9644
13502,4782
7721,10022
14217,13917
9035,13779
13094,3078
10818,1453
9696,1158
13070,2414
7227,888
4716,6569
6108,8897
8737,4590
3224,6834
700,1583
12089,2140
10940,3535
10842,11529
13645,3536
6318,9279
10009,7137
13060,7027
2421,12624
8764,10294
13368,3763
13371,3334
12228,1824
12682,1783
10560,1526
7149,4869
12094,3304
8076,6606
9184,2130
10444,10276
10700,9870
4249,9703
11050,888
7358,824
3822,4733
8665,1228
8339,2709
4809,7975
3150,1591
11347,1132
9722,1351
11062,5658
12716,2910
8570,6378
8581,9002
5036,8620
2338,7550
3183,9345
6178,2096
10119,8393
11741,1236
13030,3223
12219,2244
9326,10058
14064,7151
10086,9456
9751,10322
7227,10190
13633,6182
7473,10222
11354,6323
13818,3707
13712,4053
11376,5778
13730,3279
14104,6964
12586,3036
5597,1524
7933,1027
8579,8638
7468,7574
9086,8917
8283,7853
8589,13998
10050,5279
12004,1758
8199,7811
7374,6789
7036,7566
7387,1526
9408,2418
7190,7724
7464,4932
6066,1141
9504,1600
4902,2941
8058,7166
13557,3857
8778,13767
9824,14057
11818,3284
11484,3360
7099,7222
8713,6579
8195,8145
8368,7706
10588,10410
11280,11623
10331,10402
8517,10001
11298,1890
11459,968
5520,5550
6180,5777
2412,4691
9367,987
2710,2870
3320,6489
3449,662
6318,4471
13270,2585
13459,3631
13693,5018
13927,3855
12779,3051
11840,11113
10034,12059
10827,11746
9658,10257
7957,6786
11746,1838
12108,1324
12448,7255
11968,3780
9889,4062
6180,2033
13061,3887
8789,9315
1275,8151
10175,5338
8557,3842
10045,9001
13830,13505
9128,8367
2042,12171
1893,5460
3763,3856
2809,3627
12491,2816
2701,11831
8655,8689
7856,13873
11128,5133
8143,8493
10153,9877
11210,12119
14456,14286
13596,4061
7869,9976
8433,6858
12156,1791
12988,3550
9385,9198
3066,11526
11482,6380
8014,7264
7976,6399
2490,3258
12658,6340
9611,11215
7108,6797
6411,6172
12272,2735
4448,5216
10703,977
6859,6250
1398,6460
7522,4972
6801,1319
7603,6910
2793,6663
4086,3486
1405,865
10650,1415
11102,1005
10800,852
10186,1087
12653,2856
13144,4338
5869,7099
9527,5760
6629,6337
6613,7308
6624,7408
6526,6680
4448,4558
3859,11542
12685,5256
13598,2795
12341,8834
12919,3045
13289,7475
8145,12191
13006,11708
10848,10196
12762,3296
2517,7624
11082,1650
12000,1254
7300,873
2289,11700
6793,7346
3539,12934
1426,2154
7568,8204
10462,1496
11543,3468
6365,2468
5775,5685
12809,5246
9012,8342
2960,7762
4776,5181
14039,4729
1098,2888
12719,1831
12086,1341
11416,6252
12762,2814
12294,1844
12551,1973
9032,13454
10177,10986
12431,3069
13640,4861
11430,6313
6147,12601
12291,13558
10345,2851
982,9745
2178,5169
8952,9565
8967,8728
9729,3429
8648,10772
8622,10756
10014,11266
6074,6682
4748,7784
3583,2197
13306,2333
11638,982
13466,2570
13637,4174
8808,5663
11797,1446
13197,2727
10812,1874
7887,3558
10280,902
9309,950
13687,5006
6062,10574
4350,7478
10466,8850
13571,7321
12090,3373
7124,7367
4972,9231
7465,4857
7589,4756
7241,1127
12413,2553
11270,5257
12870,3160
13806,5821
11646,5539
6771,14077
5311,13471
12385,9419
12267,10718
13896,12197
9767,1065
6232,11308
10158,9492
3625,11454
5969,4370
10190,5700
10381,3078
8150,7263
8256,8270
10872,5558
14088,5349
11542,11144
13150,2134
10646,1429
13394,3306
9670,6073
8716,9919
13203,8127
4409,10034
9223,7487
11657,3930
14204,13102
10732,10622
5438,13020
13637,9459
12722,9524
6066,8618
9470,3606
10985,1620
10113,5553
9999,10339
10546,3320
10057,5472
11188,5700
8058,7896
2727,6770
8154,7767
4601,1478
13228,5981
7432,4743
6692,10053
4987,9175
12046,3168
7429,6809
8596,7796
13417,5395
13678,5348
13181,5928
13655,12184
14089,12726
10673,885
12353,2894
13718,3229
11936,3354
12132,11301
12247,3259
14100,8092
8883,4504
13570,4018
9058,6448
7685,12211
12078,11686
8504,8751
7739,7579
13555,3136
13036,3733
10616,9853
12282,11492
12665,11572
10118,10886
12418,1478
13157,3347
11980,2309
12409,2964
13158,3960
10984,1443
3380,7759
10617,11136
5211,10565
3108,1868
5844,5562
9395,2380
7837,2240
5389,1527
5780,6064
3387,4274
7692,6917
8468,7696
1128,10503
6380,6029
2539,1425
11568,1641
12610,3094
10750,1989
4903,5010
9084,6515
3778,8122
5766,6065
12956,5445
8056,7475
9486,6301
5962,1538
1818,11554
10176,9438
4912,8475
1734,1282
9272,891
5339,4963
6173,5930
2870,7900
5846,9198
3885,4073
13434,4098
13212,2914
13436,4671
8222,10106
4041,12588
6065,2081
1934,1149
12921,3261
13262,4678
8817,7670
13803,3235
12226,6493
13293,5321
12501,12683
5111,13693
4146,13340
4176,3692
4529,870
10801,1213
10386,1317
7016,1260
2871,5780
12564,1559
6719,9631
13868,3682
7768,7798
12229,8058
12535,2541
8265,8670
13775,5254
13320,12190
5445,11292
11101,1069
1065,6950
2424,3136
10125,8461
5726,10899
8547,10047
11876,10707
12325,12632
11365,1107
7029,6521
5942,6696
10219,8722
6012,6070
3762,3059
1956,3590
2647,1869
3613,9314
1931,1839
9363,1218
8636,5870
7400,7460
7115,9438
8361,2089
10815,890
13649,3388
13220,4521
12393,3021
9238,2053
11345,3530
10216,6584
13546,12065
9294,822
8609,4257
8843,3397
6782,6370
9090,5683
1599,2470
14080,4345
11648,1724
10942,907
8696,6653
8722,3789
6082,5077
5266,9220
11453,9993
9162,8933
9497,5521
4837,8000
4840,4212
8943,5512
4163,2598
4156,9688
7416,2461
11379,6196
10824,2565
6024,6208
6448,6314
8495,6315
10174,908
6909,1098
4116,837
9182,9640
4016,3569
11231,1308
10595,850
9399,904
4016,1418
985,8112
10503,1495
10671,1092
5235,8523
8121,7811
8057,3373
7787,12334
10100,3101
3993,9908
1868,1524
3507,3355
13703,4571
9427,9625
13548,6391
4602,9733
6924,11397
12146,11534
7116,9909
7634,5985
7432,6778
5641,6483
11031,10517
13491,4258
13755,7697
8218,10371
8533,6041
11473,3343
10237,5482
10132,5548
9570,3221
6676,11352
8654,10177
6338,6233
2500,13070
8645,9068
8928,1631
12332,3295
7765,8431
5582,5708
4973,5766
13509,4507
12935,2384
12579,1911
11173,4830
6936,6829
5903,6886
8729,8248
8153,7759
11674,5932
10695,10479
8559,3834
2949,2174
10358,10122
11812,12378
9722,3908
11808,2402
13791,3109
9986,2392
9522,11155
2010,11576
8268,7261
8560,5808
6761,12957
7036,3965
3966,7225
13763,5457
12954,3391
13710,4163
13296,3839
13829,4330
9693,7362
9946,11017
9619,4099
10503,1137
7518,3647
7065,1298
2674,13092
13000,2266
7233,7509
8908,8755
6411,8534
10554,4965
10563,12627
1725,10877
1680,7314
1264,1898
5522,5783
5325,8840
6063,1540
3115,7527
6296,4422
11720,5456
5924,9088
9220,8446
8454,8447
893,5808
2999,5179
8718,6710
6648,7022
5856,5507
13237,3730
6463,6504
8203,8307
4806,6899
9948,6236
5768,5396
8318,8382
752,6795
6430,12748
4821,6924
13832,3577
4924,3964
9583,4338
13042,1993
11746,3730
9951,883
1392,2152
13196,3019
13095,2637
13362,4217
3052,2155
6480,5982
4292,564
9238,8900
10756,2562
11339,4128
11602,1428
5980,5830
4678,4774
10972,1255
6089,858
4679,4919
4937,2973
5969,5943
5296,2959
9581,944
10946,4889
10006,5050
13359,5538
13658,7514
6741,12972
13954,12119
11989,12883
13115,4046
10646,5441
7543,1038
2712,4623
1222,859
7993,1623
3995,1201
3953,4515
10920,1617
13769,3719
10243,1212
11400,5744
10384,10342
3602,10614
4642,7704
10189,808
13052,1937
10468,861
7415,4827
7787,3729
3524,10672
2383,10037
7903,6855
1706,6503
1664,2170
10490,5271
11157,1879
5975,6739
10722,858
9199,2000
6165,13883
3675,1891
8814,8134
8566,9061
11471,1964
6387,6250
9667,1291
12482,12002
5665,11313
8689,8111
3484,9500
5767,13197
9324,8820
5823,5597
7005,13800
12048,12406
13034,3056
14044,4714
8826,6214
7312,6938
8096,6870
7882,11843
9989,9664
11116,5370
12367,11496
4159,4734
4792,5314
10081,5734
13230,3324
6835,9767
4787,7573
1036,7981
6583,6159
7564,2800
10068,9410
7782,8112
8745,8587
9288,9631
9229,8499
8054,7682
8551,8232
9622,9051
8547,8247
8411,5567
13068,3575
6172,9088
10837,10052
7101,13872
9846,10418
12406,13717
13882,3874
12254,2951
9283,9615
9788,11405
10440,11070
8689,5345
13996,4425
14044,4587
12064,2353
11216,4849
7333,7522
8324,7890
6008,7351
5325,11360
9822,9214
13977,10755
12015,11444
11909,2295
11535,2014
2740,1253
4679,1912
1562,2159
11946,1593
12110,2970
6405,6555
3523,11613
8254,6966
10204,8736
11683,1150
12124,10537
13613,4025
14014,4572
13987,9753
13990,4920
13863,10203
6385,2901
1824,5041
7655,12035
9570,9709
10462,2214
10184,1523
12766,2067
13140,2182
13050,4120
6824,6402
5491,5998
747,8000
5945,7262
4411,6284
1906,1711
10484,876
10386,894
10515,880
6792,6776
6836,7199
1101,10527
7492,8409
4403,4776
13277,6354
10969,12976
13288,5220
12131,2657
12741,3273
8974,9963
10773,14085
13182,11562
13867,5084
13072,11092
12022,2099
11154,1148
10865,1212
11160,1879
6645,6308
5832,7180
7812,5046
8384,6026
7422,952
4628,1159
13517,2865
7374,1607
10942,1210
11081,1697
9744,833
12099,1353
12276,5194
7442,1596
10499,3347
7820,6728
8826,9264
10239,5434
13776,14016
8498,8662
11328,1734
11777,1318
11836,7502
7484,2510
5516,7618
9731,2402
6694,7931
3658,3396
2395,2040
13846,8490
5196,9048
8395,6657
6242,9421
4343,9995
4404,3096
14056,4712
12916,3224
13738,3323
5167,5578
11670,11042
12755,1663
11987,2133
6804,1158
2645,3481
13511,3992
12386,5134
1020,1382
11030,2072
4062,4911
3608,9762
4256,4313
1575,4029
13516,4367
11238,4360
7346,6898
14020,4559
5974,1795
11387,3249
3623,819
1502,6024
600,859
8684,8027
7876,8518
11147,11061
11822,12713
12816,11602
7535,7957
13497,13706
5741,12840
11518,1446
13268,3682
4263,4978
5931,4418
891,1400
5457,3257
8202,8447
8701,9092
6692,13883
12946,3108
8124,6381
5801,6190
7047,6709
8510,6454
6258,6347
9248,8720
4047,4207
5008,7895
9924,9664
6628,6388
9561,5375
7646,1145
6320,1626
3396,3906
11677,1063
8110,6501
13690,2922
6045,7120
7470,3698
9839,9890
5846,5393
7529,2771
1353,1140
12025,11505
13415,4666
13146,2991
8996,8859
13475,4146
7986,11884
7038,9020
8334,7881
7836,7937
10849,980
10781,1757
10261,937
5926,6757
5364,1651
8778,5841
4674,5442
1128,864
13999,4577
4234,7405
11997,7479
8972,13456
13687,13762
5842,8365
8363,10359
9100,9464
13862,4938
13358,4053
13778,3420
9155,5647
6109,4270
3284,9091
3988,766
11200,1400
11460,9646
11643,1038
12220,3018
9259,2086
12977,2861
12458,1404
7524,2620
9219,1631
3592,4100
10158,5038
5334,1983
7698,6669
10836,11850
4169,4448
1700,710
13327,6516
11798,2155
8969,6540
3473,13204
9257,9216
6664,7296
10725,10994
6921,13158
12732,13744
6743,6644
8120,5013
6589,6142
6466,6938
4864,5006
6507,6530
8856,4221
11055,5093
7700,7997
9985,9311
11122,5808
10396,10014
5666,5566
2917,3105
7758,11746
10637,1482
10628,859
11059,1152
10824,864
10378,884
12274,2370
12382,6154
10722,7158
13475,4015
4905,4394
14084,4358
10836,991
5900,7044
7420,7352
10786,10506
10112,9689
6376,1576
7366,7274
6446,7203
7293,9875
12470,5903
7129,6538
8279,7918
9446,9327
12724,9474
13902,12131
12231,2156
11586,6708
11221,5849
8508,10534
10351,9768
11751,9728
11383,3549
7589,11538
5930,10656
14008,11966
8891,11333
12289,2102
11811,1179
11075,3806
11443,8284
13898,6632
6644,11388
7993,7753
8607,9105
8501,8485
10037,9935
7388,13724
6258,10173
13727,9413
13816,8750
9699,13384
11739,1741
13034,6936
14100,7113
11616,1937
11981,2283
11384,1703
10522,858
11291,1310
8356,1245
5928,6156
6630,6608
3108,7124
3568,3860
5153,4722
1450,2374
11790,1133
6051,6373
6641,6514
4797,7336
4682,9956
13602,3481
6366,8019
8469,8839
6749,11491
1320,8322
11558,6250
13291,3983
11386,6428
10950,11432
8854,9974
7077,7626
11984,1818
9427,9249
5132,7800
4554,7548
7649,8100
10092,8999
10809,5323
2962,2682
10863,1393
7618,5944
8932,4176
7116,917
3674,2907
4793,4951
11620,1911
10372,808
7108,6926
7278,9780
6538,4579
4175,4544
10983,2330
8496,1350
8032,7743
9509,9501
5088,863
10628,1467
13202,2124
9636,1294
10408,2621
13112,4968
3988,3692
11002,7658
9970,8242
4766,8972
1720,2076
1795,1298
10601,1339
11625,1725
6318,9646
2569,12767
4807,8149
2437,792
1944,1130
8332,7989
8974,8762
8352,13589
12519,12564
14237,14340
5666,8762
4572,4485
8090,8310
9410,3305
13650,3244
9813,9971
5598,5950
11496,7026
12178,12778
12131,12834
13891,5002
9004,9222
10622,10959
14086,6495
3489,9340
13552,3025
13235,2211
4984,8336
7107,7014
3598,9382
6982,5015
5126,4630
12926,9410
13302,3141
13476,3286
11160,3328
5550,6106
6739,6638
13454,2984
13252,3966
11056,3464
1288,5982
10030,824
11159,3256
8631,971
5650,5796
5689,6073
11444,3552
6080,6151
8456,5963
7060,7650
7717,10013
10715,1796
12126,2201
12114,4756
13522,2800
13738,6508
11810,6924
11304,11033
13777,13148
11066,1585
12759,1933
13403,3161
11308,4770
5794,5885
10963,1431
6985,9647
8372,3658
6608,3164
11829,1252
9375,1116
10441,885
12496,2309
7423,7718
2939,9491
6283,4485
6602,7453
1348,6760
3982,3413
2097,1331
8648,7823
8141,7662
8795,8069
9169,9972
8000,8057
10746,11438
13017,11237
6922,11533
8410,7932
8490,6228
8016,10652
7669,7456
6667,11474
11705,10541
8497,805
12389,2842
9392,10079
12114,1770
10852,981
11213,1194
12445,1631
13545,2694
10171,808
6324,922
9094,6380
1022,2928
13089,3447
7119,13357
11927,10365
11996,12779
7410,9852
14158,14347
5888,5310
9126,1487
8664,8379
7340,13451
11014,12814
