x,y
10061,957
12188,7921
10687,3249
9935,961
7735,6860
7441,3140
7534,3153
5142,1317
6332,2371
2090,2287
7339,5027
13037,3069
10987,2018
8205,1497
5453,9213
11350,7202
13515,3688
11708,2196
13455,4463
13164,4704
14075,7376
13323,7830
9844,11252
11492,11928
13477,12325
10892,2036
1296,11363
6146,10013
9154,6468
10995,5395
13085,4484
12820,2230
13170,3202
7193,6948
8410,7832
8578,6177
12340,7262
11221,1035
13589,9017
8410,7990
12081,1437
9041,7586
10903,4338
9810,5338
2802,6253
1094,3885
4035,3957
4023,3219
13357,3657
8512,8370
8518,7494
4818,5303
5841,8635
5049,4611
8698,8907
4758,8072
9028,8362
5290,2628
13822,3445
11434,4243
6356,9086
6839,7485
8270,6940
6795,9172
11889,12296
9124,1585
13452,2643
9224,8668
5926,5201
1647,4612
12538,2467
7443,11574
13405,7198
5381,9271
14182,13877
12690,11324
9825,4808
6685,7522
5998,6769
4044,10448
7978,8122
8777,8781
1199,5461
11181,1020
13669,3001
12820,1754
10258,1113
7004,5618
8023,7556
7243,3611
5192,4735
10630,10257
7534,8395
4257,3992
4265,9731
7663,7125
2897,11186
4485,4300
2443,1991
13709,4754
6944,8254
6436,8846
11572,1300
11406,1044
6644,11367
11612,10866
13016,3052
13032,1868
12111,6453
12188,2653
11778,2301
12119,11265
13397,3230
13415,4243
13031,1913
11872,3741
13158,3729
12528,5653
9608,9476
8475,8873
12002,12562
13255,4270
3983,11591
11902,2702
13499,2830
12700,2568
8164,7844
6053,7380
5321,4870
4180,3617
5173,2296
9974,10029
12019,7132
12488,7233
4302,5056
12137,2195
5193,10757
7817,5160
5283,9517
4722,4030
1511,8706
3316,10511
13494,8258
13520,2800
12190,2679
4094,9878
11717,1499
8173,3492
5703,5820
6596,1174
4458,10000
1362,2437
10848,3284
12772,3250
6952,6826
6719,7389
10751,3477
9998,10141
9394,9633
11300,3367
11587,1389
9511,2485
12935,3110
13384,2752
11771,1794
5743,3567
6381,6126
7093,8025
10054,6317
