date,Aatrox,Ahri,Akali,Alistar,Amumu,Anivia,Annie,Ashe,Aurelion Sol,Azir,Bard,Blitzcrank,Brand,Braum,Caitlyn,Camille,Cassiopeia,Cho'Gath,Corki,Darius,Diana,Dr. Mundo,Draven,Ekko,Elise,Evelynn,Ezreal,Fiddlesticks,Fiora,Fizz,Galio,Gangplank,Garen,Gnar,Gragas,Graves,Hecarim,Heimerdinger,Illaoi,Irelia,Ivern,Janna,Jarvan IV,Jax,Jayce,Jhin,Jinx,Kalista,Karma,Karthus,Kassadin,Katarina,Kayle,Kayn,Kennen,Kha'Zix,Kindred,Kled,Kog'Maw,LeBlanc,Lee Sin,Leona,Lissandra,Lucian,Lulu,Lux,Malphite,Malzahar,Maokai,Master Yi,Miss Fortune,Mordekaiser,Morgana,Nami,Nasus,Nautilus,Nidalee,Nocturne,Nunu,Olaf,Orianna,Ornn,Pantheon,Poppy,Quinn,Rakan,Rammus,Rek'Sai,Renekton,Rengar,Riven,Rumble,Ryze,Sejuani,Shaco,Shen,Shyvana,Singed,Sion,Sivir,Skarner,Sona,Soraka,Swain,Syndra,Tahm Kench,Taliyah,Talon,Taric,Teemo,Thresh,Tristana,Trundle,Tryndamere,Twisted Fate,Twitch,Udyr,Urgot,Varus,Vayne,Veigar,Vel'Koz,Vi,Viktor,Vladimir,Volibear,Warwick,Wukong,Xayah,Xerath,Xin Zhao,Yasuo,Yorick,Zac,Zed,Ziggs,Zilean,Zyra
1,500.66,501.45,500.98,500.84,500.73,502.2,501.9,502.82,500.14,500.47,503.92,503.93,502.63,501.65,501.16,501.66,502.62,501.27,501.59,501.05,500.33,502.32,502.83,501.15,501.89,501.2,503.1,501.45,501.73,502.15,501.39,501.62,500.71,501.39,500.99,502.52,501.73,501.24,500.47,500.52,501.8,500.57,501.41,501.03,501.69,502.22,501.98,502.84,502.34,500.97,501.01,500.89,501.74,501.66,501.03,502.1,500.8,502.38,501.59,501.27,504.2,501.17,500.9,502.26,501.47,502.17,500.67,501.14,501.02,502.34,502.59,501.12,503.89,501.06,500.39,501.89,502.11,501.67,501.82,501.04,501.43,500.67,501.52,501.65,501.76,500.92,501.03,501.48,501.17,502.88,501.69,502.18,500.76,500.38,500.76,501.74,501.42,500.98,502.33,501.76,503.89,500.97,500.38,500.58,502.02,501.29,501.94,501.55,501.23,501.33,502.14,501.97,501.83,501.13,502.39,502.11,502.06,502.2,502.07,501.92,501.06,501.94,501.24,501.79,501.06,501.83,501.9,501.93,501.78,501.66,500.59,501.53,501.72,500.83,501.69,501.66,501.13,501.76
2,537.15,555.97,536.41,510.82,583.13,548.75,549.07,516.82,562.07,558.88,514.66,517.79,529.01,513.41,515.44,522.16,555.6,544.27,553.85,518.35,558.98,544.61,520.47,555.74,584.6,591.26,528.54,551.96,519.05,553.92,538.11,531.81,518.02,518.56,561.11,577.05,583.69,554.14,514.51,518.33,544.0,504.56,569.56,550.99,527.11,516.71,516.52,522.75,519.32,549.85,544.55,549.91,530.93,594.53,526.69,595.11,586.09,520.01,519.37,551.93,600.02,513.3,550.3,525.71,509.13,541.7,521.51,545.32,554.43,595.95,516.44,528.64,520.88,506.97,515.67,521.07,579.27,593.83,574.28,556.55,555.8,528.72,530.12,529.98,531.21,505.77,582.67,594.83,519.5,587.0,523.47,524.98,541.64,572.07,588.25,522.83,593.31,545.68,520.78,516.39,597.32,507.48,505.18,529.41,553.66,515.32,562.78,556.38,512.74,522.26,509.04,515.87,540.16,531.8,562.34,534.38,587.65,525.1,519.19,516.7,542.75,543.8,591.46,553.76,536.81,568.99,592.72,550.89,515.24,552.1,576.53,544.32,520.86,579.34,556.46,551.59,518.49,514.08
3,822.83,841.16,808.6,703.0,911.1,821.66,831.4,829.58,849.03,852.64,725.85,721.29,766.05,709.27,828.24,806.69,874.85,838.37,867.05,829.76,851.17,848.72,856.83,837.15,902.7,902.38,852.09,852.33,821.48,824.19,816.5,838.04,794.72,806.69,863.25,902.78,901.25,839.4,784.73,805.4,841.41,705.34,882.41,852.13,838.59,840.72,828.74,865.93,741.98,837.17,824.61,835.81,808.26,930.24,816.49,915.66,913.26,807.62,820.39,833.12,918.33,719.09,843.36,849.89,720.63,801.77,781.39,818.23,836.71,931.29,815.76,821.64,731.72,709.78,774.67,744.21,894.65,919.41,868.05,876.28,848.43,794.97,820.95,802.76,837.91,709.28,892.22,931.72,819.98,914.19,805.04,807.08,832.31,886.02,897.46,797.04,921.97,807.74,789.15,831.54,924.25,716.01,711.7,802.33,842.93,735.78,854.96,890.38,718.28,805.53,716.54,828.48,842.96,835.5,879.55,846.42,904.12,818.74,828.84,820.53,800.01,810.11,919.79,847.06,835.93,860.32,917.52,846.17,823.39,823.09,883.2,863.99,800.75,874.55,840.86,842.48,741.26,718.79
4,1159.71,1138.02,1111.84,924.19,1209.39,1119.7,1121.76,1148.25,1128.52,1154.05,942.53,951.92,1038.02,921.25,1154.27,1125.86,1187.2,1154.19,1178.72,1155.06,1154.92,1168.28,1208.18,1136.9,1249.88,1215.84,1194.36,1151.76,1147.04,1142.16,1105.61,1166.54,1091.92,1100.22,1193.83,1245.98,1233.74,1152.72,1100.71,1144.92,1181.56,922.06,1201.62,1185.66,1155.75,1174.33,1147.31,1214.05,975.8,1138.67,1149.41,1170.63,1092.95,1256.01,1120.72,1268.61,1237.67,1123.55,1143.47,1151.93,1266.85,958.28,1148.65,1185.05,949.35,1077.43,1062.31,1100.97,1142.16,1280.17,1128.49,1157.83,961.9,929.75,1084.44,992.39,1237.81,1255.29,1187.64,1208.47,1158.82,1080.17,1148.4,1103.91,1157.38,929.99,1211.45,1291.37,1151.06,1224.55,1126.21,1128.19,1131.01,1203.09,1233.81,1098.65,1251.56,1086.72,1091.13,1149.0,1260.4,934.3,931.12,1097.51,1154.82,965.92,1169.78,1201.36,954.3,1104.69,942.44,1153.62,1157.54,1155.68,1220.05,1169.61,1245.06,1134.04,1153.75,1141.11,1070.76,1098.21,1253.54,1160.79,1158.33,1182.43,1264.55,1151.33,1148.43,1123.72,1236.19,1180.09,1120.38,1179.55,1166.78,1144.32,976.28,945.03
5,1472.79,1444.44,1412.82,1156.45,1487.6,1411.23,1414.79,1464.3,1433.28,1461.52,1166.32,1178.71,1307.57,1138.58,1482.18,1430.48,1505.93,1457.59,1498.22,1484.59,1452.73,1484.72,1565.48,1447.35,1551.34,1520.64,1524.2,1439.55,1470.06,1442.21,1397.25,1484.69,1392.52,1409.19,1495.82,1548.53,1536.36,1476.71,1414.05,1477.48,1470.15,1149.53,1511.14,1496.47,1476.2,1512.2,1467.28,1567.06,1215.89,1453.84,1467.57,1492.28,1386.61,1556.86,1426.45,1579.38,1536.97,1443.06,1467.89,1465.52,1577.05,1192.34,1464.98,1523.69,1182.99,1360.09,1332.0,1392.74,1423.44,1592.07,1438.04,1490.54,1199.28,1152.62,1382.11,1240.82,1555.25,1564.17,1473.2,1514.82,1476.54,1356.72,1456.33,1389.67,1468.73,1158.45,1494.84,1603.11,1487.99,1532.79,1444.76,1450.64,1425.45,1490.4,1535.71,1395.51,1553.86,1383.14,1389.51,1468.93,1557.76,1158.55,1161.45,1390.09,1474.6,1199.19,1487.75,1517.23,1184.74,1407.33,1168.8,1481.84,1454.2,1469.2,1563.36,1485.36,1553.86,1454.0,1478.59,1460.63,1350.22,1387.43,1553.58,1479.42,1484.49,1483.26,1584.77,1452.44,1471.11,1428.0,1553.98,1509.58,1424.97,1458.01,1495.22,1449.3,1213.7,1178.28
6,1768.96,1736.18,1699.87,1368.36,1770.38,1682.82,1690.31,1751.86,1726.73,1749.27,1380.86,1391.77,1560.21,1342.99,1779.9,1714.35,1806.29,1739.7,1796.12,1787.87,1742.97,1789.04,1893.79,1748.28,1839.41,1823.56,1823.98,1699.91,1773.62,1736.52,1678.28,1789.95,1670.99,1699.06,1784.15,1841.23,1833.1,1782.39,1703.41,1781.39,1725.13,1366.61,1805.87,1785.3,1787.0,1817.23,1761.96,1893.91,1447.54,1755.64,1767.62,1806.81,1663.2,1856.5,1722.03,1878.03,1813.39,1744.04,1771.45,1766.32,1879.15,1410.78,1761.51,1838.56,1401.4,1627.13,1590.2,1674.91,1694.5,1892.62,1728.47,1801.77,1428.65,1363.6,1655.87,1472.62,1858.85,1862.89,1740.11,1814.05,1773.8,1617.09,1742.91,1658.46,1765.04,1376.31,1776.88,1911.15,1793.31,1836.62,1742.52,1748.72,1715.27,1773.26,1808.96,1664.73,1852.11,1669.66,1665.79,1768.92,1845.94,1371.77,1373.38,1671.67,1775.7,1426.48,1788.44,1819.54,1401.53,1688.53,1382.69,1785.96,1728.84,1764.49,1892.08,1777.69,1829.91,1740.9,1778.85,1756.44,1611.0,1665.18,1838.21,1774.84,1784.39,1757.59,1872.83,1736.76,1774.5,1714.95,1836.84,1820.32,1709.35,1729.85,1808.98,1743.14,1447.47,1410.55
7,2097.88,2042.94,2020.89,1598.56,2051.9,1994.73,1991.01,2060.86,2024.79,2040.69,1610.24,1619.53,1833.76,1562.09,2102.25,2018.99,2124.03,2040.77,2106.98,2114.25,2052.11,2107.7,2261.57,2053.77,2130.88,2123.91,2149.78,1972.29,2093.51,2062.21,1966.28,2141.61,1983.73,2016.93,2076.38,2147.23,2132.39,2104.85,2019.33,2117.6,1982.83,1591.27,2113.09,2090.42,2111.81,2149.21,2078.24,2248.9,1687.15,2096.29,2089.27,2138.62,1952.42,2155.54,2046.94,2176.19,2099.57,2065.39,2099.42,2092.79,2183.05,1646.46,2082.43,2177.28,1629.38,1912.35,1871.3,1971.72,1972.65,2194.68,2043.84,2132.37,1669.38,1583.77,1956.18,1716.81,2166.46,2169.11,2011.42,2121.46,2086.76,1895.72,2060.41,1945.31,2080.23,1603.9,2062.34,2223.06,2135.93,2155.17,2078.79,2077.21,2003.3,2057.43,2091.21,1952.79,2152.05,1973.42,1966.94,2090.26,2149.73,1594.51,1597.3,1974.5,2107.54,1666.63,2104.66,2144.98,1630.31,1984.59,1611.36,2113.4,2021.56,2078.63,2228.45,2093.58,2121.1,2059.71,2104.59,2070.59,1899.61,1973.23,2124.44,2079.98,2107.32,2044.07,2164.61,2039.04,2099.36,2026.71,2119.39,2138.86,2038.46,2010.44,2146.9,2053.24,1685.63,1650.47
8,2424.55,2367.4,2344.37,1835.18,2339.94,2327.83,2297.19,2372.73,2345.44,2342.93,1845.77,1853.23,2113.59,1783.51,2427.92,2322.12,2457.73,2346.91,2437.89,2439.06,2376.87,2433.31,2639.67,2375.33,2439.62,2427.79,2474.84,2265.62,2412.95,2383.94,2261.18,2486.64,2292.97,2334.44,2373.47,2466.65,2431.84,2437.8,2342.72,2447.57,2272.19,1819.61,2432.05,2400.25,2445.19,2493.97,2399.56,2607.14,1938.61,2458.94,2420.21,2484.79,2243.34,2462.94,2365.62,2491.44,2404.57,2389.4,2425.57,2423.19,2506.04,1881.12,2409.73,2523.47,1863.74,2209.38,2153.94,2295.94,2260.46,2517.07,2361.81,2466.34,1919.29,1807.63,2264.61,1964.57,2478.33,2500.27,2308.56,2447.61,2418.24,2177.0,2374.58,2230.54,2393.28,1836.99,2353.0,2547.7,2485.39,2475.03,2408.37,2407.69,2299.0,2350.11,2394.68,2240.92,2481.31,2293.74,2267.12,2422.7,2456.33,1820.57,1822.91,2286.8,2453.71,1910.15,2433.85,2492.17,1863.37,2282.21,1843.37,2447.38,2328.52,2399.7,2578.98,2412.74,2427.56,2371.85,2433.6,2385.13,2199.4,2284.91,2442.08,2413.7,2430.25,2349.64,2493.38,2348.33,2432.09,2341.9,2427.75,2468.3,2366.95,2292.47,2490.22,2375.91,1939.78,1898.23
9,2756.84,2693.74,2676.48,2067.88,2646.48,2662.58,2615.82,2684.08,2667.89,2648.17,2093.46,2095.4,2409.79,2010.67,2753.56,2627.38,2789.4,2661.56,2767.78,2759.79,2712.63,2753.55,3023.79,2701.64,2769.4,2748.93,2803.71,2588.34,2723.31,2723.15,2561.43,2828.14,2607.57,2651.11,2684.09,2807.79,2762.7,2771.86,2668.55,2783.01,2583.65,2051.32,2768.86,2721.74,2775.54,2838.18,2724.33,2956.63,2194.62,2804.03,2751.7,2831.95,2538.17,2790.2,2680.83,2826.69,2724.46,2709.8,2743.25,2749.17,2839.3,2121.38,2743.63,2873.43,2101.66,2509.44,2443.36,2622.76,2561.32,2860.23,2689.46,2821.77,2178.6,2043.01,2564.0,2212.65,2814.7,2855.68,2621.9,2776.78,2753.2,2457.81,2700.01,2519.91,2720.42,2078.24,2659.7,2895.36,2829.69,2807.77,2738.21,2725.72,2596.74,2667.04,2712.77,2529.09,2837.48,2620.3,2565.93,2746.52,2782.57,2060.79,2054.27,2592.63,2799.87,2155.45,2762.46,2833.35,2096.93,2579.14,2076.38,2783.26,2634.94,2721.01,2934.62,2737.29,2760.48,2679.81,2763.96,2699.26,2498.49,2605.59,2770.94,2747.94,2746.47,2665.75,2835.15,2661.78,2770.0,2666.34,2741.08,2799.27,2686.84,2591.12,2838.94,2706.87,2202.72,2166.82
10,3113.85,3035.66,3029.97,2322.35,2970.37,3008.64,2943.89,3017.08,3006.44,2954.97,2352.57,2357.7,2708.81,2255.56,3106.79,2967.08,3134.67,2996.52,3136.38,3111.24,3073.08,3102.46,3444.33,3036.4,3114.47,3088.53,3156.54,2919.31,3066.59,3073.25,2876.77,3199.47,2945.23,2994.82,3016.28,3175.47,3116.26,3121.65,3021.76,3139.86,2892.8,2295.84,3128.51,3073.66,3143.73,3207.6,3077.44,3335.98,2460.77,3160.23,3101.18,3186.18,2854.31,3128.41,3026.51,3183.96,3063.25,3056.9,3091.69,3090.01,3183.81,2383.36,3081.48,3244.63,2348.55,2823.85,2754.9,2963.55,2880.64,3223.73,3049.62,3187.44,2454.04,2288.84,2900.51,2488.92,3171.39,3223.41,2954.03,3124.71,3093.96,2762.45,3045.39,2831.67,3060.87,2332.68,2992.65,3248.87,3203.13,3163.49,3092.53,3069.71,2910.84,3006.26,3043.85,2835.28,3207.75,2977.99,2890.5,3099.1,3125.07,2319.89,2302.75,2922.75,3157.75,2421.2,3097.72,3181.52,2349.4,2898.94,2326.84,3141.77,2969.56,3070.85,3300.03,3085.54,3108.57,3013.96,3121.8,3040.12,2820.24,2938.12,3118.38,3085.0,3086.27,3009.82,3190.82,2999.24,3132.34,2999.15,3071.74,3144.11,3037.07,2902.45,3200.94,3063.85,2470.59,2448.12
