Level0;Level1;Level2;;;;;;;;;;;;;;;;
Arte, cultura, intrattenimento ; Archeologia;;;;;;;;;;;;;;;;;
Arte, cultura, intrattenimento ; Architettura;;;;;;;;;;;;;;;;;
Arte, cultura, intrattenimento ; Corrida;;;;;;;;;;;;;;;;;
Arte, cultura, intrattenimento ; Feste, Carnevale;;;;;;;;;;;;;;;;;
Arte, cultura, intrattenimento ; Cinema ; Festival Cinema;;;;;;;;;;;;;;;;
Arte, cultura, intrattenimento ; Cinema ; Festival Cinema;;;;;;;;;;;;;;;;
Arte, cultura, intrattenimento ; Ballo;;;;;;;;;;;;;;;;;
Arte, cultura, intrattenimento ; Moda ; Gioielli;;;;;;;;;;;;;;;;
Arte, cultura, intrattenimento ; Moda ; Gioielli;;;;;;;;;;;;;;;;
Arte, cultura, intrattenimento ; Linguaggio;;;;;;;;;;;;;;;;;
Arte, cultura, intrattenimento ; Biblioteche, musei;;;;;;;;;;;;;;;;;
Arte, cultura, intrattenimento ; Letteratura ; Poesia;;;;;;;;;;;;;;;;
Arte, cultura, intrattenimento ; Letteratura ; Narrativa;;;;;;;;;;;;;;;;
Arte, cultura, intrattenimento ; Letteratura ; Poesia;;;;;;;;;;;;;;;;
Arte, cultura, intrattenimento ; Musica ; hip/hop;;;;;;;;;;;;;;;;
Arte, cultura, intrattenimento ; Musica ; Classica;;;;;;;;;;;;;;;;
Arte, cultura, intrattenimento ; Musica ; Folk;;;;;;;;;;;;;;;;
Arte, cultura, intrattenimento ; Musica ; Jazz;;;;;;;;;;;;;;;;
Arte, cultura, intrattenimento ; Musica ; Pop;;;;;;;;;;;;;;;;
Arte, cultura, intrattenimento ; Musica ; Country;;;;;;;;;;;;;;;;
Arte, cultura, intrattenimento ; Musica ; Rock and roll;;;;;;;;;;;;;;;;
Arte, cultura, intrattenimento ; Musica ; hip/hop;;;;;;;;;;;;;;;;
Arte, cultura, intrattenimento ; Pittura;;;;;;;;;;;;;;;;;
Arte, cultura, intrattenimento ; Fotografia;;;;;;;;;;;;;;;;;
Arte, cultura, intrattenimento ; Radio;;;;;;;;;;;;;;;;;
Arte, cultura, intrattenimento ; Scultura ; Arti plastiche;;;;;;;;;;;;;;;;
Arte, cultura, intrattenimento ; Scultura ; Arti plastiche;;;;;;;;;;;;;;;;
Arte, cultura, intrattenimento ; Televisione ; Soap Opera;;;;;;;;;;;;;;;;
Arte, cultura, intrattenimento ; Televisione ; Soap Opera;;;;;;;;;;;;;;;;
Arte, cultura, intrattenimento ; Teatro ; Musica a Teatro;;;;;;;;;;;;;;;;
Arte, cultura, intrattenimento ; Teatro ; Musica a Teatro;;;;;;;;;;;;;;;;
Arte, cultura, intrattenimento ; Monumenti, Siti storici;;;;;;;;;;;;;;;;;
Arte, cultura, intrattenimento ; Tradizioni;;;;;;;;;;;;;;;;;
Arte, cultura, intrattenimento ; Arti (generico);;;;;;;;;;;;;;;;;
Arte, cultura, intrattenimento ; Intrattenimento (generico) ; Premi;;;;;;;;;;;;;;;;
Arte, cultura, intrattenimento ; Intrattenimento (generico) ; Premi;;;;;;;;;;;;;;;;
Arte, cultura, intrattenimento ; Cultura (generico) ; Sviluppo culturale;;;;;;;;;;;;;;;;
Arte, cultura, intrattenimento ; Cultura (generico) ; Sviluppo culturale;;;;;;;;;;;;;;;;
Arte, cultura, intrattenimento ; Locali notturni;;;;;;;;;;;;;;;;;
Arte, cultura, intrattenimento ; Fumetti;;;;;;;;;;;;;;;;;
Arte, cultura, intrattenimento ; Animazione;;;;;;;;;;;;;;;;;
Arte, cultura, intrattenimento ; Mass Media ; Recensioni;;;;;;;;;;;;;;;;
Arte, cultura, intrattenimento ; Mass Media ; Periodici;;;;;;;;;;;;;;;;
Arte, cultura, intrattenimento ; Mass Media ; Mezzi informazione;;;;;;;;;;;;;;;;
Arte, cultura, intrattenimento ; Mass Media ; Giornali;;;;;;;;;;;;;;;;
Arte, cultura, intrattenimento ; Mass Media ; Recensioni;;;;;;;;;;;;;;;;
Arte, cultura, intrattenimento ; Internet;;;;;;;;;;;;;;;;;
Arte, cultura, intrattenimento ; Storia;;;;;;;;;;;;;;;;;
Giustizia, Criminalità  ; Criminalità  ; terrorism;;;;;;;;;;;;;;;;
Giustizia, Criminalità  ; Criminalità  ; Omicidio;;;;;;;;;;;;;;;;
Giustizia, Criminalità  ; Criminalità  ; Crimini informatici;;;;;;;;;;;;;;;;
Giustizia, Criminalità  ; Criminalità  ; Furti, Rapine;;;;;;;;;;;;;;;;
Giustizia, Criminalità  ; Criminalità  ; Droga;;;;;;;;;;;;;;;;
Giustizia, Criminalità  ; Criminalità  ; Reati sessuali;;;;;;;;;;;;;;;;
Giustizia, Criminalità  ; Criminalità  ; Aggressioni (generico);;;;;;;;;;;;;;;;
Giustizia, Criminalità  ; Criminalità  ; Sequestri Persona;;;;;;;;;;;;;;;;
Giustizia, Criminalità  ; Criminalità  ; Incendi dolosi;;;;;;;;;;;;;;;;
Giustizia, Criminalità  ; Criminalità  ; Gang delinquenziali;;;;;;;;;;;;;;;;
Giustizia, Criminalità  ; Criminalità  ; terrorism;;;;;;;;;;;;;;;;
Giustizia, Criminalità  ; Giustizia ; Amministrazione giustizia;;;;;;;;;;;;;;;;
Giustizia, Criminalità  ; Giustizia ; Avvocatura;;;;;;;;;;;;;;;;
Giustizia, Criminalità  ; Giustizia ; Magistratura;;;;;;;;;;;;;;;;
Giustizia, Criminalità  ; Giustizia ; Amministrazione giustizia;;;;;;;;;;;;;;;;
Giustizia, Criminalità  ; Forze Ordine ; Arresto;;;;;;;;;;;;;;;;
Giustizia, Criminalità  ; Forze Ordine ; Corpi Polizia;;;;;;;;;;;;;;;;
Giustizia, Criminalità  ; Forze Ordine ; Indagine;;;;;;;;;;;;;;;;
Giustizia, Criminalità  ; Forze Ordine ; Arresto;;;;;;;;;;;;;;;;
Giustizia, Criminalità  ; Pena ; execution;;;;;;;;;;;;;;;;
Giustizia, Criminalità  ; Pena ; Multe, Ammende;;;;;;;;;;;;;;;;
Giustizia, Criminalità  ; Pena ; execution;;;;;;;;;;;;;;;;
Giustizia, Criminalità  ; Carceri;;;;;;;;;;;;;;;;;
Giustizia, Criminalità  ; Codici ; Civile;;;;;;;;;;;;;;;;
Giustizia, Criminalità  ; Codici ; Penale;;;;;;;;;;;;;;;;
Giustizia, Criminalità  ; Codici ; Civile;;;;;;;;;;;;;;;;
Giustizia, Criminalità  ; Giustizia e diritti ; Diritti civili;;;;;;;;;;;;;;;;
Giustizia, Criminalità  ; Giustizia e diritti ; Diritti civili;;;;;;;;;;;;;;;;
Giustizia, Criminalità  ; Processo ; Udienza preliminare;;;;;;;;;;;;;;;;
Giustizia, Criminalità  ; Processo ; Causa;;;;;;;;;;;;;;;;
Giustizia, Criminalità  ; Processo ; Arbitrato;;;;;;;;;;;;;;;;
Giustizia, Criminalità  ; Processo ; Udienza preliminare;;;;;;;;;;;;;;;;
Giustizia, Criminalità  ; Accusa ; Teste;;;;;;;;;;;;;;;;
Giustizia, Criminalità  ; Accusa ; Imputato;;;;;;;;;;;;;;;;
Giustizia, Criminalità  ; Accusa ; Teste;;;;;;;;;;;;;;;;
