Champion,Value at level 1,Growth coefficient,Value at 18
Aatrox,24.384,3.8,89
Ahri,20.88,3.5,80.4
Akali,26.38,3.5,85.9
Alistar,24.38,3.5,83.9
Amumu,23.544,3.8,88.1
Anivia,21.22,4,89.2
Annie,19.22,4,87.2
Ashe,21.212,3.4,79
Aurelion Sol,19,3.6,80.2
Azir,19.04,3,70
Bard,25,4,93
Blitzcrank,24.38,4,92.4
Brand,21.88,3.5,81.4
Braum,26.72,4.5,103.2
Caitlyn,22.88,3.5,82.4
Camille,26,3.8,90.6
Cassiopeia,25,3.5,84.5
Cho'Gath,28.88,3.5,88.4
Corki,23.38,3.5,82.9
Darius,30,4,98
Diana,26.048,3.6,87.2
Dr. Mundo,26.88,3.5,86.4
Draven,25.544,3.3,81.6
Ekko,27,3,78
Elise,22.128,3.35,79.1
Evelynn,28,3.5,87.5
Ezreal,21.88,3.5,81.4
Fiddlesticks,20.88,3.5,80.4
Fiora,24,3.5,83.5
Fizz,22.412,3.4,80.2
Galio,24,3.5,83.5
Gangplank,26,3,77
Garen,27.536,3,78.5
Gnar,23,2.5,65.5
Gragas,26.05,3.6,87.3
Graves,24.376,3.4,82.2
Hecarim,26.72,4,94.7
Heimerdinger,19.04,3,70
Illaoi,26,3.8,90.6
Irelia,25.3,3.75,89.1
Ivern,22,3.5,81.5
Janna,19.384,3.8,84
Jarvan IV,29,3.6,90.2
Jax,27.04,3,78
Jayce,22.38,3.5,81.9
Jhin,20,3.5,79.5
Jinx,22.88,3.5,82.4
Kalista,19.012,3.5,78.5
Karma,20.384,3.8,85
Karthus,20.88,3.5,80.4
Kassadin,23.376,3.2,77.8
Katarina,27.88,3.5,87.4
Kayle,26.88,3.5,86.4
Kayn,29,3.3,85.1
Kennen,24.3,3.75,88.1
Kha'Zix,27,3,78
Kindred,20,3.5,79.5
Kled,26,4,94
Kog'Maw,19.88,3.5,79.4
LeBlanc,21.88,3.5,81.4
Lee Sin,24.216,3.7,87.1
Leona,27.208,3.6,88.4
Lissandra,20.216,3.7,83.1
Lucian,24.04,3,75
Lulu,19.216,3.7,82.1
Lux,18.72,4,86.7
Malphite,28.3,3.75,92.1
Malzahar,18,3.5,77.5
Maokai,30,4,98
Master Yi,24.04,3,75
Miss Fortune,24.04,3,75
Mordekaiser,20,3.75,83.8
Morgana,25.384,3.8,90
Nami,19.72,4,87.7
Nasus,24.88,3.5,84.4
Nautilus,26.46,3.75,90.2
Nidalee,22.88,3.5,82.4
Nocturne,26.88,3.5,86.4
Nunu,23,3.5,82.5
Olaf,26.04,3,77
Orianna,17.04,3,68
Ornn,24.04,3,75
Pantheon,27.652,3.9,94
Poppy,29,3.5,88.5
Quinn,23.38,3.5,82.9
Rakan,24,3.9,90.3
Rammus,31.384,4.3,104.5
Rek'Sai,24,3.75,87.8
Renekton,25.584,3.8,90.2
Rengar,25,3,76
Riven,24.376,3.2,78.8
Rumble,25.88,3.5,85.4
Ryze,21.552,3,72.6
Sejuani,22,3,73
Shaco,24.88,3.5,84.4
Shen,25,3,76
Shyvana,29,3.35,86
Singed,27.88,3.5,87.4
Sion,23.04,3,74
Sivir,22.21,3.25,77.5
Skarner,29.384,3.8,94
Sona,20.544,3.3,76.6
Soraka,23.384,3.8,88
Swain,22.72,4,90.7
Syndra,24.712,3.4,82.5
Tahm Kench,27,3.5,86.5
Taliyah,20,3,71
Talon,26.88,3.5,86.4
Taric,25,3.4,82.8
Teemo,24.3,3.75,88.1
Thresh,16,0,16
Tristana,22,3,73
Trundle,27.536,2.7,73.4
Tryndamere,24.108,3.1,76.8
Twisted Fate,20.542,3.15,74.1
Twitch,23.04,3,74
Udyr,25.47,4,93.5
Urgot,30,4.25,102.3
Varus,23.212,3.4,81
Vayne,19.012,3.4,76.8
Veigar,22.55,3.75,86.3
Vel'Koz,21.88,3.5,81.4
Vi,25.88,3.5,85.4
Viktor,22.72,4,90.7
Vladimir,23,3.3,79.1
Volibear,26.38,3.5,85.9
Warwick,24.04,3.2,78.4
Wukong,24.88,3.5,84.4
Xayah,24,3,75
Xerath,21.88,3.5,81.4
Xin Zhao,25.88,3.5,85.4
Yasuo,24.712,3.4,82.5
Yorick,30,4,98
Zac,24,3.5,83.5
Zed,26.88,3.5,86.4
Ziggs,21.544,3.3,77.6
Zilean,19.134,3.8,83.7
Zyra,20.04,3,71
