Champion,Value at level 1,Growth coefficient,Value at 18
Aatrox,580,85,2025
Ahri,514.4,80,1874.4
Akali,587.8,85,2032.8
Alistar,613.36,106,2415.4
Amumu,613.12,84,2041.1
Anivia,467.6,70,1657.6
Annie,511.68,76,1803.7
Ashe,527.72,79,1870.7
Aurelion Sol,550,80,1910
Azir,540,80,1900
Bard,535,89,2048
Blitzcrank,582.6,95,2197.6
Brand,507.68,76,1799.7
Braum,576.16,87,2055.2
Caitlyn,475,85,1920
Camille,575.6,85,2020.6
Cassiopeia,525,75,1800
Cho'Gath,574.4,80,1934.4
Corki,512.76,82,1906.8
Darius,582.24,100,2282.2
Diana,589.2,90,2119.2
Dr. Mundo,582.52,89,2095.5
Draven,557.76,82,1951.8
Ekko,580,80,1940
Elise,529.4,80,1889.4
Evelynn,572,84,2000
Ezreal,484.4,80,1844.4
Fiddlesticks,524.4,80,1884.4
Fiora,550,85,1995
Fizz,558.48,86,2020.5
Galio,550,100,2250
Gangplank,540,82,1934
Garen,616.28,84.25,2048.5
Gnar,510,65,1615
Gragas,583.52,89,2096.5
Graves,551.12,84,1979.1
Hecarim,580.6,90,2110.6
Heimerdinger,476,75,1751
Illaoi,585.6,95,2200.6
Irelia,607.2,90,2137.2
Ivern,580,90,2110
Janna,500,70,1690
Jarvan IV,571.2,90,2101.2
Jax,592.8,85,2037.8
Jayce,571.2,90,2101.2
hin,540,85,1985
Jinx,517.76,82,1911.8
Kalista,517.76,83,1928.8
Karma,522.44,83,1933.4
Karthus,516,75,1791
Kassadin,564.04,78,1890
Katarina,590,82,1984
Kayle,574.24,93,2155.2
Kayn,585,85,2030
Kennen,535.72,79,1878.7
Kha'Zix,572.8,85,2017.8
Kindred,540,85,1985
Kled,340,70,1530
Kog'Maw,517.76,82,1911.8
LeBlanc,516,80,1876
Lee Sin,570.8,85,2015.8
Leona,576.16,87,2055.2
Lissandra,506.12,75,1781.1
Lucian,554.4,80,1914.4
Lulu,525,74,1783
Lux,477.72,79,1820.7
Malphite,574.2,90,2104.2
Malzahar,525,75,1800
Maokai,565,95,2180
Master Yi,598.56,92,2162.6
Miss Fortune,530,85,1975
Mordekaiser,525,73,1766
Morgana,547.48,86,2009.5
Nami,489.32,74,1747.3
Nasus,561.2,90,2091.2
Nautilus,576.48,86,2038.5
Nidalee,540,80,1900
Nocturne,582.8,85,2027.8
Nunu,535,85,1980
Olaf,597.24,93,2178.2
Orianna,517.72,79,1860.7
Ornn,565.64,90,2095.6
Pantheon,579.16,87,2058.2
Poppy,540,90,2070
Quinn,532.8,85,1977.8
Rakan,510,85,1955
Rammus,564.48,86,2026.5
Rek'Sai,570,85,2015
Renekton,572.16,87,2051.2
Rengar,586.2,90,2116.2
Riven,558.48,86,2020.5
Rumble,584.4,80,1944.4
Ryze,558.48,86,2020.5
Sejuani,560,95,2175
Shaco,582.12,84,2010.1
Shen,540,85,1985
Shyvana,594.6,95,2209.6
Singed,580,85,2025
Sion,542.64,73,1783.6
Sivir,515.76,82,1909.8
Skarner,601.28,90,2131.3
Sona,482.36,77,1791.4
Soraka,529.04,78,1855
Swain,516.04,90,2046
Syndra,511.04,78,1837
Tahm Kench,610,95,2225
Taliyah,520,75,1795
Talon,582.8,90,2112.8
Taric,575,90,2105
Teemo,515.76,82,1909.8
Thresh,560.52,93,2141.5
Tristana,542.76,82,1936.8
Trundle,616.28,96,2248.3
Tryndamere,625.64,98,2291.6
Twisted Fate,521.76,82,1915.8
Twitch,525.08,81,1902.1
Udyr,593.32,99,2276.3
Urgot,585,88,2081
Varus,537.76,82,1931.8
Vayne,498.44,83,1909.4
Veigar,492.76,82,1886.8
Vel'Koz,507.68,76,1799.7
Vi,582.8,85,2027.8
Viktor,516.01,78,1842
Vladimir,525,84,1953
Volibear,584.48,86,2046.5
Warwick,550,85,1995
Wukong,577.8,85,2022.8
Xayah,545,80,1905
Xerath,514.4,80,1874.4
Xin Zhao,600,92,2164
Yasuo,517.76,82,1911.8
Yorick,580,100,2280
Zac,615,95,2230
Zed,579.4,80,1939.4
Ziggs,524.4,80,1884.4
Zilean,499.28,71,1706.3
Zyra,499,74,1757
