Champion,Value at level 1,Growth coefficient,Value at 18
Ahri,334,50,1184
Alistar,278.84,38,924.8
Amumu,287.2,40,967.2
Anivia,396.04,50,1246
Annie,334,50,1184
Ashe,280,32,824
AurelionSol,350,50,1200
Azir,350.56,42,1064.6
Bard,350,50,1200
Blitzcrank,267.2,40,947.2
Brand,375.6,42,1089.6
Braum,310.6,45,1075.6
Caitlyn,313.7,35,908.7
Camille,338.8,32,882.8
Cassiopeia,334,63,1405
Cho'Gath,272.2,40,952.2
Corki,350.16,34,928.2
Darius,263,37.5,900.5
Diana,297.2,40,977.2
Draven,360.56,39,1023.6
Ekko,280,50,1130
Elise,324,50,1174
Evelynn,315.6,42,1029.6
Ezreal,360.6,42,1074.6
Fiddlesticks,400.12,56,1352.1
Fiora,300,40,980
Fizz,317.2,37,946.2
Galio,400,40,1080
Gangplank,282,40,962
Gragas,400,47,1199
Graves,322.2,40,1002.2
Hecarim,277.2,40,957.2
Heimerdinger,307.2,40,987.2
Illaoi,300,40,980
Irelia,338.8,32,882.8
Ivern,450,60,1470
Janna,350,64,1438
JarvanIV,302.2,40,982.2
Jax,338.8,32,882.8
Jayce,357.2,37,986.2
Jhin,300,50,1150
Jinx,245.6,45,1010.6
Kalista,231.8,35,826.8
Karma,374,50,1224
Karthus,372.48,61,1409.5
Kassadin,397.6,67,1536.6
Kayle,322.2,40,1002.2
Kayn,410,36,1022
Kha'Zix,327.2,40,1007.2
Kindred,300,35,895
Kog'Maw,322.2,40,1002.2
LeBlanc,334,50,1184
Leona,302.2,40,982.2
Lissandra,304,60,1324
Lucian,348.88,38,994.9
Lulu,350,55,1285
Lux,384,47,1183
Malphite,282.2,40,962.2
Malzahar,300,55,1235
Maokai,377.28,43,1108.3
MasterYi,250.56,42,964.6
MissFortune,325.84,35,920.8
Morgana,340.8,60,1360.8
Nami,377.24,43,1108.2
Nasus,325.6,42,1039.6
Nautilus,334,47,1133
Nidalee,295.6,45,1060.6
Nocturne,273.8,35,868.8
Nunu,283.56,42,997.6
Olaf,315.6,42,1029.6
Orianna,334,50,1184
Ornn,340,45,1105
Pantheon,317.12,31,844.1
Poppy,280,40,960
Quinn,268.8,35,863.8
Rakan,315,50,1165
Rammus,310.44,33,871.4
Ryze,400,50,1250
Sejuani,400,40,1080
Shaco,297.2,40,977.2
Singed,290.6,45,1055.6
Sion,325.6,42,1039.6
Sivir,284,50,1134
Skarner,272.2,40,952.2
Sona,340.6,45,1105.6
Soraka,350.8,60,1370.8
Swain,374,47,1173
Syndra,384,60,1404
TahmKench,325,40,1005
Taliyah,340,60,1360
Talon,377.2,37,1006.2
Taric,300,60,1320
Teemo,267.2,40,947.2
Thresh,273.92,44,1021.9
Tristana,246.76,32,790.8
Trundle,281.6,45,1046.6
TwistedFate,265.84,38,911.8
Twitch,287.2,40,967.2
Udyr,270.4,30,780.4
Urgot,300,45,1065
Varus,360.48,33,921.5
Vayne,231.8,35,826.8
Veigar,392.4,52,1276.4
Vel'Koz,375.6,42,1089.6
Vi,295.6,45,1060.6
Viktor,324,50,1174
Volibear,270.4,30,780.4
Warwick,280,35,875
Wukong,265.84,38,911.8
Xayah,340,40,1020
Xerath,366.96,44,1115
XinZhao,273.8,35,868.8
Yorick,300,40,980
Ziggs,384,47,1183
Zilean,360.8,60,1380.8
Zyra,334,50,1184
